"Entity","Maintaining Organization","Entity Type","Entity Archetype","Website","Jurisdiction / Authority","Program Classification","Pilot vs Production","One-Line Description","Primary Public-Sector Function","Target Participants","Ethereum Dependency","Ethereum Role","Ethereum Environment Used","Public vs Permissioned Design","Issuance Authority","Governance Model","Privacy Model","AML / KYC Layer","Interoperability With Legacy Systems","Key Partners","Compliance & Legal Status","Pilot Outcomes / Status","Production Readiness","Reason for Inclusion","Practitioner’s Note","Practitioner Validation Check"
"Banque de France CBDC pilots","Banque de France","Central Bank Program","Wholesale CBDC Pilot","https://www.banque-france.fr","France (Central Bank)","CBDC / Wholesale Settlement","Pilot","Ethereum-based experiments for wholesale CBDC settlement and interbank use cases","Wholesale CBDC issuance & settlement","Commercial banks, FMIs","High","Settlement / Control Plane","Ethereum mainnet + permissioned Ethereum","Hybrid (permissioned execution, public anchoring)","Central bank","Centralized (CB-controlled)","Account-based / permissioned","Bank-level KYC","Integration with RTGS & banking systems","BIS, commercial banks","Regulator-led, compliant","Multiple successful pilots (DvP, interbank)","Medium","Direct sovereign experimentation on Ethereum","Focused on wholesale, not retail CBDC","Is finality anchored to public Ethereum or internal ledger?"
"BIS Innovation Hub","Bank for International Settlements","International Institution","Public-Sector Blockchain R&D","https://www.bis.org/about/bisih.htm","Multinational (Central Banks)","CBDC / Settlement / Interop","Ongoing pilots","Global coordination hub running multi-CBDC and settlement pilots using Ethereum-based stacks","CBDC experimentation & coordination","Central banks","Medium–High","Research / Settlement Layer","Ethereum & Ethereum-compatible stacks","Hybrid","Central banks","Consortium","Varies by project","Varies by project","Designed for interop with legacy rails","SNB, BoE, MAS, ECB","Public-sector compliant","Multiple pilots completed (Jura, Dunbar, Helvetia)","Medium","Primary driver of Ethereum-based CBDC experimentation","Ethereum used as neutral coordination layer","Is Ethereum used in production or only pilot phases?"
"EBSI","European Commission / EU Member States","Public Infrastructure","Government Blockchain Infrastructure","https://digital-strategy.ec.europa.eu/en/policies/ebsi","European Union","Public Infrastructure / Identity","Pilot → Early Production","EU-wide blockchain infrastructure supporting public services with Ethereum-compatible layers","Public-sector infrastructure & identity","Governments, public agencies","Medium","Audit / Control Plane","Ethereum-compatible permissioned layers","Permissioned","EU public authorities","Consortium (Member States)","Selective disclosure","Public-sector KYC","Integration with EU digital services","EU member states","Public-sector compliant","Live pilots (credentials, notarization)","Medium","Large-scale public Ethereum-compatible deployment","Not pure Ethereum mainnet","Are any states anchored to Ethereum L1?"
"Fnality","Fnality International","Regulated Network","Wholesale Settlement / CBDC-like","https://fnality.org","UK / Multinational","Regulated Settlement Token","Pre-Production","Regulated interbank settlement system using Ethereum-based technology","Wholesale settlement","Banks, FMIs","Medium","Settlement Layer","Ethereum-derived / Ethereum-anchored","Permissioned","Central bank-backed","Consortium","Account-based","Bank-level KYC","Integration with RTGS","Global banks","Regulated (BoE-supervised)","Advanced testing","Medium–High","Closest thing to “production-grade” CBDC rails","Ethereum adapted for regulatory needs","Is Ethereum L1 used for final settlement?"
"UK FCA Digital Sandbox","UK Financial Conduct Authority","Regulator Program","Public-Sector Sandbox","https://www.fca.org.uk","United Kingdom","Sandbox / Policy Experiment","Ongoing pilots","Regulatory sandbox allowing Ethereum-based pilots under supervision","Policy experimentation & validation","Fintechs, banks","Medium","Experimentation Layer","Ethereum mainnet & testnets","Hybrid","Regulator-approved","Regulator-governed","Varies","Regulator-defined","Designed to test legacy integration","UK fintech ecosystem","Regulator-approved","Multiple Ethereum pilots","Low–Medium","Ethereum explicitly permitted in regulator sandbox","Sandbox ≠ production approval","Did pilots progress beyond sandbox?"
"Project Ubin","Monetary Authority of Singapore (MAS)","Central Bank Program","Wholesale CBDC / Settlement","https://www.mas.gov.sg","Singapore","CBDC / Interbank Settlement","Completed pilot phases","Multi-phase CBDC project exploring Ethereum-based interbank settlement","Wholesale CBDC settlement","Banks, payment providers","Medium–High","Settlement / Interop","Ethereum-based stacks (phases)","Hybrid","Central bank","Centralized / consortium","Account-based","Bank-level KYC","Integration with payment rails","JPM, Temasek, banks","Public-sector compliant","Successful multi-phase pilots","Medium","One of the most advanced Ethereum-based CBDC pilots","Ethereum used alongside other DLTs","Which phases used Ethereum for finality?"
"Bank of England wholesale CBDC pilots","Bank of England","Central Bank Program","Wholesale CBDC / Settlement","https://www.bankofengland.co.uk","United Kingdom (Central Bank)","CBDC / Wholesale Settlement","Pilot","Experiments exploring wholesale CBDC settlement and RTGS modernization using Ethereum-based stacks","Wholesale settlement & interbank payments","Commercial banks, FMIs","Medium–High","Settlement / Control Plane","Ethereum-compatible permissioned environments","Hybrid","Central bank","Centralized (BoE-controlled)","Account-based","Bank-level KYC","Integration with RTGS & payment rails","BIS, banks","Regulator-led, compliant","Successful proofs-of-concept","Medium","Direct central-bank experimentation with Ethereum","Focused on wholesale, not retail","Is Ethereum used for finality or orchestration only?"
"Project Rosalind","Bank of England + BIS Innovation Hub","Public Infrastructure Pilot","Retail CBDC Infrastructure","https://www.bis.org/about/bisih/topics/cbdc/rosalind.htm","United Kingdom","Retail CBDC Infrastructure","Pilot","Prototype retail CBDC API layer tested against DLT backends including Ethereum-adjacent stacks","Retail CBDC infrastructure design","Payment providers, fintechs","Medium","Control Plane / API Layer","Ethereum-adjacent DLT environments","Hybrid","Central bank","Centralized","Account-based","Regulator-defined","Designed for legacy PSP integration","BIS, tech partners","Public-sector compliant","API architecture validated","Low–Medium","Shows how Ethereum could plug into retail CBDC stacks","Infrastructure ≠ issuance","Can Ethereum serve as settlement layer, not just backend?"
"Project Jura","BIS / SNB / Banque de France","Multinational Pilot","Wholesale CBDC & DvP","https://www.bis.org/about/bisih/topics/cbdc/jura.htm","Switzerland / France","CBDC / Securities Settlement","Completed pilot","Cross-border wholesale CBDC and DvP settlement using Ethereum-based technology","Cross-border wholesale settlement","Central banks, banks","High","Settlement Layer","Ethereum-based permissioned networks","Permissioned + anchored","Participating central banks","Consortium","Account-based","Bank-level KYC","Integrated with securities systems","SNB, BdF, BIS","Public-sector compliant","Successful DvP & FX pilots","Medium","One of the clearest Ethereum-based CBDC successes","Focused on interbank, not public money","Was public Ethereum used for anchoring or only permissioned forks?"
"Project Guardian","Monetary Authority of Singapore (MAS)","Central Bank Program","Tokenization & Settlement","https://www.mas.gov.sg","Singapore","Tokenization / Settlement","Ongoing pilots","Public-private initiative using Ethereum to test tokenized assets, DeFi rails, and regulated settlement","Tokenized asset settlement","Banks, asset managers","High","Settlement / Control Plane","Ethereum mainnet & L2s","Hybrid","Central bank / regulators","Consortium","Token-based + permissioned","Regulated KYC","Integrated with financial market infra","JPMorgan, DBS, tech firms","Regulator-led","Multiple successful use cases","Medium–High","Ethereum used directly in regulated financial pilots","Blurs line between DeFi and TradFi","Are smart contracts deployed on public Ethereum?"
