"Entity","Maintaining Organization","Entity Type","RWA Archetype","Website","Year Launched","Jurisdiction(s)","Asset Class","Asset Issuer","Legal Structure","Jurisdiction of Legal Enforceability","Redemption Rights","Investor Rights Representation","Ethereum Role","Token Standard Used","On-Chain Lifecycle Events","Bidirectional Sync Mechanism","Final Source of Truth","KYC / AML Enforcement","Transfer Restrictions","Permissioning Model","Identity Provider Dependency","Who Pays Fees","Fee Model","Cash Flow Handling","Custodian(s)","Key Trusted Parties","Primary Risk Factors","Dispute Resolution Mechanism","Censorship / Freeze Risk","Primary Customers","Composable With DeFi","Scalability Constraints","Defensibility Source","Sector Adjacency Risk","Description","Reason for Inclusion","Practitioner’s Note","Practitioner Validation Check"
"Tokeny","Tokeny Solutions S.A.","Company","Asset Tokenization & Issuance Platform","https://tokeny.com","2017","Luxembourg; EU","Equity, Funds, Debt, Private Securities","Regulated issuers, funds, SPVs","SPV, fund, or issuer-specific legal wrapper","Issuer jurisdiction (typically EU)","Yes (issuer-defined)","On-chain representation of legal ownership and rights","Ownership Registry; Lifecycle Enforcement; Compliance Enforcement","ERC-3643 (T-REX)","Issuance, transfer restrictions, corporate actions, redemption","On-chain compliance logic synced with off-chain issuer records","Off-chain legal framework with Ethereum-enforced compliance","Yes (investor onboarding required)","Yes (whitelisting, jurisdictional rules)","Permissioned (issuer-controlled)","Yes (KYC / identity providers)","Issuers / asset originators","SaaS + issuance fees","Off-chain via issuer / administrator","Regulated custodians (issuer-specific)","Issuers, transfer agents, compliance providers","Regulatory risk; issuer failure; jurisdictional limits","Legal / contractual dispute resolution","High (issuer-level controls)","Asset issuers, funds, financial institutions","Limited (permissioned DeFi only)","Regulatory onboarding and jurisdictional fragmentation","Regulatory integration; ERC-3643 standard adoption","Medium","End-to-end platform for issuing and managing legally compliant tokenized real-world assets on Ethereum","Tokenizes assets with off-chain legal authority and enforces compliance on Ethereum","One of the cleanest RWA primitives: Ethereum enforces transfer rules, not just settlement","✔ Asset exists off-chain ✔ Ethereum enforces ownership & lifecycle ✔ Legal authority is external"
"Securitize","Securitize, Inc.","Company","Asset Tokenization & Issuance Platform","https://securitize.io","2017","United States; EU","Equity, Funds, Private Credit, Treasuries","Regulated issuers, asset managers","SPV, fund, issuer-specific legal wrapper","Issuer jurisdiction (US / EU)","Yes (issuer-defined)","Tokenized representation of securities ownership and rights","Ownership Registry; Lifecycle Enforcement; Settlement","ERC-20 (permissioned), custom security tokens","Issuance, transfers, compliance checks, corporate actions","On-chain compliance logic synced with issuer & transfer agent records","Off-chain legal framework","Yes","Yes (jurisdiction & investor type)","Permissioned (issuer & transfer agent controlled)","Yes","Issuers / asset managers","Issuance + servicing fees","Off-chain via administrators","Regulated custodians / transfer agents","Issuers, custodians, regulators","Regulatory enforcement risk; issuer default","Legal / regulatory dispute processes","High","Asset managers, funds, institutions","Limited","Regulatory onboarding; jurisdictional silos","Regulatory licenses; institutional trust","Medium","Institutional-grade platform for issuing and managing compliant digital securities","Directly tokenizes legally recognized securities with Ethereum enforcing ownership and transfer rules","U.S.-centric counterpart to Tokeny; strong institutional adoption","✔ Asset exists off-chain ✔ Ethereum enforces ownership ✔ Legal authority external"
"Vertalo","Vertalo, Inc.","Company","Asset Issuance & Lifecycle Management","https://vertalo.com","2017","United States","Equity, Private Securities","Issuers & funds","SPV / issuer legal structure","Issuer jurisdiction","Yes","Cap table and ownership rights reflected on-chain","Ownership Registry; Lifecycle Management","ERC-20 / security tokens","Issuance, transfers, cap-table updates","Real-time sync between on-chain tokens and off-chain cap tables","Off-chain legal records","Yes","Yes","Permissioned","Yes","Issuers","SaaS + issuance fees","Off-chain","Issuer-selected custodians","Issuers, transfer agents","Data consistency risk; issuer compliance","Legal / contractual","High","Issuers needing accurate digital cap tables","Limited","Manual onboarding; issuer dependency","Cap-table network effects","Medium","Bridges traditional cap tables with Ethereum-based securities","Maintains authoritative ownership sync between legal records and Ethereum","More “plumbing” than marketplace—still core RWA infra","✔ Off-chain authority ✔ Ethereum reflects ownership"
"DigiFT","DigiFT Pte. Ltd.","Company","Asset Tokenization & Regulated Exchange","https://www.digift.sg","2022","Singapore","Funds, Fixed Income, RWAs","Regulated issuers","Fund / SPV structures","Singapore","Yes","Tokenized fund and asset ownership","Issuance; Trading; Settlement","ERC-20 (permissioned)","Issuance, transfers, secondary trading","Exchange-level sync with issuer records","Off-chain legal framework","Yes","Yes","Permissioned exchange","Yes","Issuers / investors","Trading & issuance fees","Off-chain","Regulated custodians","Issuers, MAS, custodians","Exchange regulation; jurisdictional limits","Regulatory","High","Institutional and accredited investors","No / Very Limited","Exchange scalability","Regulatory approval & exchange license","Medium","MAS-regulated venue for issuing and trading RWAs","Combines issuance with compliant secondary trading","More exchange-centric than protocol-centric","✔ Off-chain assets ✔ Ethereum-settled tokens"
"Superstate","Superstate, Inc.","Company","Asset Servicing & Lifecycle Management","https://www.superstate.co","2023","United States","U.S. Treasuries, Cash Equivalents","Superstate-managed funds","Regulated investment fund / trust","United States","Yes (fund redemption rules)","Tokenized fund shares representing beneficial ownership","Ownership Registry; Cash-Flow Servicing; Settlement","ERC-20 (permissioned)","Issuance, transfers, NAV updates, redemptions","On-chain token state synced with off-chain fund admin records","Off-chain legal fund structure","Yes","Yes (investor eligibility)","Permissioned","Yes","Investors / fund","Management & servicing fees","Off-chain fund cash flows","Regulated custodians / administrators","Fund admin, custodian, regulators","Regulatory changes; fund admin risk","Legal / regulatory","High","Institutional & accredited investors","Limited (permissioned DeFi only)","Fund onboarding & compliance","Regulated fund wrapper; institutional trust","Medium","Tokenized access to regulated treasury funds with Ethereum-based ownership","Maintains legal fund reality off-chain with Ethereum enforcing ownership","Very clean fund-native RWA model, not a wrapper","✔ Off-chain asset ✔ Ethereum enforces ownership ✔ Legal reality external"
"Ondo Finance","Ondo Finance, Inc.","Company","Asset Servicing & Issuance Platform","https://ondo.finance","2021","United States; Global","U.S. Treasuries, Fixed Income","Ondo-managed SPVs","SPV / fund structures","United States","Yes","Tokenized claims on SPV-held assets","Ownership Registry; Cash-Flow Distribution","ERC-20 (permissioned)","Issuance, transfers, yield distribution, redemption","On-chain balances synced with SPV accounting","Off-chain legal SPVs","Yes","Yes","Permissioned","Yes","Investors","Management & performance fees","Off-chain SPV cash flows","Regulated custodians","Custodians, fund admins","SPV risk; regulatory classification","Legal","High","Institutions, DAOs, treasuries","Limited","Jurisdictional onboarding","Product design; institutional relationships","Medium","Institutional RWA products bringing treasury yields on-chain","Strong example of servicing + yield distribution","Borderline with DeFi—include only issuer-integrated products","✔ Legal SPV ✔ Ethereum reflects ownership"
"Backed Finance","Backed Finance AG","Company","Asset Issuance & Servicing","https://backed.fi","2021","Switzerland; EU","Stocks, ETFs, Fixed Income","Backed-issued instruments","Structured notes / certificates","Switzerland / EU","Yes","Tokenized securities mirroring real-world instruments","Ownership Registry; Corporate Actions","ERC-20 (permissioned)","Issuance, transfers, redemptions","On-chain tokens reconciled with issuer records","Off-chain legal instruments","Yes","Yes","Permissioned","Yes","Investors","Issuance & servicing fees","Off-chain","Regulated custodians","Issuers, custodians","Issuer credit risk","Legal","High","Qualified & institutional investors","Limited","Regulatory scope","Product breadth","Medium","Tokenized versions of traditional securities with legal backing","Clear off-chain legal authority with Ethereum settlement","Important contrast to fund-based RWAs","✔ Off-chain security ✔ Ethereum reflects rights"
"Matrixdock","Matrixdock (Matrixport Group)","Company","Asset Servicing & Lifecycle Platform","https://matrixdock.com","2023","Singapore","Treasuries, Credit Products","Matrixdock-managed vehicles","SPV / fund structures","Singapore","Yes","Tokenized ownership in real-world credit & treasury assets","Ownership Registry; Yield Servicing","ERC-20 (permissioned)","Issuance, transfers, yield distribution","On-chain tokens synced with off-chain accounting","Off-chain legal structures","Yes","Yes","Permissioned","Yes","Investors","Product & servicing fees","Off-chain","Regulated custodians","Matrixport ecosystem","Platform concentration risk","Legal / regulatory","High","Institutional crypto-native investors","Limited","Platform-centric issuance","Distribution network","Medium","Asia-centric platform for servicing tokenized RWAs","Strong example of platform-led RWA servicing","Often confused with yield products—issuer integration matters","✔ Asset off-chain ✔ Ethereum enforces ownership"
"Fireblocks (RWA issuance & servicing context)","Fireblocks Ltd.","Company","Compliance & Custody Infrastructure","https://www.fireblocks.com","2018","Global (US, EU, APAC)","RWAs across funds, treasuries, securities","Regulated issuers, funds","Custody agreements; issuer legal wrappers","Issuer jurisdiction","N/A","Custodial control of tokenized asset rights","Settlement; Custody; Policy Enforcement","ERC-20 / permissioned standards","Issuance, transfers, redemptions (custodial execution)","Custodial systems synced with on-chain state","Off-chain legal & custodial records","Yes (issuer-defined)","Yes (policy & allowlists)","Permissioned (custodian-enforced)","Yes (integrated KYC providers)","Issuers / institutions","Custody & transaction fees","Off-chain","Regulated custodians","Custodians, issuers","Custodial concentration; regulatory exposure","Legal / contractual","High","Asset issuers, banks, funds","Limited","Custody throughput; compliance ops","Institutional trust; integrations","Medium","Institutional custody and policy enforcement layer for tokenized RWAs","Enables compliant issuance, servicing, and transfer control for RWAs","Treat as infrastructure, not issuer","✔ Ethereum used for settlement ✔ Off-chain authority retained"
"Chainalysis KYT (RWA transfer enforcement context)","Chainalysis, Inc.","Company","Compliance & Transaction Monitoring","https://www.chainalysis.com","2014","Global","RWAs (transfer monitoring)","RWA issuers & custodians","Compliance tooling (no issuance)","Issuer jurisdiction","N/A","Indirect (risk flags inform enforcement)","Compliance Signaling; Enforcement Support","N/A","Transfer monitoring; risk alerts","On-chain tx data synced with off-chain risk models","Off-chain compliance systems","Yes","Indirect (via issuer action)","Permissioned (issuer / custodian)","Yes","Issuers / custodians","SaaS subscriptions","N/A","N/A","Compliance teams, regulators","Over-blocking risk; false positives","Regulatory","Medium–High","Institutions, custodians, issuers","No","Data throughput","Regulatory relationships; data moat","High","Transaction-level compliance signals for RWA transfers","Included only where KYT actively gates or freezes RWA transfers","Do not include as oracle or data feed","✔ Used to enforce RWA transfer rules"
