"Entity","Maintaining Organization","Website","Year Launched","Jurisdiction / Governance Model","Indexer Type","Primary Data Coverage","Primary Users","Execution Coupling","Indexing Model","Query Interface","Real-Time Support","Reorg Handling Strategy","Data Freshness Guarantees","Historical Depth","Backfill Capability","Failure Modes","Pricing Model","Cost Sensitivity at Scale","Rate Limits / Quotas","Typical Protocol Dependencies","Centralization Risk","Known Incidents or Gaps","Description","Reason for Inclusion","Practitioner’s Note","Practitioner Validation Check","Replaceability Score","Indexing Dependency Criticality","Operational Complexity",""
"The Graph","The Graph Foundation","https://thegraph.com","2018","Foundation-led; decentralized network governance","Schema-Driven Indexing Protocol (Subgraphs)","Smart contracts, dApps, analysts","Decoupled from execution; reads Ethereum state","Event- and call-based indexing via subgraph schemas","Economic + cryptographic via decentralized indexers","Deterministic indexing + query proofs (emerging)","Indexers (by omission or lag)","Indexers, curators, consumers","Stale or incomplete subgraphs","Medium (indexing lag detectable)","Re-sync, re-index, indexer replacement","Applications read stale or missing state","Query fees (GRT) + hosted service pricing","Cheaper than self-hosting at scale","Horizontally scalable via indexer network","DeFi protocols, DAOs, dashboards","Medium (indexer concentration varies)","Historical indexing lag during congestion","Decentralized protocol for indexing and querying blockchain data using subgraphs","Canonical schema-driven indexing layer for Ethereum","Subgraph quality depends on schema design and indexer incentives","Validate subgraph freshness, indexing status, and decentralization","Moderate","Existential","Medium",""
"Goldsky","Goldsky Labs","https://www.goldsky.com","2022","Company-led; centralized service","Managed Event & Subgraph Indexing","Events, logs, entities, custom schemas","dApps, data teams, protocols","Decoupled from execution; reads Ethereum state","Event-driven + schema-based indexing","REST APIs, Webhooks, Subgraph-compatible APIs","Near real-time","Automatic reorg detection and reindexing","Near real-time with SLA-backed ingestion","Full historical backfill supported","Yes (automated)","Indexing lag or pipeline failure","Usage-based pricing","Low operational cost vs self-hosting","Managed rate limits per plan","Protocol backends, analytics pipelines","Medium (managed service)","No major incidents reported","Managed indexing platform focused on fast, reliable event and subgraph data","Provides production-grade indexing without running infra","Excellent for teams that want speed over decentralization","Verify SLA, backfill depth, and reorg guarantees","Easy","Existential","Low–Medium",""
"Subsquid","Subsquid Labs","https://subsquid.io","2021","Company-led with open-source framework","Decentralized / Self-Hosted Indexing Framework","Blocks, logs, traces, entities","Developers, analysts, infra teams","Decoupled from execution; reads Ethereum state","Full-chain + entity-based indexing","SQL, GraphQL, custom APIs","Near real-time","Deterministic reorg handling in indexer logic","Near real-time (infra-dependent)","Full historical indexing supported","Yes (developer-controlled)","Indexer misconfiguration or infra failure","Open-source framework; infra costs borne by operator","Cost scales with infra usage","No enforced limits (self-hosted)","Custom analytics, protocol backends","Low–Medium (depends on infra choices)","No systemic incidents reported","Flexible indexing framework enabling custom Ethereum data pipelines","Enables full control over indexing logic and data models","Powerful but operationally complex","Validate reorg logic, infra sizing, and sync health","Moderate","Existential","Medium",""
"Alchemy (Data APIs)","Alchemy, Inc.","https://www.alchemy.com","2017","Company-led; centralized service","General-Purpose Blockchain Data APIs","Blocks, transactions, logs, token balances, NFTs","Developers, wallets, analytics teams","Decoupled from execution; built atop indexed chain data","Full-chain + entity-based indexing","REST APIs, WebSockets","Near real-time","Automatic reorg detection and replay","Near real-time with internal SLAs","Full historical depth supported","Yes (managed)","Data lag during chain congestion","Usage-based pricing tiers","Low at small scale; rises with heavy usage","Tier-based rate limits","Wallets, dApps, backend services","Medium (single provider dependency)","Occasional rate-limit incidents reported","Developer platform exposing indexed Ethereum data via APIs","Indexing is core to its Data API product","Treat as indexing layer, not just RPC","Validate freshness vs raw RPC and rate limits","Easy","Existential","Low–Medium",""
"Moralis","Moralis AB","https://moralis.io","2021","Company-led; centralized service","General-Purpose Web3 Data APIs","Token balances, NFTs, transfers, DeFi data","dApps, dashboards, backend teams","Decoupled from execution","Entity-based indexing","REST APIs, Webhooks","Near real-time","Internal reorg handling","Near real-time (API-dependent)","Deep historical coverage","Yes","Indexing delays or API outages","Usage-based SaaS pricing","Low–Medium","Plan-based rate limits","Consumer dApps, analytics backends","Medium","Past API reliability complaints","Web3 data platform abstracting on-chain complexity","Core value is indexed, normalized chain data","Good for speed; weaker for deep custom schemas","Check chain coverage and freshness guarantees","Easy","Important","Low–Medium",""
"QuickNode (Data APIs)","QuickNode, Inc.","https://www.quicknode.com","2017","Company-led; centralized service","Indexed Blockchain Data APIs","Transactions, logs, token balances, NFTs","Developers, infra teams","Decoupled from execution","Full-chain indexing + derived entities","REST APIs, WebSockets","Near real-time","Managed reorg detection","Near real-time","Full historical coverage","Yes","API lag during peak load","Usage-based pricing","Competitive at scale with bundles","Tier-based rate limits","dApps, wallets, infra stacks","Medium","No major indexing incidents reported","Infra provider offering indexed data alongside RPC","Data APIs qualify independently of RPC business","Ensure Data API SLAs separate from RPC SLAs","Validate indexing depth and update cadence","Easy","Existential","Low–Medium",""
"Chainbase","Chainbase Labs","https://chainbase.com","2021","Company-led; centralized service","Blockchain Data Indexing Platform","Full-chain data, entities, cross-chain datasets","Analysts, protocols, data scientists","Decoupled from execution","Full-chain normalization + entity modeling","SQL, REST APIs","Near real-time","Pipeline-based reorg reconciliation","Near real-time to batch","Deep historical datasets","Yes","Data pipeline delays","Usage-based + enterprise pricing","Efficient for large datasets","Contracted quotas","Research, analytics, protocol insights","Medium","No major public incidents","Web3 data platform focused on structured, queryable datasets","Core value is transforming raw chain data into usable formats","Strong for analytics-grade use cases","Validate schema definitions and update latency","Moderate","Important","Medium",""
"Dune","Dune Analytics","https://dune.com","2019","Company-led; centralized service","SQL-Based Blockchain Indexing & Query Engine","Blocks, transactions, logs, traces, token balances, DeFi entities","Analysts, researchers, DAOs","Decoupled from execution; reads indexed chain data","Full-chain normalization into relational tables","SQL","Near real-time (indexing lag dependent)","Managed reorg reconciliation in pipelines","Near real-time to short lag","Deep historical coverage","Yes","Indexing lag or schema changes","Freemium + subscription tiers","Low for queries; higher for heavy usage","Workspace and API limits","Research, governance, analytics workflows","Medium","Occasional lag during major network events","Blockchain data platform exposing Ethereum data via SQL","Core value is structured, queryable Ethereum datasets","Borderline analytics, but indexing is foundational","Verify table freshness and block height coverage","Easy","Important","Low–Medium",""
"Flipside","Flipside Crypto","https://flipsidecrypto.xyz","2017","Company-led; centralized service","Analytics-Grade Indexing Platform","Normalized on-chain entities, protocol metrics","Analysts, DAOs, protocols","Decoupled from execution","Entity-based indexing + curated datasets","SQL","Near real-time (batch-updated)","Managed reorg handling","Near real-time to batch cadence","Deep historical datasets","Yes","Dataset lag or modeling errors","Free + enterprise / bounty-driven","Efficient for large-scale analysis","Workspace-based limits","DAO analytics, incentive programs","Medium","No major public incidents","Data platform providing curated, indexed blockchain datasets","Indexing and normalization are core primitives","Strong modeling; less flexible than raw SQL engines","Validate update cadence and schema assumptions","Moderate","Important","Medium",""
"Allium","Allium Labs","https://www.allium.so","2022","Company-led; centralized service","Enterprise Blockchain Data Warehouse","Full-chain data, entities, cross-chain datasets","Enterprises, funds, data teams","Decoupled from execution","Full-chain ETL into warehouse-ready schemas","SQL, APIs","Near real-time","Pipeline-based reorg reconciliation","Near real-time","Deep historical backfill","Yes","Pipeline delays or schema drift","Enterprise contracts","Cost-effective at large scale","Contracted quotas","Institutional analytics, research","Medium","No major public incidents","Blockchain data platform focused on enterprise-grade indexing","Core value is reliable, normalized chain data","Best for institutional-scale analytics","Verify latency SLAs and schema guarantees","Moderate","Important","Medium",""
