"Entity Name","MEV Subsector Type","Website","Operational Role","Block Construction Authority","Transaction Ordering Control","Validator Access Path","Estimated Validator Coverage","Primary MEV Types Enabled","Censorship or Filtering Policies","Infrastructure Control","Vertical Integration Flag","Single-Point-of-Failure Risk","Governance Influence Vector","Protocol Influence Surface","Description","Reason for Inclusion","Practitioner’s Note","Practitioner Validation Check","","","","","","","",""
"Flashbots (Block Builder)","Block Builder","https://www.flashbots.net/","Constructs Ethereum blocks by ordering transactions and MEV bundles, submitting blocks to validators primarily via relay infrastructure.","Full (constructs complete blocks)","Full (within builder pipeline constraints)","Relay-mediated (primarily via Flashbots Relay; also hybrid relationships)","Large (historically dominant share of builder-supplied blocks)","Arbitrage, liquidations, backrunning, bundle-based MEV","Historically OFAC-aligned at the relay level; evolving policies","Centralized (single primary builder stack)","Yes (builder + relay + research)","High (dominant builder infrastructure)","Corporate + Ecosystem (de facto standards influence)","High (PBS norms, MEV-Boost adoption, ecosystem coordination)","Flashbots operates one of the most influential Ethereum block builders, historically shaping how MEV is extracted and how builders interface with validators.","- Constructs full Ethereum blocks
- Directly influences transaction ordering
- Operates MEV infrastructure at the protocol boundary","Flashbots’ importance is not just market share but norm-setting; many builder and relay patterns follow its architectural decisions.","If Flashbots’ builder disappeared, validator block economics and MEV flow would materially change, forcing rapid migration to alternative builders.","","","","","","","",""
"Titan Builder","Block Builder","https://titanbuilder.xyz/","Independent MEV-focused block builder competing on execution efficiency and bundle inclusion.","Full","Full","Relay-mediated ","Medium","Arbitrage, liquidations, backrunning","Builder-specific (less standardized than Flashbots)","Centralized","No","Medium","Private / Opaque","Medium","Independent block builder focused on competitive MEV extraction and block construction.","- Constructs full Ethereum blocks
- Competes directly in the builder market
- Influences transaction ordering economics","Titan represents the post-Flashbots competitive builder landscape, where multiple builders compete on efficiency and inclusion policies.","Removal would reduce builder competition but not threaten overall block production.","","","","","","","",""
"bloXroute (Block Builder)","Block Builder","https://bloxroute.com/","Operates block-building infrastructure leveraging high-performance networking to optimize block propagation and ordering.","Full","Full","Relay-mediated + Direct (network-optimized paths)","Medium","Arbitrage, latency-sensitive MEV, backrunning","Builder-specific","Centralized","Yes (builder + networking infra)","Medium","Corporate","Medium","Block builder leveraging proprietary networking infrastructure to improve block competitiveness.","- Constructs full blocks
- Optimizes transaction ordering through infra advantages
- Influences block competitiveness","bloXroute blurs the line between MEV extraction and networking advantage, highlighting non-obvious centralization vectors.","Removal would reduce networking-driven MEV advantages but not halt block production.","","","","","","","",""
"rsync-builder","Block Builder","https://rsync-builder.xyz/","Independent block builder focused on competitive bundle inclusion and execution efficiency.","Full","Full","Relay-mediated","Small–Medium","Arbitrage, backrunning","Opaque / Builder-specific","Centralized","No","Low–Medium","Private / Opaque","Low–Medium","Smaller independent block builder participating in the competitive MEV marketplace.","- Actively constructs Ethereum blocks
- Participates in transaction ordering competition","rsync-builder illustrates the long tail of builders that collectively affect competition even if individually small.","Removal would have minimal systemic impact but marginally reduce builder diversity.","","","","","","","",""
"Flashbots Relay","MEV Relay","https://relay.flashbots.net/","Trusted intermediary that validates, filters, and forwards builder-produced blocks to validators via MEV-Boost.","Gatekeeping (does not build blocks; selects which blocks reach validators)","Indirect but material (filters which ordered blocks are eligible)","Relay-mediated (primary path for MEV-Boost validators)","Large (historically dominant relay)","All builder-generated MEV (arbitrage, liquidations, backrunning, bundle MEV)","Historically OFAC-aligned; policy-driven filtering at relay level","Centralized","Yes (relay + builder + research ecosystem)","High","Corporate + Ecosystem norms","High (MEV-Boost defaults, relay standards)","The most widely used Ethereum MEV relay, acting as the primary gateway between block builders and validators.","- Gates block delivery to validators
- Filters and validates blocks pre-proposal
- Materially influences transaction inclusion and censorship outcomes","Flashbots Relay’s power comes from validator adoption, not protocol rules. Defaults here become de facto standards.","If Flashbots Relay disappeared, a large share of validators would temporarily lose access to competitive MEV blocks, reshaping builder economics overnight.","","","","","","","",""
"bloXroute Relay","MEV Relay","https://bloxroute.com/relay/","Relay providing alternative block delivery paths optimized via proprietary networking infrastructure.","Gatekeeping ","Indirect","Relay-mediated + network-optimized paths","Medium","Latency-sensitive arbitrage, builder-generated MEV","Builder-specific / configurable","Centralized","Yes (relay + builder + networking infra)","Medium","Corporate","Medium","MEV relay leveraging low-latency networking to improve block propagation and builder competitiveness.","- Acts as a validator gateway for builder blocks
- Influences which ordered blocks reach proposers","bloXroute highlights how networking advantages can translate into MEV relay power.","Removal would reduce relay competition and networking-driven MEV advantages.","","","","","","","",""
"Ultra Sound Relay","MEV Relay","https://relay.ultrasound.money/","Community-operated relay focused on neutrality and reduced censorship.","Gatekeeping","Indirect","Relay-mediated","Small–Medium","Builder-generated MEV (neutral policy emphasis)","Neutral / minimally filtered","Federated / community-operated","No","Low–Medium","Community / Ecosystem-aligned","Low–Medium","Neutral MEV relay offering an alternative to large, policy-driven relays.","- Gates block access to validators
- Provides censorship-diversifying relay option","Ultra Sound Relay’s importance is less about scale and more about providing a credible neutrality alternative.","Removal would not halt block flow but would reduce relay diversity and censorship resilience.","","","","","","","",""
"Eden Relay","MEV Relay","https://eden.network/","Relay associated with Eden Network, prioritizing specific transaction flows and builder relationships.","Gatekeeping","Indirect (policy-driven inclusion preferences)","Relay-mediated","Small","Builder-generated MEV with preferential routing","Builder- and policy-specific","Centralized","Yes (relay + ecosystem tooling)","Low–Medium","Corporate / Private","Low","Smaller MEV relay with ecosystem-specific routing and policy choices.","- Acts as a block gateway for validators
- Influences which ordered blocks are visible","Eden Relay illustrates how niche relays can still influence ordering within specific transaction segments.","Removal would marginally affect ordering diversity but not systemic liveness.","","","","","","","",""
"Flashbots (Searcher Infrastructure)","Searcher Infrastructure (Block-Coupled)","https://docs.flashbots.net/","Provides the dominant bundle submission pipeline used by searchers to deliver ordered transaction bundles directly into builder workflows.","Partial (bundles only; no full block construction)","Conditional (ordering within bundles; relative priority via builder selection)","Indirect via builders and relays (MEV-Boost ecosystem)","Large (via dominant builder/relay adoption)","Arbitrage, liquidations, backrunning, bundle-based MEV","Policy-dependent (historically OFAC-aligned via relay interfaces; evolving)","Centralized (core infrastructure with open participation)","Yes (searcher infra + builder + relay + research)","High","Corporate + Ecosystem norms","High (bundle format standards, MEV-Boost norms)","The primary infrastructure through which MEV searchers submit bundles that are evaluated and ordered by block builders.","- Generates bundles that directly shape block contents
- Feeds builders at the protocol boundary
- Materially influences ordering outcomes pre-finalization","Flashbots’ searcher pipeline set the standard for bundle-based MEV; many competing systems remain interoperable with its formats.","If Flashbots’ searcher infrastructure disappeared, builder pipelines would fragment and a large share of structured MEV would temporarily fail to reach blocks.","","","","","","","",""
"bloXroute (Searcher-Builder Pipeline)","Searcher Infrastructure (Block-Coupled)","https://bloxroute.com/","Provides low-latency submission paths for searcher bundles optimized for builder ingestion.","Partial","Conditional (latency-driven priority within builder pipelines)","Indirect via bloXroute builders/relays","Medium","Latency-sensitive arbitrage, backrunning","Builder-specific / configurable","Centralized (network-optimized infra)","Yes (searcher infra + builder + relay + networking)","Medium","Corporate","Medium","Searcher infrastructure leveraging proprietary networking to reduce latency between searchers and builders.","- Directly feeds bundles into block construction
- Influences ordering via latency advantages","bloXroute demonstrates how networking advantages translate into ordering influence even without full block authority.","Removal would reduce latency-driven MEV efficiency and builder competition, but not halt block production.","","","","","","","",""
"Eden Network (Searcher Infrastructure)","Searcher Infrastructure (Block-Coupled)","https://eden.network/","Provides preferential routing and bundle submission paths tied to Eden’s builder and relay ecosystem.","Partial","Conditional (policy- and relationship-driven)","Indirect via Eden-associated builders/relays","Small","Backrunning, priority inclusion strategies","Policy-driven","Centralized","Yes (searcher infra + relay + ecosystem tooling)","Low–Medium","Private / Corporate","Low","Searcher infrastructure tied to a vertically integrated MEV ecosystem emphasizing preferential routing.","- Feeds bundles directly into block construction paths
- Influences ordering for specific transaction classes","Eden illustrates niche but real ordering influence through vertically integrated pipelines.","Removal would marginally affect specific MEV flows without systemic impact.","","","","","","","",""
