"Entity Celestia Ethereum Blobs (EIP-4844)","Maintaining Organization Celestia Labs / Celestia Foundation Ethereum Core Developers / Ethereum Foundation","Website https://celestia.org https://eips.ethereum.org/EIPS/eip-4844","Year Launched 2023 (mainnet) 2024 (Dencun upgrade)","Jurisdiction / Governance Model Foundation-led, PoS network governance Ethereum protocol governance (EIP process, social consensus)","DA Type Modular Data Availability Layer Ethereum-Native Data Availability","Primary DA Consumer Rollups, appchains, modular L2s Ethereum L2 rollups (Optimistic & ZK)","Execution Coupling Fully decoupled from execution Tightly coupled to Ethereum consensus","Data Publication Method Off-chain DA blocks with on-chain commitments Blob data attached to beacon blocks with KZG commitments","Availability Guarantee Model Cryptographic + probabilistic (via DAS) Cryptographic + social consensus guarantees","Verification Mechanism Data Availability Sampling (light & full nodes) Full-node verification + KZG commitments (no DAS)","Who Can Withhold Data Celestia block producers / validators Ethereum validators (temporarily, until pruning)","Who Detects Withholding Light clients, full nodes via sampling Full nodes, validators, rollup verifiers","Primary Failure Mode Data withholding by block producers Temporary data unavailability or excessive pruning","Time to Detect Failure Short (probabilistic detection within sampling window) Short (bounded by block propagation & retention window)","Recovery Path Social + economic recovery; slashing and client rejection Protocol-level recovery via re-propagation and social coordination","Impact of DA Failure State becomes unverifiable; execution may continue temporarily Rollup state becomes temporarily unverifiable; execution may pause","Cost Model Pay-for-blob-space (DA gas model) Blob gas pricing (separate DA fee market)","Cost vs Ethereum DA Significantly cheaper than Ethereum calldata Cheaper than calldata; more expensive than modular DA","Scaling Characteristics Horizontal scaling via increased blob throughput Vertical scaling bounded by Ethereum block limits","Typical Protocol Dependencies Rollups, sovereign rollups, modular stacks Rollups posting data to Ethereum","Centralization Risk Medium (validator set and stake distribution matter) Medium (Ethereum validator set concentration)","Known Incidents or Risks No major mainnet DA failure reported to date Early-stage tuning risk (fee market volatility, blob limits)","Description Modular blockchain purpose-built to provide scalable, verifiable data availability using sampling Protocol-native data availability mechanism introducing cheap, ephemeral blob data for rollups","Reason for Inclusion Celestia’s sole purpose is guaranteeing data availability independent of execution Blobs are now the canonical DA layer for Ethereum-aligned rollups","Practitioner’s Note Celestia shifts security assumptions from “everyone downloads everything” to probabilistic sampling Strongest security guarantees but constrained throughput; best for rollups prioritizing Ethereum alignment","Practitioner Validation Check Verify DAS parameters, validator decentralization, and economic incentives for data publication Verify blob retention window, fee dynamics, and rollup fallback behavior","Replaceability Score Moderate Hard","DA Dependency Criticality Existential Existential","Long-Term Viability Risk Medium Low","",""
"Ethereum Calldata","Ethereum Core Developers / Ethereum Foundation","https://ethereum.org","2015","Ethereum protocol governance (EIP process, social consensus)","Ethereum-Native Data Availability","Ethereum L2s (legacy), rollups (pre-4844)","Tightly coupled to execution","Transaction calldata stored permanently on Ethereum","Cryptographic + social consensus (full replication)","Full-node replication and verification","Ethereum validators (temporarily, until full propagation)","Full nodes and validators","Congestion-driven unavailability or prohibitive cost","Immediate (block propagation)","Protocol-level inclusion or repricing via fee market","Rollups become economically infeasible; state remains verifiable","Gas-based calldata pricing","Baseline (most expensive DA option)","Vertically constrained by L1 throughput","Early Optimistic & ZK rollups","Medium (validator concentration)","Fee spikes made rollups uneconomical during congestion","Original Ethereum DA mechanism using calldata for publishing rollup data","Establishes the security and cost baseline for all DA comparisons","Calldata is maximally secure but economically unscalable for rollups","Verify calldata gas costs, block limits, and rollup fallback logic","Hard","Existential","High (being phased out by blobs)","",""
"StarkEx","StarkWare Industries","https://starkware.co/starkex","2020","Company-operated; application-specific governance","Validium / Committee-Based Data Availability","Application-specific rollups (dYdX v3, Immutable X, Sorare)","Tightly coupled to StarkEx execution environment","Off-chain data held by DA committee; on-chain commitments only","Economic + social trust in DA committee","Committee signatures + ZK validity proofs","DA committee members","Operators; users via exits (limited)","Committee collusion or data withholding","Medium (often detectable only during exits)","Social recovery; operator coordination; potential upgrades","State becomes unverifiable; user exits may be blocked","Application-negotiated fees","Much cheaper than Ethereum DA","Very high throughput via off-chain storage","High-volume apps prioritizing low fees","High (permissioned committee)","No systemic DA failure; trust tradeoff well-documented","ZK rollup framework using off-chain DA committees","Canonical Validium-style DA implementation","Cost savings introduce strong trust assumptions","Identify committee members, exit guarantees, escrow terms","Easy","Existential","Medium–High","",""
"EigenDA","Eigen Labs / EigenLayer ecosystem","https://www.eigenda.xyz","","Ethereum-aligned; AVS governance via EigenLayer","Restaked Data Availability Layer","Ethereum rollups, appchains","Decoupled from execution; Ethereum-aligned security","Off-chain DA chunks with commitments posted to Ethereum","Economic + cryptographic (restaked ETH + proofs)","Data Availability Sampling (DAS) + operator attestations","EigenDA operators (AVSs)","Light clients, rollup verifiers","Operator collusion or bandwidth under-provisioning","Short (sampling window)","Slashing via EigenLayer; operator rotation","State becomes unverifiable; execution may continue","Pay-for-bandwidth / operator fees","Lower than blobs at scale; elastic","Horizontal scaling via operator set and bandwidth","Rollups wanting Ethereum alignment without blob limits","Medium","Early-stage maturity; AVS coordination complexity","Ethereum-aligned DA layer leveraging restaked ETH","Provides modular DA while inheriting Ethereum economic security","Strong alignment, but complexity and early maturity demand conservative assumptions","Validate operator diversity, slashing conditions, DAS parameters","Moderate","Existential","Medium","",""
"Avail","Avail Project (Polygon-origin, independent)","https://www.availproject.org","","Foundation-led; independent PoS governance","DA-First Blockchain","Rollups, appchains, modular stacks","Fully decoupled from execution","Off-chain DA blocks with on-chain commitments","Cryptographic + probabilistic (DAS)","Data Availability Sampling","Avail validators","Light clients via sampling","Validator withholding or consensus failure","Short (sampling windows)","Slashing; social recovery; client rejection","State unverifiable; execution may pause","DA gas / blob-like pricing","Cheaper than Ethereum DA","Horizontal scaling via throughput increases","Modular rollups, sovereign chains","Medium (validator set decentralization)","Early mainnet tuning risk","Purpose-built DA blockchain optimized for light-client verification","Clean, DA-only design with DAS baked in","Evaluate validator decentralization and economic incentives early","Verify DAS thresholds, validator stake distribution","Moderate","Existential","Medium","",""
"NEAR DA","NEAR Foundation","https://near.org","","Foundation-led; PoS governance","DA-as-a-Service (Reuse of L1)","Rollups, appchains, Ethereum L2s","Decoupled from execution (external consumers)","NEAR shards publish data with availability guarantees","Cryptographic + consensus (NEAR validators)","Full-node verification; no native DAS","NEAR validators","Full nodes, external verifiers","Shard unavailability or validator failure","Short (block finality windows)","Validator slashing; shard rebalancing","Temporary unverifiability for consumers","Usage-based fees","Often cheaper than Ethereum blobs","Vertical + sharded horizontal scaling","Rollups using NEAR as DA","Medium (shard/validator concentration)","Cross-ecosystem dependency risk","DA service leveraging NEAR’s sharded L1 for scalable availability","Provides pragmatic DA without new DA-only chain","Trades Ethereum alignment for mature sharded infra","Validate shard allocation, fee stability, and consumer tooling","Easy–Moderate","Important to Existential","Medium","",""
"Polygon CDK Validium","Polygon Labs","https://polygon.technology/polygon-cdk","2023","Foundation-led; modular chain governance","Validium / Committee-Based Data Availability","Appchains, enterprise rollups, custom L2s","Tightly coupled to Polygon CDK execution","Off-chain data stored by DA committee; on-chain commitments","Economic + social trust in DA committee","Committee attestations + ZK validity proofs","DA committee members","Chain operators; users via exits (limited)","Committee collusion or data withholding","Medium (often during exits)","Operator coordination; upgrades; social recovery","State unverifiable; exits may be blocked","Chain-negotiated fees","Much cheaper than Ethereum DA","Very high throughput via off-chain storage","Polygon CDK-based appchains","High (permissioned committee)","No systemic DA failure reported","Modular ZK rollup framework supporting Validium configurations","Enables low-cost, high-throughput app-specific chains","Carefully assess committee composition and exit guarantees","Identify committee members, fallback DA options","Easy","Existential","Medium–High","",""
"zkSync Validium","Matter Labs","https://zksync.io","2023","Company-led; protocol governance evolving","Validium / Volition-Based Data Availability","App-specific zkSync chains, high-throughput apps","Coupled to zkSync execution environment","Off-chain DA with on-chain commitments (optional L1 fallback)","Economic + cryptographic with optional on-chain fallback","ZK validity proofs + operator commitments","DA operators","Operators; users via fallback paths (if enabled)","DA operator withholding","Medium","Fallback to Ethereum DA (if configured); governance action","Temporary unverifiability; execution may pause","App-configured fees","Cheaper than Ethereum DA","High throughput with configurable DA modes","zkSync ecosystem chains","Medium–High","Configuration risk if fallback disabled","zkSync execution stack with optional Validium DA mode","Demonstrates Volition-style DA flexibility","Validate whether Ethereum DA fallback is enabled","Confirm DA mode, fallback guarantees","Moderate","Existential","Medium","",""
"Immutable X","Immutable + StarkWare Industries","https://www.immutable.com","2021","Company-operated; application governance","Validium (StarkEx-based)","NFT marketplace, gaming applications","Tightly coupled to StarkEx execution","Off-chain data stored by DA committee; on-chain commitments","Economic + social trust in DA committee","Committee signatures + ZK validity proofs","DA committee members","Operators; users via exits (limited)","Committee collusion or data unavailability","Medium","Operator coordination; social recovery","NFT state unverifiable; withdrawals may be blocked","Application-level fees","Much cheaper than Ethereum DA","Extremely high NFT throughput","Gaming and NFT-heavy applications","High (permissioned committee)","No systemic DA failure reported","NFT-focused Validium chain built on StarkEx","Canonical gaming-focused Validium deployment","Low fees trade off permissionless exits","Review exit mechanics and committee trust","Easy","Existential","Medium–High","",""
"Celestia DAS","Celestia Labs / Celestia Foundation","https://celestia.org","2023","Foundation-led; PoS network governance","Data Availability Sampling (Modular DA)","Rollups, appchains, modular L2s","Fully decoupled from execution","DA blocks published off-chain with on-chain commitments","Probabilistic cryptographic guarantees via sampling","Light-client Data Availability Sampling","Validators / block producers","Light clients via probabilistic sampling","Data withholding by block producers","Short (sampling window)","Slashing; client rejection; social recovery","State unverifiable; execution may continue temporarily","DA gas / blob-space pricing","Cheaper than Ethereum DA","Horizontally scalable with increased throughput","Modular rollups using Celestia DA","Medium","No major DAS failure reported","Data Availability Sampling system enabling light clients to verify data presence","Core innovation enabling modular blockchain scaling","Validate DAS parameters and validator decentralization","Confirm sampling thresholds and slashing logic","Moderate","Existential","Medium","",""
"Avail DAS","Avail Project","https://www.availproject.org","2024","Foundation-led; independent PoS governance","Data Availability Sampling (DA-first chain)","Rollups, appchains, sovereign chains","Fully decoupled from execution","DA blocks with commitments optimized for light clients","Probabilistic cryptographic guarantees via sampling","Native Data Availability Sampling","Avail validators","Light clients via sampling","Validator withholding or consensus failure","Short (sampling window)","Slashing; client rejection; social recovery","State unverifiable; execution may pause","DA gas pricing","Cheaper than Ethereum DA","Horizontal throughput scaling","Modular stacks using Avail DA","Medium","Early-stage mainnet maturity risk","DA-first blockchain with DAS baked into protocol design","Clean, purpose-built DAS implementation","Evaluate validator set size and stake distribution","Check DAS thresholds and client diversity","Moderate","Existential","Medium","",""
