"Entity","Maintaining Organization","Entity Type","DePIN Archetype","Website","Year Launched","Primary Participants","Physical Asset Type","Who Owns the Hardware","Geographic Distribution","Minimum Physical Requirements","Ethereum Role","On-Chain Settlement Scope","Reward Distribution Mechanism","Slashing / Penalty Mechanism","Physical Activity Measured","Verification Method","Anti-Cheating / Sybil Resistance","Trusted Components (if any)","Who Pays for Services","Token / Incentive Model","Cost Structure for Operators","Governance Model","Upgrade Control","Dependency on Centralized Infrastructure","Primary Risk Factors","Scalability Constraints","Censorship / Geographic Risk","Composable With","Defensibility Source","Sector Adjacency Risk","Description","Reason for Inclusion","Practitioner’s Note","Practitioner Validation Check"
"Akash Network","Akash Network (Overclock Labs)","Protocol / Network","Decentralized Compute & Hardware Network","https://akash.network","2020","Compute providers, developers, AI workloads","Physical servers (CPU, GPU, data-center hardware)","Independent node operators","Global (data centers & edge locations)","Linux servers meeting containerized workload specs","Settlement; Incentives; Governance (Ethereum-adjacent)","Payments, rewards, accounting (bridged / integrated usage)","Token-based rewards to compute providers","Stake-based penalties for misbehavior","Compute availability & workload execution","Cryptographic workload verification + market mechanisms","Economic staking; reputation via uptime & performance","Off-chain monitoring & provider attestations","Developers / workload consumers","AKT token incentives + usage fees","Hardware capex + bandwidth + power","On-chain governance (AKT holders)","Protocol governance upgrades","Medium (data centers, ISPs)","Provider reliability; demand concentration","Scheduling & hardware availability","Jurisdictional exposure of nodes","AI Agents, DePIN, Compute-heavy protocols","First-mover decentralized compute market","Medium","Open marketplace for decentralized cloud compute coordinated by crypto-economic incentives","Physical compute must be provided to earn rewards; Ethereum-adjacent settlement enforces economics","Best viewed as compute DePIN, not generic cloud—real hardware execution is mandatory","✔ Physical compute required ✔ Rewards depend on execution ✔ Removing crypto coordination breaks the network"
"Render Network","OTOY / Render Foundation","Protocol / Network","Decentralized GPU Compute Network","https://rendernetwork.com","2017","GPU node operators, creators, AI workloads","GPUs (consumer & data-center grade)","Independent node operators","Global (artist & data-center GPUs)","Compatible GPU hardware + client software","Settlement; Incentives; Reputation","Job settlement, rewards, accounting","RNDR rewards per rendered job","Reputation loss / job rejection","GPU rendering & inference workloads","Job verification + output validation","Reputation scoring; job escrow","Rendering software stack","Job requesters","RNDR token + job fees","GPU capex, power, bandwidth","Foundation-led + token governance","Protocol governance upgrades","Medium (rendering software stack)","Demand concentration; GPU availability","Job scheduling; GPU supply","Jurisdictional node exposure","AI Agents, Media, Metaverse","Two-sided marketplace + creator demand","Medium","Decentralized GPU network for rendering and AI workloads","Physical GPU execution is required to earn rewards","Strong DePIN example where output quality matters as much as uptime","✔ Physical GPU work ✔ Job-based rewards ✔ Crypto-economic coordination"
"io.net","io.net","Protocol / Network","Decentralized GPU Compute Network","https://io.net","2023","AI developers, GPU suppliers","GPUs (AI-optimized clusters)","Independent operators & data centers","Global (data centers & private clusters)","High-performance GPUs + orchestration stack","Settlement; Incentives; Governance","Usage settlement & rewards","Token rewards tied to GPU uptime & jobs","Stake-based penalties","AI compute availability & execution","Hardware attestation + workload checks","Staking; cluster reputation","Orchestration & monitoring stack","AI developers","IO token incentives + usage fees","GPU capex, hosting, ops","Token-governed","Protocol upgrades","Medium–High (cluster orchestration)","Centralization of large clusters","GPU scarcity; onboarding friction","Jurisdictional concentration","AI Agents, AI Infra, DePIN","AI-native demand + GPU scarcity","Medium","GPU network optimized for AI training and inference","Physical GPU supply coordinated for AI workloads","Closer to AI-first DePIN than general compute","✔ Physical GPUs ✔ Economic enforcement ✔ Ethereum-coordinated"
"Golem","Golem Factory","Protocol","Decentralized General Compute Network","https://www.golem.network","2016","Individual node operators, developers","CPUs / general compute hardware","Individual node operators","Global (consumer hardware)","Commodity compute hardware","Settlement; Incentives","Task settlement & payments","Task-based payments","Reputation-based exclusion","Compute task execution","Task result verification","Reputation & redundancy","Client software","Task requesters","GLM token payments","Hardware wear; power","DAO-governed","Protocol upgrades","Low–Medium","Demand variability","Latency & task complexity","Low","DePIN, general compute","Longevity & decentralization","Medium","Peer-to-peer marketplace for general compute","Early DePIN example requiring real compute execution","Less optimized for AI, stronger for decentralization purity","✔ Physical execution ✔ Task-based rewards ✔ On-chain settlement"
"Filecoin (Ethereum-anchored usage only)","Protocol Labs","Protocol / Network","Decentralized Storage (Physical Nodes)","https://filecoin.io","2020","Storage providers, retrieval miners, protocols","Physical storage servers (HDD/SSD)","Independent storage providers","Global (data centers & independent operators)","Large-scale storage hardware + uptime","Settlement reference; interoperability anchor","Bridged settlement; storage proofs referenced by Ethereum apps","FIL rewards for storage & retrieval","Slashing for failed proofs","Data storage & availability","Proof-of-Replication + Proof-of-Spacetime","Economic staking; cryptographic proofs","Storage hardware; sealing software","Storage clients / protocols","FIL rewards + storage fees","Hardware capex; power; bandwidth","Protocol-governed","Network upgrades via governance","Medium (data centers, ISPs)","Long-term storage reliability","Proof overhead; sealing time","Jurisdictional exposure of miners","RWAs, Identity, AI Agents, DA","Cryptographic storage proofs","Medium","Decentralized storage network with verifiable physical storage","Physical disks must store data to earn rewards; Ethereum consumes availability guarantees","Treat Filecoin as storage backend, Ethereum as coordination layer","✔ Physical storage required ✔ Proof-based rewards ✔ Ethereum apps rely on it"
"Arweave (Ethereum settlement / usage only)","Arweave","Protocol","Permanent Storage Network","https://www.arweave.org","2018","Storage miners, protocols, archivists","Physical storage servers","Independent miners","Global","Storage hardware + long-term commitment","Settlement reference; data anchoring","Ethereum apps reference Arweave data hashes","AR rewards for permanent storage","Economic dilution via protocol rules","Permanent data storage","Proof-of-Access","Economic incentives; replication","Gateway infrastructure","Data publishers / protocols","AR token fees","Storage + bandwidth","Protocol-governed","Core protocol upgrades","Medium (gateways, hosting)","Long-term incentive sustainability","Data growth over time","Low–Medium","Identity, Social, RWAs, Archives","Permanent data guarantee","Medium","Perma-storage layer used by Ethereum apps for immutable data","Physical storage underpins permanent data guarantees","Use as immutability layer, not transactional storage","✔ Physical storage ✔ Economic permanence ✔ Ethereum-consumed data"
"Storj","Storj Labs","Company / Network","Decentralized Cloud Storage","https://www.storj.io","2017","Storage node operators, enterprises","Physical storage nodes","Individual operators","Global (edge & consumer nodes)","Commodity storage hardware","Settlement & access coordination","Payment & access settlement (Ethereum usage)","STORJ payments for stored data","Node disqualification","Data storage & uptime","Audits + redundancy checks","Redundancy & audits","Coordination services","Customers / enterprises","STORJ payments","Hardware; bandwidth","Company-led","Company upgrades","High (coordination infra)","Operator churn","Network coordination overhead","Medium","RWAs, DePIN apps","Enterprise-friendly UX","Medium","Distributed cloud storage using physical nodes","Physical storage provision is required to earn rewards","More centralized coordination than Filecoin","✔ Physical nodes ✔ Service-based rewards ✔ Ethereum settlement"
"Helium","Helium Foundation / Nova Labs","Protocol / Network","Decentralized Wireless Connectivity","https://www.helium.com","2019","Hotspot operators, carriers, IoT users","Radios, hotspots (LoRaWAN, 5G, Wi-Fi)","Independent node operators","Global (urban & rural)","Certified hotspot hardware + internet backhaul","Settlement; Incentives; Governance (Ethereum-integrated)","Rewards, accounting, governance (bridged)","Token rewards based on coverage & usage","Reduced rewards for invalid coverage","Wireless coverage & data transfer","Proof-of-Coverage + usage metrics","Geographic validation; signal challenge system","Certified hardware; oracle inputs","Network users / carriers","HNT ecosystem tokens","Hardware capex; power; bandwidth","Foundation + token governance","Protocol governance upgrades","Medium (hardware supply, ISPs)","Coverage gaming; regulatory exposure","Spectrum limits; density","Medium–High","RWAs, IoT, Mobility","Network effects + hardware moat","Medium","Global decentralized wireless network coordinated by crypto incentives","Physical radio deployment is mandatory for rewards","Canonical example of real-world coverage as on-chain state","✔ Physical radios ✔ Coverage-based rewards ✔ Crypto-economic enforcement"
"Pollen Mobile","Pollen Mobile","Protocol / Network","Decentralized Cellular (5G) Network","https://pollenmobile.io","2021","Cell node operators, mobile users","5G small cells","Independent operators","Regional (primarily urban pilots)","5G-capable cell hardware","Settlement; Incentives; Governance","Rewards & accounting","Token rewards for validated coverage","Stake slashing for misreporting","Cellular coverage & throughput","Coverage validation + usage proofs","Staking + location verification","Cellular hardware & spectrum rules","Network users","PCN token incentives","Hardware + spectrum costs","Protocol-led","Core protocol upgrades","High (telecom infra, spectrum)","Regulatory approval; rollout cost","Spectrum licensing","High","IoT, Mobility, Smart Cities","Regulatory-aware deployment","Medium","Community-built decentralized cellular network","Physical 5G coverage directly determines rewards","Strong DePIN signal but heavy regulatory coupling","✔ Physical coverage ✔ Usage-based rewards ✔ Ethereum-coordinated"
"XNET","XNET","Protocol / Network","Decentralized Connectivity (Wi-Fi / DAS)","https://www.xnetmobile.io","2022","Node operators, venues, carriers","Wi-Fi / DAS radios","Independent operators & venues","Regional (dense urban venues)","Venue-installed radio hardware","Settlement; Incentives","Rewards & usage settlement","Token rewards per validated usage","Reduced rewards for inactive nodes","Data offload & connectivity","Usage-based verification","Economic staking; venue validation","Carrier integrations","Carriers / users","XNET token rewards","Hardware + installation","Protocol-led","Protocol upgrades","High (carrier integration)","Venue concentration risk","Physical deployment density","Medium","Mobility, IoT, Smart Infrastructure","Venue-based distribution","Medium","Decentralized mobile offload network using physical radios","Requires real venue-based connectivity to earn","Best viewed as carrier-adjacent DePIN","✔ Physical radios ✔ Usage-validated ✔ Incentive-driven"
