"Entity","Maintaining Organization","Entity Type","Entity Archetype","Website","Year Launched","Mainnet Status","One-Line Description","Primary Enterprise Function","Secondary Functions","Enterprise Use Case Category","Target Customer","Deployment Model","Ethereum Dependency","Ethereum Role","Supported Ethereum Environments","Cross-Chain / Interop","Integration & Systems Compatibility","Identity / Permissioning","Privacy / Confidentiality Model","Compliance Enablement","Governance & Change Mgmt","Security / Key Mgmt Model","Audit Status","Enterprise Clients (Examples)","Production Readiness","Vendor Lock-In Risk","Reason for Inclusion","Practitioner’s Note","Practitioner Validation Check",""
"ConsenSys (Enterprise / Quorum stack)","ConsenSys","Platform / Middleware","Enterprise Ethereum Platform","https://consensys.io","2014","Live (Enterprise + Mainnet anchoring)","Full enterprise Ethereum stack including Quorum, Besu, Codefi modules, and integration tooling","Enterprise deployment & operation of Ethereum","Permissioning, identity, privacy, integration","Payments, capital markets, supply chain","Enterprise / Bank / Gov","Hybrid (Managed + Self-Hosted)","High","Execution / Control Plane","Mainnet, L2s, Private + Mainnet anchoring","Limited (EVM-centric)","ERP, IAM, compliance tooling","Role-based, org-managed","Private tx (Quorum), selective disclosure","Audit, reporting, policy controls","Org-governed upgrades","Enterprise KMS / HSM","Extensive","Tier-1 banks, enterprises","High","Medium","Canonical enterprise gateway to Ethereum","Modular but opinionated stack","Does production use anchor to public Ethereum?",""
"Kaleido","Kaleido","Platform (SaaS)","Enterprise Blockchain Middleware","https://kaleido.io","2017","Live (Ethereum-anchored)","Managed platform to spin up, operate, and integrate Ethereum networks for enterprises","Enterprise Ethereum orchestration","Identity, monitoring, integrations","Ops, supply chain, settlement","Enterprise","SaaS / Managed","High","Execution / Ops Plane","Mainnet-connected private nets","Limited","ERP, IAM, cloud tooling","Org & role-based","Configurable privacy & data controls","Enterprise audit & ops","Platform-managed","Managed KMS","Audited","Global enterprises","High","Medium-High","Abstracts ops complexity for enterprise Ethereum","Convenience vs portability tradeoff","Can workloads exit Kaleido cleanly?",""
"Alchemy (enterprise / infra adoption)","Alchemy","Infrastructure Platform","Enterprise Ethereum Infrastructure","https://www.alchemy.com","2019","Live (Mainnet & L2s)","Enterprise-grade Ethereum node, API, and observability platform","Reliable Ethereum access & ops","Monitoring, scaling, analytics","Apps, fintech, enterprise IT","Enterprise / Scale-ups","SaaS","High","Access / Control Plane","Mainnet, L2s","Yes (multi-chain EVM)","DevOps, data pipelines","API-key & org controls","Provider-level","Indirect (audit logs, monitoring)","Provider-managed","Provider KMS","Audited","Enterprises, protocols","High","Medium","Makes Ethereum operable at enterprise scale","Infra dependency risk","Is Ethereum access a single-vendor risk?",""
"Nightfall (EY)","Ernst & Young (EY)","Protocol","Enterprise Privacy & Settlement","https://nightfallprotocol.com","2019","Live (Ethereum mainnet)","Privacy-preserving transfers for enterprises using ZK proofs on Ethereum","Confidential settlement","Privacy, compliance controls","Payments, asset transfer","Enterprise / Bank","Hybrid","High","Settlement","Mainnet","Limited","ERP, compliance tooling","Org-defined","ZK-based confidentiality","Strong (audit-friendly privacy)","Protocol-governed","Enterprise custody","Audited","Enterprise pilots","Medium-High","Low-Medium","Enables compliant privacy on public Ethereum","Complexity & cost of ZK","Are proofs anchored to L1 finality?",""
"Polygon Nightfall","Polygon + EY","Protocol / Platform","Enterprise Privacy Rollup","https://polygon.technology/nightfall","2023","Live (Ethereum-anchored rollup)","Hybrid optimistic-ZK rollup for private enterprise transactions settled on Ethereum","Private enterprise settlement","Scalability, privacy","Payments, tokenization","Enterprise","Managed / Hybrid","High","Settlement / Scaling","Ethereum L1 + Nightfall rollup","Limited","ERP, custody, compliance","Org-managed","ZK + rollup privacy","Enterprise-grade","Protocol-governed","Enterprise custody","Audited","Enterprise pilots","Medium-High","Medium","Production path for private activity on Ethereum","Rollup ops & exit assumptions","How does fallback to L1 work under stress?",""
"Hyperledger Besu (enterprise context)","Hyperledger Foundation (LF)","Open-Source Client","Enterprise Ethereum Client","https://besu.hyperledger.org","2018","Live (Mainnet & private)","Enterprise-grade Ethereum client supporting public mainnet and permissioned networks","Run Ethereum nodes in enterprise environments","Permissioning, private tx, ops tooling","Capital markets, payments, infra","Enterprise / Bank / Gov","Self-Hosted","High","Execution / Node Layer","Mainnet, L2s, Private + Mainnet anchoring","Limited (EVM)","IAM, monitoring, ops","On-chain permissioning","Private tx (EEA)","Audit, ops controls","Org-managed","Enterprise KMS / HSM","Extensive","Banks, enterprises","High","Low","Canonical enterprise Ethereum client","Client choice affects ops and privacy tradeoffs","Is mainnet anchoring required for the use case?",""
"SettleMint","SettleMint","Platform (SaaS)","Enterprise Blockchain Platform","https://settlemint.com","2016","Live (Ethereum-anchored)","Low-code enterprise platform to build and deploy Ethereum solutions","Rapid enterprise deployment","Workflow, integration, ops","Supply chain, finance, gov","Enterprise","SaaS / Managed","High","Execution / Ops Plane","Mainnet-connected private nets","Limited","ERP, IAM, data systems","Org & role-based","Configurable privacy","Audit & reporting","Platform-managed","Managed KMS","Audited","Enterprises, gov pilots","High","Medium-High","Abstracts dev & ops for enterprises","Speed vs portability tradeoff","Can solutions migrate off platform cleanly?",""
"BlockApps (STRATO, Ethereum-anchored)","BlockApps","Platform","Enterprise Ethereum Platform","https://blockapps.net","2015","Live (Ethereum-anchored deployments)","Enterprise blockchain platform using Ethereum-compatible STRATO with public anchoring","Enterprise blockchain deployment","Tokenization, workflows","Supply chain, energy","Enterprise","Hybrid","Medium-High","Execution / Settlement (anchored)","Private + Mainnet anchoring","Limited","ERP, data pipelines","Org-managed","Permissioned + anchoring","Enterprise compliance","Platform-governed","Enterprise custody","Audited","Energy & supply-chain firms","Medium-High","Medium","Included only where public Ethereum anchoring exists","Exclude private-only STRATO deployments","Is public Ethereum anchoring mandatory in prod?",""
"R3 (Ethereum interop only)","R3","Consortium / Platform","Enterprise Interoperability","https://r3.com","2014","Live (interop contexts)","Enterprise DLT consortium enabling interoperability with public Ethereum","Interoperability & integration","Messaging, settlement bridges","Financial markets","Bank / Enterprise","Hybrid","Medium","Messaging / Settlement Bridge","Ethereum mainnet (interop)","Yes","Core banking, ERP","Org-defined","Confidentiality via DLT + bridges","Regulatory alignment","Consortium-governed","Enterprise custody","Audited","Tier-1 banks","Medium","Medium","Included only for Ethereum interoperability","Core stack is not Ethereum-native","Does value settle or anchor on Ethereum?",""
"ConsenSys Codefi","ConsenSys","Platform / Modules","Enterprise Middleware","https://consensys.io/codefi","2019","Live (Ethereum mainnet & L2s)","Modular enterprise suite for payments, workflows, assets, and data on Ethereum","Enterprise business logic & workflow on Ethereum","Tokenization, payments, data APIs","Payments, capital markets, ops","Enterprise / Bank","Hybrid (Managed + Self-Hosted)","High","Execution / Control Plane","Mainnet, L2s","Limited","ERP, finance, compliance systems","Role-based, org-managed","Configurable (module-dependent)","Audit, reporting, policy tooling","Org-governed","Enterprise KMS / HSM","Audited","Banks, fintechs","High","Medium","Encodes enterprise workflows directly on Ethereum","Modular power increases architecture complexity","Are Codefi modules anchoring final state to Ethereum?",""
