"Entity Uniswap","Maintaining Organization Uniswap DAO (governance) with development by Uniswap Labs","Website https://uniswap.org","Launch Year 2018 (v1); v2 2020; v3 2021","Protocol Status Active (v3 dominant on Ethereum)","DEX Model Concentrated Liquidity AMM (v3); Constant Product AMM (v2 legacy)","Execution Mechanism Pool-based swaps executed fully onchain","Price Discovery Method Continuous onchain pricing via AMM curves","Liquidity Providers Permissionless LPs","Capital Efficiency Design Concentrated liquidity ranges (v3); uniform liquidity (v2)","Primary Trading Pairs ETH pairs, stablecoin pairs, LST pairs, long-tail ERC-20s","Oracle Usage Native price output widely used externally (TWAPs referenced by oracles, lending, and derivatives)","MEV Exposure Profile High (classic AMM MEV exposure: sandwiching, arbitrage)","Integration Footprint Lending liquidations, yield strategies, derivatives pricing, oracle references, treasury swaps","Governance Model DAO token governance (UNI)","Fee Control Fee tiers are protocol-defined; fee switches and new parameters are governance-controlled (not all activated)","Description The dominant Ethereum AMM enabling permissionless token swaps via onchain liquidity pools, with capital-efficient concentrated liquidity introduced in v3.","Reason for Inclusion Meets criteria: executes swaps onchain, defines its own pricing mechanism, and is a primary source of spot price discovery on Ethereum.","Practitioner’s Note Key diligence: LP risk is non-trivial in v3 (range management, active rebalancing). Watch MEV exposure, LP concentration in narrow ranges, and dependency risk where Uniswap TWAPs act as de facto oracles.","Practitioner Validation Check YES executes trades onchain • YES sets prices via AMM curves • YES non-custodial settlement","Systemic Importance Very High (arguably the most systemically important spot DEX on Ethereum)","Historical Stress Behavior Proven resilience through volatility events (2020–2024); stress typically expresses as fee spikes and LP reallocation, not protocol failure","Dependency Concentration Risk High reliance by downstream protocols; High LP concentration risk in key pools; High MEV exposure by design","","",""
"SushiSwap","Sushi DAO (governance) with Sushi core contributors maintaining protocol","https://www.sushi.com","2020","Active (Ethereum deployment ongoing; multi-chain presence)","Constant Product AMM (Uniswap v2-style)","Pool-based swaps executed fully onchain","Continuous onchain pricing via AMM invariant","Permissionless LPs","Uniform liquidity (v2-style pools)","ETH pairs, stablecoin pairs, long-tail ERC-20s","Prices used internally and by integrators; not a primary canonical oracle source","High (AMM MEV exposure similar to Uniswap v2)","Yield strategies, DAO treasury swaps, long-tail asset liquidity","DAO token governance (SUSHI)","Governance-controlled fee splits (LP vs protocol)","A general-purpose AMM offering permissionless token swaps and liquidity provision, with broad asset coverage and strong long-tail liquidity.","Meets criteria: owns execution logic, settles swaps onchain, and contributes to spot price discovery across many ERC-20 pairs.","Key diligence: protocol governance stability (post-2021 restructurings), sustainability of incentives, and depth of liquidity vs Uniswap on major pairs. Sushi often matters more for coverage than dominance.","YES executes trades onchain • YES sets prices via AMM • YES non-custodial settlement","Medium–High (important secondary liquidity venue; not the primary price anchor)","Governance and treasury stress events (2021–2022); no core AMM insolvency events","Medium LP concentration risk; Medium dependency on incentives for liquidity depth","","",""
"Balancer","Balancer DAO with Balancer Labs as core contributor","https://balancer.fi","2020","Active (v2 architecture dominant)","Programmable / Weighted AMM","Vault-based onchain swaps across custom pools","Continuous onchain pricing via generalized AMM math","Permissionless LPs; DAO-managed pools","Weighted pools, boosted pools, composable pools","ETH pairs, stablecoin baskets, LST baskets, multi-asset pools","Native prices used internally and externally (especially for LST baskets and treasury pricing)","Medium (Vault + batch swaps reduce some MEV, but not eliminated)","LST liquidity, DAO treasury management, index-like exposure, lending collateral pricing","DAO token governance (BAL)","Governance-set pool fees; flexible per-pool configuration","A programmable liquidity protocol enabling multi-asset and weighted pools, optimized for portfolio-style liquidity and capital-efficient baskets.","Meets criteria: executes swaps onchain, defines pricing via AMM math, and provides critical price discovery for basketized assets.","Key diligence: pool composition risk (multi-asset exposure), reliance on a smaller set of sophisticated LPs, and smart-contract surface area of the Vault architecture.","YES executes trades onchain • YES sets prices via pools • YES non-custodial settlement","High (critical for LST baskets, DAO treasuries, and non-standard liquidity structures)","Generally resilient; stress expresses via pool rebalancing and fee volatility rather than protocol failure","Medium–High concentration risk in specific pool types (LSTs, DAO-managed pools)","","",""
"Curve Finance","Curve DAO (CRV governance) with Curve core contributors","https://curve.fi","2020","Active (Ethereum mainnet core; multi-chain deployments)","Stable / invariant-based AMM","Pool-based swaps executed fully onchain","Continuous onchain pricing optimized for low-slippage around peg","Permissionless LPs; DAO-directed liquidity via gauges","Highly capital-efficient stableswap invariants","Stablecoin pairs, LST pairs, correlated assets (e.g., ETH/LST)","Native prices heavily referenced for stablecoins and LSTs (de facto peg oracle)","Medium (lower toxic MEV due to low volatility pairs; still arb-driven)","Lending liquidations, stablecoin pegs, LST pricing, yield strategies","DAO token governance (CRV)","Governance-set fees and gauge emissions","A specialized AMM optimized for stable and correlated assets, providing deep liquidity and minimal slippage near target prices.","Meets criteria: executes swaps onchain, defines pricing via invariant math, and is a primary price discovery venue for stablecoins and LSTs.","Key diligence: peg defense relies on LP depth and incentives; gauge politics affect liquidity placement; depeg events test pool resilience more than smart contracts.","YES executes trades onchain • YES sets prices via AMM • YES non-custodial settlement","Very High (critical for stablecoin and LST pricing across Ethereum DeFi)","Proven through multiple depeg cycles (USDC 2023, others); stress shows as pool imbalance, not protocol failure","High dependence on a few major stablecoins/LSTs; High reliance by downstream protocols","","",""
"Maverick Protocol","Maverick DAO / Maverick team (protocol governance and development)","https://www.mav.xyz","2023","Active","Dynamic / directional AMM","Pool-based swaps with automatic liquidity movement","Continuous onchain pricing with liquidity that follows price","Permissionless LPs","Dynamic liquidity that repositions with price moves","ETH pairs, stablecoin pairs, volatile assets","Internal pricing only; not widely used as a canonical oracle","Medium (design aims to reduce LP adverse selection vs static AMMs)","Emerging integrations; used by sophisticated LPs seeking efficiency","DAO governance (MAV)","Governance-configurable fees and pool parameters","A next-generation AMM where liquidity automatically shifts directionally with price, reducing LP management overhead and adverse selection.","Meets criteria: executes swaps onchain, owns pricing/execution logic, and contributes to spot price discovery for supported pairs.","Key diligence: understand directional modes and LP exposure profiles; liquidity can concentrate rapidly, changing depth characteristics during volatility.","YES executes trades onchain • YES sets prices via AMM • YES non-custodial settlement","Medium (innovative design, but not a primary system price anchor yet)","Limited long-cycle stress history; monitor behavior during sharp trend reversals","Medium LP sophistication concentration; adoption/liquidity depth risk","","",""
"dYdX (v3 on Ethereum)","dYdX Trading Inc. with governance by dYdX DAO","https://dydx.exchange","","Deprecated on Ethereum (migrated to app-chain later)","Order book–style perpetual DEX (spot execution context historically on Ethereum)","Onchain settlement with offchain order matching (v3 hybrid)","Order book price discovery anchored by onchain settlement","Professional market makers (permissioned in v3 era)","Margin-efficient, order-book execution","ETH and major ERC-20 pairs (perps context; spot execution historically present)","Uses external oracles for pricing/settlement checks","Medium (hybrid design reduced some AMM MEV vectors)","Reference architecture for hybrid onchain DEX design; historical integrations","DAO governance (DYDX)","Governance-set fees and parameters","A hybrid DEX that historically executed and settled trades on Ethereum using an order book model, contributing to price discovery via matched trades.","Included for historical Ethereum DEX execution: owned execution logic, settled onchain, and contributed to price discovery during its Ethereum-native phase.","Context matters: include only the Ethereum v3 era. Useful as a reference for hybrid designs; exclude current app-chain operations when analyzing Ethereum-native liquidity today.","YES executed trades settled on Ethereum (v3) • YES prices set via matched trades • YES non-custodial settlement at the protocol layer","Medium (historical)","Operated through high-volatility periods without AMM-style LP failures; migration reflects scaling tradeoffs","High reliance on market makers; Medium oracle and ops dependency","","",""
"0x Protocol","0x DAO with development by 0x Labs","https://0x.org","2017","Active","RFQ / Hybrid onchain execution protocol","Onchain settlement of RFQ and limit orders","Quote-driven price discovery settled onchain","Professional market makers (RFQ)","Capital-efficient RFQ fills (no passive LP capital)","Major ERC-20 pairs; stablecoin pairs","Limited oracle dependence; prices set by quotes","Low–Medium (RFQ reduces sandwich risk)","Widely embedded in wallets, dApps, and institutional flows","DAO governance (ZRX)","Governance-controlled fees (varies by deployment)","A DEX protocol enabling onchain settlement of RFQ and limit orders, where prices are quoted by market makers and executed trustlessly on Ethereum.","Included when used for onchain execution: it owns settlement logic and sets prices via onchain trades (RFQ fills), not merely routing.","Scope carefully: include RFQ/onchain fills; exclude pure routing/aggregation use. Key value is MEV-resistant execution for large trades.","YES settles trades onchain • YES prices set via quotes executed onchain • YES non-custodial settlement","High (infrastructure-level importance; execution layer for many apps)","Resilient; stress shows as liquidity withdrawal by MMs rather than protocol failure","High MM concentration risk; Medium dependency on integrators’ flow","","",""
"Cow Protocol","Cow DAO (Gnosis ecosystem)","https://cow.fi","2021","Active","Batch auction / RFQ hybrid","Batch auctions settled onchain via a settlement contract; solver competition","Uniform clearing price per batch (auction-based price discovery)","Professional solvers + AMM liquidity as fallback","Capital-efficient via netting and coincidence-of-wants","Major ERC-20s; stablecoin pairs; ETH pairs","Limited oracle dependence; prices emerge from auction clearing","Low (designed to minimize MEV via batch auctions)","Wallet integrations, DAO treasury trades, institutional-sized swaps","DAO governance (COW)","Governance-set protocol fees","A DEX that batches trades and clears them at a uniform price, leveraging solver competition to minimize MEV and improve execution.","Meets criteria: owns execution logic, settles trades onchain, and sets prices through auction clearing on Ethereum.","Key diligence: solver set health and competition, fallback reliance on AMMs during thin auctions, and latency tradeoffs vs continuous AMMs.","YES executes trades onchain • YES sets prices via batch clearing • YES non-custodial settlement","High (critical MEV-resistant execution layer for large trades)","Resilient during volatility; stress shows as higher reliance on AMM fallback rather than failed settlement","Medium solver concentration risk; Medium dependency on underlying AMM liquidity for fallback","","",""
"Kyber Network","Kyber DAO with core development by Kyber contributors","https://kyberswap.com","2018","Active (Ethereum deployment)","Hybrid AMM + RFQ liquidity","Onchain swaps via Kyber pools and RFQ-style sources","Continuous onchain pricing (pools) with quote-driven fills","Permissionless LPs + professional market makers","Elastic AMM designs (varies by product iteration)","ETH pairs, stablecoin pairs, long-tail ERC-20s","Internal pricing; not a primary external oracle source","Medium (hybrid design; RFQ can reduce some MEV)","Wallets, DeFi apps, treasury swaps","DAO governance (KNC)","Governance-controlled fees and incentives","A liquidity protocol combining AMM pools and professional liquidity to enable onchain swaps with broad asset coverage.","Meets criteria: executes swaps onchain, defines pricing via its own pools/quotes, and contributes to spot price discovery.","Key diligence: product/version clarity (Kyber has evolved significantly), liquidity depth vs peers, and reliance on incentives to sustain LP participation.","YES executes trades onchain • YES sets prices via pools/quotes • YES non-custodial settlement","Medium–High (important secondary liquidity venue)","History includes upgrades and incentive shifts; no systemic AMM failure","Medium LP concentration and incentive-dependence risk","","",""
"Bancor","Bancor DAO with Bancor contributors","https://bancor.network","2017","Active (Ethereum deployments; protocol iterations over time)","Single-sided AMM with protocol-owned liquidity features","Pool-based swaps executed fully onchain","Continuous onchain pricing via AMM curves (single-asset exposure vs paired LPs)","Permissionless LPs (single-sided) + protocol-owned liquidity","Single-sided liquidity with protocol-side balancing","ETH pairs, long-tail ERC-20s","Internal pricing only; not a dominant external oracle","Medium–High (AMM MEV exposure; design shifts aim to mitigate LP risk rather than MEV)","DAO treasuries, long-tail asset liquidity","DAO governance (BNT)","Governance-set fees and parameters","An AMM enabling single-sided liquidity provision, where LPs supply one asset and the protocol balances exposure using BNT, setting prices via onchain swaps.","Meets criteria: owns swap execution, sets prices through onchain AMM trades, and contributes to spot price discovery for supported assets.","Key diligence: protocol-owned liquidity and insurance mechanisms introduce reflexive risk; historical changes to IL protection highlight governance and treasury exposure during stress.","YES executes trades onchain • YES sets prices via AMM • YES non-custodial settlement","Medium–High (important historically and for single-sided liquidity design)","Experienced stress during market downturns leading to parameter changes and redesigns","High reliance on BNT mechanics; Medium LP concentration risk","","",""
"Shell Protocol","Shell contributors / early DeFi research team","https://shellprotocol.io","2020","Deprecated / Historical","Multi-asset stable AMM (portfolio-style invariant)","Pool-based swaps executed onchain","Continuous onchain pricing across multiple correlated assets","Permissionless LPs","Portfolio-style invariant across many assets","Stablecoins and correlated ERC-20 baskets","Internal pricing only","Low–Medium (design targeted low-slippage, correlated trades)","Primarily design influence (Balancer, Curve-style thinking)","Minimal / experimental governance (historical)","Fixed / limited parameter surface","An early multi-asset AMM exploring portfolio-style invariants for efficient swaps among baskets of correlated assets.","Included as a design-relevant DEX: executed swaps onchain and set prices via its own invariant, influencing later AMM designs.","Contextual value: not relevant for current liquidity, but important for understanding the evolution of basketized and stable AMM design on Ethereum.","YES executed swaps onchain • YES set prices via invariant • YES non-custodial (historical context)","Low (historical)","Limited stress history due to early deprecation","Low current dependency; High relevance as design ancestor","","",""
