"Entity Aave Compound MakerDAO Spark Protocol (SparkLend) Morpho (Morpho Blue)","Maintaining Organization Aave DAO (governance) + Aave Labs (major dev & interface/operator tooling) (aave.com) Compound DAO (governance) with historical development by Compound Labs MakerDAO (DAO-governed protocol) with core units / contributors maintaining modules Spark Governance (SPK) operating via the Spark Agent in the Sky Atlas (Sky ecosystem) (Spark Docs) Morpho Governance (MORPHO token); governance whitelists IRMs/LLTVs and can activate fee switch (docs.morpho.org)","Website https://aave.com (aave.com) https://compound.finance https://makerdao.com https://spark.fi (Spark Docs) https://morpho.org (morpho.org)","Launch Year 2020 (v1 Ethereum mainnet) (aave.com) 2018 (v2 on Ethereum) 2017 (Single-Collateral DAI; Multi-Collateral DAI in 2019) 2023 (public launch May 9, 2023) (X (formerly Twitter)) 2023 (Morpho Blue introduced Oct 2023) (morpho.org)","Protocol Status Active (v3 widely used; v1 largely frozen) (messari.io) Active (v3 “Comet” is primary; v2 largely deprecated/frozen for growth) Active (DAI issuance core to Ethereum DeFi) Active Active","Lending Model Pooled liquidity markets (multi-asset) Pooled liquidity markets (v2); single-collateral base with isolated borrow assets (v3/Comet) CDP / Vault-based collateralized lending Pooled liquidity markets (Aave v3-derived money market) (Spark Docs) Permissionless, isolated lending markets (1 collateral + 1 loan asset per market) (docs.morpho.org)","Collateral Types Supported ERC-20s; ETH; widely supports LST collateral in certain markets (risk-parameter dependent) ERC-20s; ETH (wrapped); selected stablecoins; LST support market-dependent (primarily via governance-approved assets) ETH; ERC-20s; selected LSTs; RWAs (via specialized vaults) ERC-20s + ETH (incl. stETH, DAI, sDAI at launch; asset set is governance/risk-managed) (TradingView) ERC-20s; market-defined collateral/loan pairs (including LSTs, stablecoins, and other ERC-20 collateral depending on market config) (docs.morpho.org)","Credit Issuance Mechanism Over-collateralized borrowing with onchain solvency constraints Over-collateralized borrowing with protocol-enforced solvency Over-collateralized borrowing via minting DAI against locked collateral Over-collateralized borrowing with onchain solvency rules Over-collateralized borrowing per-market with LLTV-defined solvency thresholds (morpho.org)","Interest Rate Model Utilization-based variable rates; also supports “stable” borrow rate mode (market-specific) Utilization-based interest rate curves per asset (v2); simplified rate model with base/borrow asset separation (v3) Governance-set stability fees per vault type (effectively interest rates) Utilization-based IR model (Aave v3 lineage) + custom DAI/sDAI strategies in Spark context (Medium) Market-selected Interest Rate Models (IRMs); IRMs/LLTVs are constrained by governance whitelists (docs.morpho.org)","Liquidation Mechanism Onchain liquidations triggered when Health Factor < 1; liquidators repay debt for collateral + bonus (bonus/thresholds per asset, governance/risk-managed) (aave.com) Onchain liquidations when collateral value breaches borrow limits; liquidators repay debt for collateral at protocol-defined incentives Onchain liquidation via auctions (debt, collateral, surplus); keeper participation required Health Factor-based liquidations (HF < 1), onchain seizure/repay mechanics (Spark Docs) Standard liquidation when LTV exceeds LLTV; liquidators repay debt and seize collateral at discount (protocol-enforced) (docs.morpho.org)","Oracle Dependencies Primarily Chainlink price feeds with protocol risk controls (market-config dependent) Chainlink price feeds (primary), with protocol-defined fallbacks/guards Decentralized Oracle Network (Maker Oracles) with Chainlink integrations and redundancy Oracle-driven risk system; Spark has integrated oracle providers (e.g., RedStone) for lending markets (RedStone blog) Oracle per market; Morpho established an oracle wrapper for Chainlink feeds to support initial markets (morpho.org)","Isolation of Risk Risk primarily at market/reserve parameter level (not isolated per-user); isolation features exist in newer versions/markets but not “isolated pools” by default Moderate isolation: v3 introduces asset isolation via a single base asset with segmented collateral; v2 uses shared pools High isolation at vault-type level; each collateral type has independent parameters Shared pool risk by asset/reserve parameters (not per-market isolation like Morpho Blue) High isolation: each market is isolated and immutable by design (docs.morpho.org)","Primary Role in DeFi Base credit + leverage layer for Ethereum DeFi Base credit layer and leverage primitive for Ethereum DeFi Stablecoin issuance + base credit layer for DeFi DAI-centered credit & liquidity venue; major stablecoin + ETH collateral borrowing/supply rails inside Sky ecosystem (Blockworks) Base lending primitive for permissionless risk markets; “lending infrastructure” others build vaults/allocators on top of","Upstream Dependencies DEX liquidity for liquidation execution; oracle networks; stablecoin liquidity; governance/risk stewards Oracles (Chainlink); DEX liquidity for liquidation execution; stablecoin liquidity Oracles; keeper/liquidation infrastructure; governance processes; real-world legal structures (for RWAs) Oracles; DEX liquidity for liquidation execution; Sky/Maker liquidity inputs; governance operations (Blockworks) Oracles; liquidator/keeper ecosystem; market curation/allocators; DEX liquidity for liquidation execution","Downstream Consumers Yield strategies, leveraged LPs, hedged carry, structured products, derivatives margin users Yield strategies, leveraged positions, DAO treasuries, arbitrage and carry strategies DEX liquidity, lending protocols, yield strategies, derivatives, DAOs, payment rails Yield strategies, stablecoin allocators, leverage users, structured products integrating DAI liquidity Vaults/allocators, structured lending products, leveraged strategies, institutional deployers using Morpho rails","Governance Model Token governance (AAVE) via Aave DAO processes; proposals/voting for parameter changes (aave.com) Token governance (COMP) via Compound DAO proposals and voting Token governance (MKR) with executive votes and onchain spell execution Governance via SPK token; Snapshot/signaling and governance system documented by Spark (Spark Docs) Token governance via MORPHO; weighted voting and defined governance powers (docs.morpho.org)","Parameter Control Governance-gated risk parameters + emergency controls (typical DeFi risk-admin pattern) Governance-gated parameters; admin/guardian controls for emergencies (especially during upgrades) Fully governance-controlled parameters; emergency shutdown and circuit breakers exist Parameter updates controlled through governance actions on the Spark Agent (risk, budgets, onboarding, deployments) (Spark Docs) Governance whitelists key risk parameters (LLTVs, IRMs) and can toggle fee switch (capped) (docs.morpho.org)","Description Non-custodial liquidity markets enabling users to supply assets to earn interest and borrow against collateral via smart contracts. (aave.com) Non-custodial lending protocol enabling users to supply assets to earn interest and borrow against collateral, with simplified risk architecture in v3 (Comet). Protocol that issues the DAI stablecoin by allowing users to borrow against onchain collateral through vaults, with liquidation and solvency enforced by smart contracts. Non-custodial Ethereum money market (“SparkLend”), built on Aave v3 codebase, enabling supply/borrow with protocol-enforced interest and liquidation mechanics. (Spark Docs) A minimal, trustless lending primitive enabling permissionless creation of isolated lending markets, each defined by collateral, loan asset, LLTV, oracle, and IRM. (morpho.org)","Reason for Inclusion Meets criteria: onchain borrowing/lending; collateralized credit issuance; onchain interest rate mechanics; liquidation + solvency enforced by protocol logic. (aave.com) Meets criteria: issues credit onchain against collateral; defines interest rates, liquidation logic, and solvency rules fully in smart contracts. Meets criteria: onchain borrowing; collateralized credit issuance; explicit liquidation and solvency logic; interest (stability fees) set and enforced onchain. Meets criteria: onchain borrowing/lending, collateralized credit issuance, onchain interest + liquidation + solvency rules. (Spark Docs) Meets criteria: creates credit and enforces liquidation/solvency fully onchain; interest and risk logic are protocol-defined per market. (docs.morpho.org)","Practitioner’s Note Research focus: liquidation mechanics (health factor dynamics), collateral mix concentration, oracle coverage/fallbacks, and governance latency during fast markets. Also track version/market fragmentation (v1 frozen vs v3 active) when analyzing risk. (messari.io) Research focus: differences between v2 and v3 risk profiles; base-asset concentration in v3; liquidation throughput under stress; governance response speed during incidents. Research focus: auction efficiency during stress, oracle latency, RWA exposure and offchain enforcement risk, governance concentration, and emergency shutdown assumptions. Watchpoints: Aave v3 fork deltas (custom DAI/sDAI logic), oracle stack and feed coverage, asset-list governance, and liquidation throughput under stablecoin stress. Also note Spark’s bug bounty posture. (Spark Docs) Watchpoints: oracle selection/config is a first-order risk surface (market-by-market). Validate LLTV choice, oracle robustness, and liquidation liquidity for collateral. Review post-mortems for oracle manipulation and operational incidents. (Morpho Governance Forum)","Practitioner Validation Check YES creates credit onchain • YES liquidation rules enforced by contracts (HF<1) (aave.com) • YES positions unwindable programmatically YES creates credit onchain • YES liquidation enforced by contracts • YES positions unwindable programmatically YES creates credit onchain • YES liquidation enforced via protocol auctions • YES positions unwindable programmatically YES creates credit onchain • YES liquidation rules enforced (HF<1) (Spark Docs) • YES positions unwindable programmatically YES creates credit onchain • YES liquidation enforced (LTV>LLTV) (docs.morpho.org) • YES positions unwindable programmatically","Systemic Risk Exposure High (systemically important liquidity + collateral hub) High (core, long-lived DeFi credit primitive with broad integrations) Very High (DAI is systemically embedded across DeFi and beyond) High (meaningful stablecoin and ETH market integration within Sky ecosystem) (Blockworks) High (rapidly becoming core lending primitive; systemic exposure rises with integration density)","Historical Stress Events Yes (v1 largely frozen/disabled for new supply/borrow; legacy positions remain manageable) (messari.io) Yes (v2 experienced stress events and governance interventions; migration to v3 reflects risk simplification lessons) Yes (notably March 2020 “Black Thursday” auction failures; subsequent mechanism redesigns) No major protocol-loss event cited in core docs; treat as “monitor” (bug bounty active) (Immunefi) Yes (documented oracle-manipulation event on a specific market; plus a frontend-related incident where contracts unaffected) (Morpho Governance Forum)","Dependency Concentration Risk High oracle reliance + large-collateral concentration risk (market-dependent); governance/parameter-change latency risk High oracle reliance; Medium–High asset concentration risk in v3 base asset; governance latency risk High oracle reliance; High governance concentration risk; Medium–High RWA dependency risk High oracle reliance + governance/parameter-change latency risk; asset concentration risk (DAI-centric design) (Spark Docs) High oracle dependence (per-market); configuration/parameter risk; integration/curation risk (markets can be permissionlessly created but quality varies) (mixbytes.io)"
"Euler","Euler DAO (EUL token) with development historically led by Euler Labs","https://www.euler.finance","2021","Active (v2 live; v1 deprecated after exploit)","Permissionless, modular lending markets with asset-level isolation","ERC-20s; broad long-tail asset support; LSTs/stablecoins market-dependent","Over-collateralized borrowing with per-asset risk parameters","Utilization-based interest rate models configurable per asset","Onchain liquidations and “soft liquidation” mechanisms (discounted collateral seizure)","Chainlink oracles + internal risk controls","Moderate–High isolation at asset/module level (not global pools)","High-flexibility credit layer for long-tail and experimental assets","Oracles; DEX liquidity for liquidation; governance/risk modules","Yield strategies, leverage protocols, niche asset markets","Token governance (EUL) via Euler DAO","Governance-gated parameters; emergency controls informed by v1 lessons","A modular lending protocol designed to support permissionless asset onboarding with granular risk controls and onchain liquidation logic.","Meets criteria: creates credit onchain, enforces liquidation and solvency via smart contracts, and defines interest mechanics per asset.","Critical context: Euler v1 suffered a major exploit (2023). v2 is a ground-up redesign. Practitioners must treat v2 as a new risk surface, validate audits, and avoid extrapolating v1 assumptions.","YES creates credit onchain • YES liquidation enforced • YES positions unwindable programmatically","Medium–High (v2 adoption growing, but systemic footprint smaller than Aave/Compound)","Yes (March 2023 exploit in v1; ~$197M drained, later largely recovered)","High oracle dependence; design-complexity risk; governance execution risk"
"Silo Finance","Silo DAO (SILO token) with core contributors maintaining protocol","https://www.silo.finance","2022","Active","Fully isolated, per-asset lending markets (“one asset per silo”)","ERC-20s; ETH-derived assets; LSTs and long-tail assets silo-by-silo","Over-collateralized borrowing per isolated market","Utilization-based interest rates per silo","Onchain liquidations per silo; no cross-asset contagion","Chainlink oracles (primary)","Very high isolation — each asset silo is independent by design","Risk-isolated lending infrastructure for long-tail and volatile assets","Oracles; DEX liquidity for silo-specific liquidation","Yield strategies, DAOs, niche asset liquidity providers","Token governance (SILO)","Governance-gated parameters per silo; conservative defaults","A lending protocol where each asset exists in its own isolated market, preventing contagion between assets while still enabling permissionless lending.","Meets criteria: issues credit against collateral onchain; liquidation and solvency are enforced per-silo via smart contracts.","Key advantage: structural isolation dramatically limits systemic contagion. Key tradeoff: lower capital efficiency and fragmented liquidity. Validate oracle quality and liquidation depth per silo.","YES creates credit onchain • YES liquidation enforced • YES positions unwindable programmatically","Medium (contained by isolation; lower system-wide blast radius)","No major protocol-level exploit widely cited as of latest documentation","Medium oracle reliance; low contagion risk by design; silo-specific liquidity risk"
"Goldfinch","Goldfinch governance via GFI; initial development referenced in dev docs as Warbler Labs (Goldfinch dev docs)","https://goldfinch.finance (goldfinch.finance)","2021 (protocol active era; V1 docs cover mechanics)","Active (product focus has evolved; protocol still used for onchain private credit) (docs.goldfinch.finance)","Permissioned / borrower-pool private credit (tranching: senior/junior)","Primarily USDC-denominated loans with offchain collateral / legal recourse (not crypto overcollateral) (docs.goldfinch.finance)","Loan terms instantiated as Borrower Pool smart contracts; credit deployed to approved borrowers (docs.goldfinch.finance)","Interest and repayment schedules defined in borrower pool terms (contract-enforced accounting) (docs.goldfinch.finance)","Hybrid default recovery: contracts track obligations; enforcement/liquidation can rely on offchain legal processes (research.nansen.ai)","Limited role vs. overcollateralized DeFi; borrower pools are not primarily oracle-liquidation driven","High isolation per borrower pool (idiosyncratic credit risk per pool)","Bridge between DeFi capital and real-economy/private credit underwriting","Offchain underwriting + legal enforcement; stablecoin liquidity; pool participants/backers","RWA/credit allocators; diversified stablecoin yield strategies; DAOs seeking private-credit yield","GFI token governance (docs.goldfinch.finance)","Governance influences protocol direction/parameters and onboarding frameworks; pool-level terms set per borrower proposal (docs.goldfinch.finance)","Private credit protocol that deploys stablecoin capital into borrower pools with onchain loan terms and repayment tracking. (docs.goldfinch.finance)","Meets Lending inclusion on onchain loan issuance + contractual repayment logic; note: default recovery is commonly hybrid rather than purely onchain liquidation. (docs.goldfinch.finance)","Key diligence: this is not “Aave-style liquidation.” Validate (1) borrower screening, (2) legal enforceability, (3) recovery timelines, (4) concentration by borrower/pool, (5) liquidity/exit constraints. (research.nansen.ai)","Credit creation: YES (borrower pool contracts) (docs.goldfinch.finance) • Liquidation enforcement: PARTIAL (often offchain legal) (research.nansen.ai) • Programmatic unwind: PARTIAL (depends on pool liquidity + recovery)","Medium (systemic footprint lower than Aave/Compound; higher idiosyncratic credit risk)","Yes (borrower defaults have been discussed in ecosystem risk coverage) (cork.tech)","High underwriting/servicer dependence; High offchain enforcement risk; borrower concentration risk"
"Maple Finance","Maple DAO with governance now centered on SYRUP token (Maple Finance)","https://maple.finance (Maple Finance)","2021 (v1 era); major redesign to v2 announced in 2022 (Code4rena)","Active (institutional + “Syrup” products) (Maple Finance)","Permissioned / curated pools (pool delegates / underwriting), onchain loan/pool rails","Collateral is typically liquid digital assets for secured products; pool terms vary by product line (Maple Finance)","Credit deployed from pools to borrowers under pool-delegate underwriting; loan/pool state tracked onchain","Interest accrues per loan terms; pool accounting is onchain","Default triggers can be initiated by pool delegate; onchain liquidation module exists (Liquidator contract) (GitHub)","Not primarily oracle-driven like Aave; depends more on collateral management + monitoring; some tooling checks invariants onchain with monitoring actions (Maple Finance)","High isolation by pool/loan (losses contained to pools, plus any cover/first-loss structures)","Institutional/private credit rail for onchain secured lending","Underwriting + pool delegate operations; collateral custody/monitoring; smart contract risk management (Maple Governance Forum)","Stablecoin yield allocators; DAOs; structured credit products integrating Maple pools","SYRUP governance token (Maple DAO) (Maple Finance)","Governance sets protocol evolution; pool/loan parameters set via delegates + protocol constraints","Onchain private credit protocol connecting lenders to curated institutional borrowers through pools, with transparent onchain accounting of loans and collateral. (Maple Finance)","Meets criteria: issues credit from smart-contract pools; loan terms are programmatic; default processes can trigger onchain liquidation pathways (delegate-triggered). (GitHub)","Key diligence: pool delegate quality + alignment, collateral management processes, default handling playbooks, and how “cover / first-loss” is structured (where applicable). Also track migration/version differences (v1→v2+) and governance change control. (The Block)","Credit creation: YES • Liquidation enforcement: YES/PARTIAL (delegate-triggered liquidation; collateral process specifics matter) (GitHub) • Programmatic unwind: YES for onchain collateral/liquidations; partial if recovery requires offchain steps","High (large onchain credit venue; integration density increasing)","Yes (notably a major 2022 borrower default referenced in reporting around Maple v2 overhaul) (The Block)","High delegate/underwriting concentration risk; Medium smart-contract complexity; Medium–High collateral concentration depending on pool composition"
"TrueFi","TrueFi ecosystem / DAO governance with TRU staking-based risk backstop mechanics documented in TrueFi docs (TrueFi Docs)","https://truefi.io (TrueFi)","2020 (protocol spec era) (GitHub)","Active (credit rails + lines of credit) (TrueFi Docs)","Permissioned credit (DAO pools + automated Lines of Credit)","Primarily stablecoin credit; borrower-specific lines of credit; collateralization varies by product","Borrower-specific smart contracts (e.g., AutomatedLineOfCredit) manage borrowing/repayment; borrower is sole borrower on that contract (TrueFi Docs)","Lines of Credit set rates via supply/demand dynamics around target utilization (TrueFi Docs)","Default handling includes protocol functions to liquidate bad debt in legacy pools; TRU staking can be slashed up to max liquidation rate to compensate pools (TrueFi Docs)","Chainlink referenced for TRU liquidation pricing in default process writeups (Medium)","Medium isolation: borrower-specific LoCs are isolated; shared risk in some pooled structures depending on product","Onchain credit infrastructure with explicit default/backstop mechanics","Offchain borrower assessment + onchain monitoring; governance and staking participation","Yield allocators, credit strategies, structured credit products","TRU token staking aligns risk managers; governance via DAO processes reflected in docs and forum practice (TrueFi Docs)","Parameters (max liquidation rate, pool terms, managers) are governance-managed; borrower contracts can have upgradeability (per docs) (TrueFi Docs)","Credit protocol offering onchain lending via pools and borrower-specific Lines of Credit, with programmatic repayment flows and default backstops. (TrueFi Docs)","Meets criteria: smart contracts issue credit and track repayments; default mechanics exist onchain (liquidation functions + TRU staking backstop), though some recovery can still involve offchain processes. (TrueFi Docs)","Key diligence: (1) borrower upgrade permissions in LoC design, (2) who controls liquidation agents, (3) size/coverage of stkTRU backstop relative to loan book, (4) historical default handling and recovery timing. (TrueFi Docs)","Credit creation: YES (TrueFi Docs) • Liquidation enforcement: YES for protocol mechanics; recovery may be PARTIAL if legal action required (TrueFi Docs) • Programmatic unwind: YES for contract-level state; recovery timelines vary","Medium–High (less systemic than Aave, but meaningful credit-risk venue)","Yes (publicly reported defaults and notices of default) (CoinDesk)","High borrower/manager concentration risk; Medium–High governance/operations risk; reliance on backstop sizing and correct liquidation triggers (TrueFi Docs)"
"Centrifuge (Tinlake / RWA pools)","Centrifuge governance (CFG) + Centrifuge org / contributors (protocol + docs) (Centrifuge Docs)","https://centrifuge.io (Centrifuge Docs)","2019 (Tinlake era on Ethereum; later migrations to Centrifuge Chain for some flows) (Gate.com)","Active (RWA credit infrastructure; architecture evolved over time) (Gate.com)","Permissioned/curated RWA lending pools (tranches)","RWAs tokenized into pool structures; stablecoin funding legs (commonly) (Kraken)","Pool smart contracts issue claims on cashflows; financing is deployed to asset originators under pool terms (Gate.com)","Pool-defined rates and tranche economics (protocol-enforced accounting) (Messari)","Hybrid: onchain pool accounting + offchain legal enforcement / servicer processes for RWA recovery (Kraken)","Limited vs crypto-collateral lending; depends more on asset reporting/servicing than spot oracles (Gate.com)","High isolation per pool / asset portfolio","Bridge between DeFi liquidity and real-economy credit (RWA financing rails) (Kraken)","Offchain asset verification + servicing; stablecoin liquidity; governance/legal wrappers (Gate.com)","RWA allocators, DAO treasuries, structured credit strategies","Governance by CFG holders (onchain governance on Centrifuge Chain; ecosystem direction) (Centrifuge Docs)","Governance-managed pool frameworks + parameters; pool-specific terms set by pool structure (Centrifuge Docs)","RWA-focused DeFi credit infrastructure enabling pooled financing against tokenized real-world assets with onchain accounting and tranche structures. (Kraken)","Creates credit rails via smart-contract pools; repayment/accounting onchain; fits Lending Markets, with liquidation/recovery typically hybrid due to RWAs. (Kraken)","Key diligence: legal enforceability + jurisdiction, servicer quality, reporting cadence, pool concentration (single-originator risk), and secondary liquidity/exit assumptions. (Gate.com)","Credit creation: YES • Liquidation enforcement: PARTIAL (often offchain recovery) • Programmatic unwind: PARTIAL (depends on pool liquidity + recovery timelines) (Kraken)","Medium (systemic footprint smaller than Aave/Compound; higher idiosyncratic RWA/legal risk)","Monitor (RWA-specific defaults are more “credit cycle” than oracle-liquidation events)","High servicer/originator concentration risk; high offchain enforcement risk; liquidity risk in pool tokens (Gate.com)"
"Clearpool","Clearpool governance / CPOOL + protocol team and governance processes (docs + whitepaper) (Clearpool)","https://clearpool.finance (Clearpool)","2022 (whitepaper v2.1-era; protocol public operations early 2022) (CryptoCompare)","Active (permissioned credit pools; docs describe default/auction mechanics) (Clearpool)","Permissioned borrower pools (and term pools initiatives) (Yahoo Finance)","Primarily stablecoin lending into borrower pools; borrower identity/KYC constraints referenced in whitepaper (CryptoCompare)","Borrower pools issue cpTokens to LPs; pool debt tracked onchain; borrower draws under pool terms (Clearpool)","Pool utilization-based mechanics + pool terms; rate formation defined per pool design","Default process defined in docs: if pool stays above utilization threshold through grace period, default triggers; auction mechanism described (Clearpool)","Not primarily spot-oracle-liquidation driven; credit/default logic is pool-state driven (Clearpool)","High isolation per borrower pool","Institutional credit rail for stablecoin yield; onchain credit pools","Borrower operations + KYC/custody requirements; governance-approved borrower setup (CryptoCompare)","Stablecoin allocators; credit strategies; DAOs seeking yield","CPOOL token governance + staking incentives/penalties referenced in whitepaper (CryptoCompare)","Governance-managed pool onboarding and protocol parameters; borrower pool terms define risk","Onchain credit pools for institutions where liquidity providers fund borrower pools and earn yield, with protocol-defined default and auction processes. (Clearpool)","Creates credit via onchain pools and enforces default flow via protocol rules; fits Lending Markets even though underwriting is permissioned. (Clearpool)","Key diligence: borrower quality + KYC/custody workflow, default triggers (utilization-based), auction design, and secondary liquidity for cpTokens. (Clearpool)","Credit creation: YES • Liquidation enforcement: YES for onchain default/auction flow; recovery value depends on auction participation • Programmatic unwind: PARTIAL (liquidity constraints) (Clearpool)","Medium (protocol-specific; less system-wide coupling than lending giants)","Monitor (defaults are credit-cycle driven; docs explicitly define default triggers) (Clearpool)","High borrower concentration risk; high operational/KYC dependency; liquidity risk in pool tokens (CryptoCompare)"
"BendDAO","BendDAO protocol contributors + governance/community (audit/community docs are the best public refs) (HackMD)","https://benddao.xyz (MixBytes)","2022 (101 Blockchains)","Active (NFT lending is cyclic; adoption depends on NFT liquidity regimes) (MixBytes)","Peer-to-pool NFT lending","NFTs as collateral (blue-chip collections typically); borrow ETH against NFT floor value (MixBytes)","Over-collateralized NFT-backed loans (floor-price based) (MixBytes)","Pool/loan rate mechanics defined by protocol parameters (HackMD)","Liquidation protections + liquidation/auction dynamics discussed in protocol overviews; liquidation sensitive to bid depth (101 Blockchains)","Oracle reliance is central (NFT floor pricing / valuation methodology drives solvency) (Medium)","Isolation is per NFT collection risk, but liquidity shocks can create correlated liquidation cascades (Medium)","NFT liquidity credit rail (unlocking ETH liquidity from NFTs)","NFT market liquidity; valuation inputs; liquidator/bidder ecosystem (Medium)","NFT holders, NFT traders, leverage users","Governance/community parameter tuning (LTVs, liquidation thresholds, risk configs) (HackMD)","Parameter control via governance + risk teams; fast-moving risk parameter needs during NFT volatility","NFT-collateral lending protocol enabling borrowers to obtain ETH loans using NFTs as collateral with protocol-defined solvency and liquidation. (MixBytes)","Fits criteria: accepts collateral (NFTs), issues credit programmatically, and defines solvency + liquidation logic onchain. (HackMD)","Key diligence: NFT valuation/oracle method, liquidation design (auction depth), and correlated liquidity collapse risk (cascading liquidations during NFT drawdowns). (Medium)","Credit creation: YES • Liquidation enforcement: YES (protocol-driven), but liquidation success depends on NFT bid depth • Programmatic unwind: YES, with auction liquidity caveat (Medium)","Medium (systemic DeFi coupling lower; NFT market coupling high)","Yes (NFT market stress revealed liquidation fragility / bid-depth issues) (Medium)","High valuation/oracle risk; high liquidity risk; collection concentration risk (Medium)"
"Arcade","Arcade team + protocol codebase (Arcade Protocol contracts) (GitHub)","https://arcade.xyz (Alchemy)","2021–2022 (as NFT lending matured; v2 referenced in ecosystem descriptions) (Alchemy)","Active","Peer-to-peer NFT term lending","NFTs and bundled collateral via onchain vaults (Asset Vault NFTs) (GitHub)","Fixed-rate term loans secured by NFT collateral escrowed in smart contracts (Alchemy)","Negotiated fixed terms (P2P), encoded in loan agreements onchain (Alchemy)","Liquidation via loan maturity / default lifecycle (collateral escrow + claim transfer per contract state machine) (GitHub)","Low oracle reliance versus floor-price peer-to-pool models (more P2P underwriting), though valuation still matters economically","High isolation per loan (idiosyncratic)","NFT-backed credit rail for high-value assets; term financing","NFT custody/escrow contracts; marketplace liquidity affects recovery values","NFT holders, collectors, lenders seeking fixed-rate NFT credit exposure","Protocol/community governance is lighter than large DeFi primitives; control largely via protocol upgrades + contract design (verify upgradeability per deployment) (GitHub)","Parameter control is contract-architecture driven; validate upgradeability/admin keys per deployment (practitioner diligence item) (GitHub)","NFT lending platform enabling lenders and borrowers to create fixed-rate, fixed-term loans with NFT collateral escrowed onchain, including vaults that bundle collateral. (Alchemy)","Fits criteria: collateral escrow onchain, credit issuance via loan contracts, and enforceable lifecycle/default handling in smart contracts. (GitHub)","Key diligence: enforceability of maturity/default transitions, collateral custody invariants, upgradeability/admin privileges, and recovery/liquidation path for collateral value realization. (GitHub)","Credit creation: YES • Liquidation enforcement: YES (contract lifecycle) • Programmatic unwind: YES (term default path), but economic recovery depends on NFT liquidity (GitHub)","Low–Medium (more isolated; smaller systemic coupling)","Monitor (no major canonical protocol-loss event referenced in the primary sources above)","Medium NFT liquidity risk; upgradeability/admin risk (deployment-dependent); counterparty selection risk inherent to P2P (GitHub)"
