"Entity","Maintaining Organization","Entity Type","Entity Archetype","Website","Year Launched","Mainnet Status","One-Line Description","Primary Governance Function","Secondary Governance Functions","Governance Scope","Authority Origin","Decision Binding","Execution Mechanism","Treasury Control","Permission Model","Ethereum Dependency","Cross-Chain Support","Governance Upgradeability","Emergency Controls","Governance Capture Risk","Known Incidents","Audit Status","DAOs Using System (Examples)","Institutional Readiness","Reason for Inclusion","Practitioner’s Note","Practitioner Validation Check"
"Snapshot","Snapshot Labs","Protocol / Platform","Proposal & Voting Framework","https://snapshot.org","2020","Live (Ethereum-anchored, off-chain voting)","Gasless DAO voting system that aggregates signed votes and anchors governance legitimacy to Ethereum","Proposal creation and token/NFT-based voting","Governance signaling, delegation strategies","Voting (non-executing)","Token-weighted / NFT-weighted / Strategy-based","Advisory by default","External executors (Safe, Zodiac, Governor)","None natively","Proposal-level","Medium","Yes (multi-chain strategies)","Governed by Snapshot Labs & community","None","Medium","None material","Partial","ENS, Aave, Uniswap, Gitcoin","Conditional","Defines the de-facto governance signaling layer for Ethereum DAOs","Snapshot is not execution; always evaluate paired execution stack","Are Snapshot results programmatically enforced on-chain?"
"Tally","Tally Labs","Company / Platform","Governance Interface & Execution Layer","https://www.tally.xyz","2021","Live (Ethereum mainnet)","Governance interface for proposing, voting, and executing on-chain DAO decisions","On-chain proposal execution and voting","Delegation, governance analytics","Voting + Execution","Token-weighted","Fully binding","Governor contracts + Timelock","Governor / Safe-integrated","Proposal-level","High","Limited (EVM-focused)","Governed via DAO-controlled contracts","Timelock / protocol-defined","Medium–High","None systemic","Inherited (Governor-based)","Uniswap, Compound, Optimism","Conditional","Makes binding Ethereum governance usable at scale","UX layer does not reduce underlying governance risk","Does Tally connect directly to live Governor contracts?"
"Boardroom","Boardroom, Inc.","Company / Platform","Proposal & Voting Framework","https://boardroom.io","2020","Live (Ethereum-anchored)","Unified governance dashboard and voting interface aggregating DAO proposals across protocols","Proposal discovery and voting interface","Delegation management, governance analytics","Voting (non-executing)","Token-weighted","Advisory by default","External execution (Governor, Safe, protocol-native)","None natively","Proposal-level","Medium","Limited (primarily Ethereum)","Platform-governed","None","Medium","None material","Limited / Partial","Compound, Uniswap, Aave","Conditional","Aggregates and standardizes governance participation across DAOs","Boardroom improves participation, not execution security","Are votes enforced on-chain via a linked executor?"
"Commonwealth","Commonwealth Labs","Company / Platform","Proposal & Voting Framework","https://commonwealth.im","2019","Live (Ethereum-integrated)","Governance discussion and proposal platform with on-chain awareness","Governance discussion and proposal coordination","Polling, sentiment signaling, delegation context","Governance coordination (non-binding)","Token-weighted (informational)","Advisory only","None (execution excluded)","None","Discussion-level","Low–Medium","Multi-chain (EVM + others)","Platform-governed","None","Medium","None material","Not applicable","Aave, dYdX, MakerDAO","Low–Conditional","Serves as governance coordination layer, not executor","Included only as a governance interface, not execution","Is any decision enforced on Ethereum without external tooling?"
"Agora","Agora","Company / Platform","Proposal & Voting Framework","https://agora.xyz","2022","Live (Ethereum mainnet)","Governance platform for proposing, voting, and managing DAO decisions","Proposal creation and voting interface","Delegation, governance UX optimization","Voting (execution-adjacent)","Token-weighted","Hybrid (binding via connected contracts)","Governor contracts (protocol-dependent)","None natively","Proposal-level","High","Ethereum-focused","Governed via protocol integrations","Protocol-defined","Medium","None material","Inherited (Governor-based)","Optimism, ENS","Conditional","Modern governance UX tightly coupled to on-chain execution","Binding depends entirely on connected Governor logic","Does Agora submit proposals directly to live Governor contracts?"
"OpenZeppelin Governor","OpenZeppelin","Open-Source Framework","Governance Execution Engine","https://docs.openzeppelin.com/contracts/governance","2021","Live (Ethereum mainnet)","Modular smart contract framework for fully on-chain DAO governance and execution","Proposal execution and governance enforcement","Timelocks, voting modules, quorum logic","Voting + Execution","Token-weighted","Fully binding","Governor contracts + Timelock Controller","Protocol-native or Safe-integrated","Contract-enforced","Very High","EVM-compatible","Governed (upgradeable via governance)","Timelock, optional guardian","Medium–High","None systemic","Extensive","Uniswap, ENS, Optimism","Conditional","De-facto standard execution layer for Ethereum DAOs","Security depends on correct Timelock configuration","Is every sensitive action routed through the Timelock?"
"Compound Governor","Compound Labs","Protocol","Governance Execution Engine","https://compound.finance/docs/governance","2020","Live (Ethereum mainnet)","Canonical token-based governance system used by early Ethereum DAOs","Proposal voting and execution","Delegation, governance scheduling","Voting + Execution","Token-weighted","Fully binding","Governor + Timelock","Protocol-native","Proposal-level","Very High","No","Immutable (by design)","Timelock only","High","None systemic","Audited (historical)","Compound, early DeFi DAOs","Low–Conditional","Blueprint for modern DAO governance","Rigid design, limited flexibility","Are quorum and proposal thresholds still appropriate at current token distribution?"
"Governor Bravo","Compound Labs","Protocol","Governance Execution Engine","https://github.com/compound-finance/compound-protocol","2020","Live (Ethereum mainnet)","Improved Governor implementation adding flexible voting and proposal mechanics","Proposal execution with enhanced voting logic","Vote delegation, adjustable parameters","Voting + Execution","Token-weighted","Fully binding","Governor Bravo + Timelock","Protocol-native","Proposal-level","Very High","No","Immutable (by design)","Timelock only","High","None systemic","Audited (historical)","Compound (v2), forks","Low–Conditional","Widely forked execution standard","Governance capture risk scales with delegation concentration","Is delegation overly centralized among top holders?"
"Governor Alpha","Compound Labs","Protocol","Governance Execution Engine","https://github.com/compound-finance/compound-protocol","2019","Deprecated (superseded by Bravo)","First-generation on-chain governance execution contract","Basic proposal execution","None material","Voting + Execution","Token-weighted","Fully binding","Governor Alpha + Timelock","Protocol-native","Proposal-level","Very High","No","Immutable","Timelock only","Very High","None systemic","Audited (historical)","Historical (Compound v1)","No","Historical reference point only","Should not be used for new DAOs","Is this still active, or only legacy state?"
"Timelock Controller (OpenZeppelin)","OpenZeppelin","Open-Source Component","Governance Execution Primitive","https://docs.openzeppelin.com/contracts/api/governance","2021","Live (Ethereum mainnet)","Contract-enforced delay between governance approval and execution","Execution delay and safety buffer","Emergency cancellation, role separation","Execution","Role-based / Governance-controlled","Fully binding","Timelock-enforced execution","Direct (via Governor / Safe)","Role-based","Very High","EVM-compatible","Governed","Cancel / delay","Medium","None systemic","Extensive","Used across most Governor-based DAOs","Conditional","Critical safety primitive for DAO governance","Timelock misconfiguration is a systemic risk","Are all privileged actions timelocked?"
"Safe","Safe Global","Protocol / Platform","Treasury & Execution Control","https://safe.global","2017","Live (Ethereum mainnet)","Smart contract wallet enabling multisig-controlled treasury execution for DAOs","Treasury execution and asset custody","Transaction batching, policy enforcement","Execution / Treasury","Multisig / DAO-governed","Fully binding","Multisig execution (EOA-independent)","Native (Safe contracts)","Role-based signer model","Very High","Yes (multi-chain EVM)","Governed (SafeDAO)","Module-based controls","Medium","None systemic","Extensive","Uniswap, ENS, GnosisDAO","High","Final execution layer for most Ethereum DAOs","Governance strength depends on signer governance","Are signer changes governed on-chain?"
"Safe Core Protocol","Safe Global","Protocol","Treasury Execution Infrastructure","https://docs.safe.global","2022","Live (Ethereum mainnet)","Modular contract infrastructure underpinning Safe wallets and execution logic","Programmable execution & extensibility","Modules, guards, transaction policies","Execution","Role-based / Multisig","Fully binding","Module-enforced execution","Native","Fine-grained (modules & guards)","Very High","Yes (EVM)","Governed (SafeDAO)","Guard & module logic","Medium","None systemic","Extensive","DAO treasuries using Safe modules","High","Enables programmable, policy-aware treasury execution","Misconfigured modules introduce hidden risk","Are all modules auditable and permissioned?"
"Juicebox","Juicebox DAO","Protocol","Treasury Governance System","https://juicebox.money","2021","Live (Ethereum mainnet)","Programmable treasury and funding protocol governed by on-chain rules","Treasury allocation and fund distribution","Funding cycles, payout logic","Treasury / Execution","DAO-defined rules","Fully binding","Protocol-native execution","Native (Juicebox contracts)","Rule-based","Very High","Limited (Ethereum-focused)","Governed by DAO","Cycle-based constraints","Medium","None systemic","Audited","ConstitutionDAO, AssangeDAO","Conditional","Treasury governance embedded at protocol level","Less flexible than general multisig models","Can treasury rules be changed mid-cycle?"
"Moloch DAO Framework (v2/v3)","MolochDAO / Community","Open-Source Framework","Treasury & Ragequit Governance","https://molochdao.com","2019","Live (Ethereum mainnet)","DAO framework centered on pooled treasury and ragequit rights","Treasury control via membership governance","Ragequit, share-based access","Treasury / Execution","Membership shares","Fully binding","Protocol-native execution","Native","Share-based","Very High","No","Immutable / Minimal upgrades","Ragequit","Low–Medium","None systemic","Audited","MetaCartel, early DAOs","Low–Conditional","Strong alignment via ragequit mechanism","Limited flexibility for complex orgs","Can members exit with funds at any time?"
"Zodiac","Gnosis Guild","Open-Source Framework","Modular Governance Extensions","https://zodiac.wiki","2021","Live (Ethereum mainnet)","Modular DAO tooling that extends Safe with governance-controlled execution logic","Governance-driven execution automation","Role enforcement, delays, conditional execution","Execution / Treasury","DAO / Multisig-governed","Fully binding","Safe modules & modifiers","Via Safe","Module-based","Very High","Yes (EVM)","Governed (DAO-controlled modules)","Module-dependent","Medium","None systemic","Audited (modules)","GnosisDAO, ENS, Optimism","High","Enables programmable governance without replacing execution stack","Zodiac increases power and complexity","Are all active modules explicitly approved by governance?"
"Reality.eth","Kleros / Gnosis Guild","Protocol","Oracle-Based Governance Extension","https://reality.eth.link","2019","Live (Ethereum mainnet)","Oracle system that resolves subjective questions for on-chain execution","Dispute resolution & conditional execution","Governance arbitration, proposal validation","Conditional Execution","Oracle-driven","Fully binding (oracle outcome)","Oracle-triggered execution","Indirect","Question-based","Very High","Yes (multi-chain)","Governed (oracle rules)","Arbitration escalation","Medium","None systemic","Audited","DXdao, GnosisDAO","Conditional","Enables subjective decisions to affect execution","Oracle assumptions must be explicit","Who resolves disputes if oracle answers are challenged?"
