"Validators & Staking Provider","Type","Website","Operational Role","Validator Operation Model","Key Management Model","Infrastructure Control","Consensus Client Mix (Primary)","Execution Client Mix (Primary)","Client Diversity Risk Flag","Estimated Share of Active Validators","Concentration Risk Flag","Censorship Sensitivity","Governance Influence Vector","Description","Reason for Inclusion","Practioners Note","Practioner Validation Check ","","","","","","","","","","","","","","","","","","","","",""
"Figment","Professional Validator Operator","https://figment.io","Enterprise validator operator providing staking infrastructure for institutions and funds.","Delegated, non-custodial (institutional staking-as-a-service).","Client- or custodian-controlled keys with operational signing coordination (HSM / institutional custody integrations).","Hybrid (self-managed infra with controlled cloud usage and redundancy).","Lighthouse, Teku (institution-favored, diversity-conscious).","Geth, Nethermind.","Medium (actively managed for diversity).","Medium (material institutional share, not dominant).","Medium.","Medium (institutional jurisdictions, but geographically distributed).","Corporate (active in protocol discussions and client testing).","Enterprise-grade validator operator running Ethereum validators for institutions, custodians, and asset managers.","- Runs validator infrastructure at scale
- Coordinates and operates staked ETH
- Directly participates in block proposal and attestation","Figment is often the default choice for regulated entities entering ETH staking, which makes it disproportionately influential despite not being the largest operator.","If Figment disappeared, a meaningful amount of institutional ETH would stop validating or require rapid migration.","","","","","","","","","","","","","","","","","","","","",""
"Chorus One","Professional Validator Operator","https://chorus.one","Professional validator operator with deep protocol and governance involvement.","Delegated, non-custodial staking with active protocol participation.","Client-controlled or distributed signing setups (increasing DVT experimentation).","Hybrid with strong internal control and redundancy.","Lighthouse, Prysm (with active testing across clients).","Geth, Nethermind.","Low–Medium (actively contributes to diversity).","Small–Medium.","Low.","Low–Medium (globally distributed operations).","Corporate + Ecosystem (research, governance participation, testnets).","Professional staking and validator operator known for early protocol engagement and research involvement.","- Operates Ethereum validators directly
- Provides staking-as-a-service with custody coordination
- Actively participates in governance and client testing","Chorus One punches above its weight in protocol influence relative to validator share.","Removal would reduce operational diversity and active validator participation, but not threaten network liveness.","","","","","","","","","","","","","","","","","","","","",""
"P2P.org","Professional Validator Operator","https://p2p.org","Large-scale non-custodial validator operator for delegators and funds.","Delegated, non-custodial staking.","Delegator- or custodian-controlled keys; operator-managed signing infrastructure.","Hybrid with heavy automation and scale-oriented infra.","Prysm, Lighthouse.","Geth (primary), Nethermind (secondary).","Medium (scale introduces correlated risk).","Medium–Large.","Medium.","Medium (jurisdictionally diversified but scale-sensitive).","Corporate (operator-level influence).","Large-scale professional validator operator abstracting validator operations for delegators.","- Runs Ethereum validators at scale
- Abstracts validator operations for delegators
- Manages uptime, slashing risk, and key coordination","P2P.org is operationally strong but introduces scale-based correlation risk typical of large operators.","ETH staked via P2P.org would not be validating without their infrastructure.","","","","","","","","","","","","","","","","","","","","",""
"Blockdaemon","Professional Validator Operator","https://blockdaemon.com","Institutional blockchain infrastructure provider and validator operator.","Delegated, institutional staking with infrastructure bundling.","Custodian-integrated or client-controlled keys.","Cloud-heavy with enterprise redundancy and SLAs.","Teku, Lighthouse.","Geth, Besu.","Medium.","Medium.","Medium.","Medium–High (enterprise and regulated client base).","Corporate.","Institutional blockchain infrastructure provider operating Ethereum validators for funds, custodians, and enterprises.","- Operates Ethereum validator nodes
- Provides staking infrastructure to funds, custodians, and enterprises","Blockdaemon’s strength is distribution and enterprise access rather than protocol leadership.","Their infrastructure directly underpins active validators; removal would disrupt institutional staking flows.","","","","","","","","","","","","","","","","","","","","",""
"Coinbase (Validator Operations)","Staking-as-a-Service Provider","https://www.coinbase.com/staking","Custodial staking provider operating Ethereum validators on behalf of retail and institutional customers.","Pooled, custodial staking.","Custodian-controlled keys (Coinbase-managed custody and signing).","Cloud-heavy, enterprise-managed infrastructure with redundancy and SLAs.","Prysm, Teku (institutional stability bias).","Geth (primary), Nethermind (secondary).","Medium–High (scale + client concentration).","Large.","High.","High (U.S.-based, regulated entity with compliance obligations).","Corporate (significant operator weight, indirect governance influence).","Operates Ethereum validators for ETH staked via Coinbase’s custodial staking products.","- Runs validator infrastructure at scale
- Custodies and coordinates large amounts of staked ETH
- Directly proposes and attests Ethereum blocks","Coinbase’s validator operations are one of the largest single sources of validator concentration on Ethereum, making it operationally important and systemically sensitive.","If Coinbase stopped running validators, a large share of ETH would exit active validation or require rapid re-delegation.","","","","","","","","","","","","","","","","","","","","",""
"Kraken (Validator Operations)","Staking-as-a-Service Provider","https://www.kraken.com/features/staking-coins/ethereum","Custodial staking provider operating Ethereum validators for exchange customers.","Pooled, custodial staking.","Custodian-controlled keys.","Cloud-heavy with internal operational controls.","Prysm, Lighthouse.","Geth.","Medium.","Medium–Large.","Medium.","High (regulated exchange with jurisdictional constraints).","Corporate.","Operates Ethereum validators for ETH staked by Kraken customers through custodial staking services.","- Runs validator infrastructure
- Coordinates pooled ETH staking
- Directly participates in block proposal and attestation","Kraken’s validator share is meaningful but smaller than Coinbase’s, reducing concentration risk while still introducing regulatory exposure.","Customer ETH depends on Kraken’s infrastructure to remain actively staked and validating.","","","","","","","","","","","","","","","","","","","","",""
"Binance (Validator Operations)","Staking-as-a-Service Provider","https://www.binance.com/en/eth-staking","Large-scale custodial staking provider operating Ethereum validators for pooled ETH.","Pooled, custodial staking.","Custodian-controlled keys.","Cloud-heavy, scale-optimized infrastructure.","Prysm (historically dominant), Lighthouse.","Geth.","High (large scale + client homogeneity).","Large.","High.","Medium–High (global footprint but centralized operational control).","Corporate.","Large-scale validator operator for ETH staked through Binance’s custodial staking offerings.","- Runs validators at scale
- Custodies and coordinates large amounts of staked ETH
- Materially impacts validator concentration","Binance’s validator operations amplify correlated risk due to scale, client concentration, and infrastructure centralization.","If Binance’s validator infrastructure were removed, a large volume of ETH would immediately stop validating.","","","","","","","","","","","","","","","","","","","","",""
"Lido (Node Operator Set)","Liquid Staking Protocol Operators (Infrastructure Side)","https://lido.fi","Protocol-coordinated validator infrastructure operated by a decentralized set of professional node operators on behalf of pooled ETH.","Protocol-coordinated, delegated, non-custodial (ETH pooled into protocol; validators run by approved operators).","Operator-managed keys with protocol governance constraints; increasing adoption of distributed validator technology (DVT).","Hybrid and operator-distributed (multiple independent operators with heterogeneous infra).","Lighthouse, Teku, Prysm (explicitly managed for diversity).","Geth, Nethermind, Besu (diversity-aware rotation).","Medium (managed diversity, but scale introduces correlation).","Large.","High.","Medium (operator diversity offsets protocol-level concentration).","DAO-governed (Lido DAO sets operator selection, incentives, and policies).","Coordinates a decentralized set of professional node operators to run Ethereum validators for ETH deposited into the Lido protocol.","- ETH deposited into Lido is actively staked via node operators
- Protocol directly converts pooled ETH into live validators
- Operator selection and coordination are essential for validation","Lido is the single largest source of liquid-staked ETH, making its operator set one of the most systemically important validator groupings despite internal decentralization.","Without Lido’s operator coordination, a significant portion of ETH would immediately stop validating.","","","","","","","","","","","","","","","","","","","","",""
"Rocket Pool (Node Operators)","Liquid Staking Protocol Operators (Infrastructure Side)","https://rocketpool.net","Permissionless protocol enabling independent operators to run Ethereum validators using pooled ETH.","Permissionless, protocol-coordinated, non-custodial.","Operator-controlled keys with protocol-enforced collateral and slashing incentives.","Highly decentralized (independent operators with heterogeneous infra).","Lighthouse, Nimbus, Teku (operator-selected, diversity-friendly).","Geth, Nethermind (operator-selected).","Low.","Small–Medium.","Low.","Low.","Protocol-embedded + DAO (governance governs parameters, not operators).","Decentralized liquid staking protocol that enables permissionless validator operation through independent node operators.","- Directly enables ETH to be converted into validators
- Coordinates rETH staking into active validation
- Expands validator participation beyond professional operators","Rocket Pool is structurally important for decentralization even with a smaller validator share, as it reduces reliance on large professional operators.","Rocket Pool directly converts ETH into validators; removal would reduce decentralized participation.","","","","","","","","","","","","","","","","","","","","",""
"StakeWise (Operator Infrastructure)","Liquid Staking Protocol Operators (Infrastructure Side)","https://stakewise.io","Liquid staking protocol coordinating operator-managed Ethereum validators for pooled ETH.","Protocol-coordinated, operator-managed staking.","Operator-managed keys with protocol governance and incentive alignment.","Hybrid (operator-run infra coordinated through protocol).","Lighthouse, Teku.","Geth.","Medium.","Small.","Low–Medium.","Medium.","Protocol-governed (on-chain governance and operator selection).","Liquid staking protocol operating Ethereum validators through coordinated node operators.","- Runs validator infrastructure through operator coordination
- ETH deposited into the protocol is actively staked
- Protocol decisions directly affect validator operation","StakeWise sits between Lido and Rocket Pool in decentralization, offering protocol coordination with a smaller but meaningful validator footprint.","ETH deposited into StakeWise would not be validating without its operator infrastructure and coordination.","","","","","","","","","","","","","","","","","","","","",""
