"Entity","Maintaining Organization","Entity Type","Cross-Chain Archetype","Website","Year Launched","Primary Users","Execution Location","Execution Type","Supported Chains / VMs","Verification Mechanism","Who Verifies Execution","Dispute Resolution Model","Finality Anchor","Ethereum Role","On-Chain Verifiability","Failure Handling / Reversion Logic","Trust Assumptions","Slashing / Penalty Mechanism","Key Trusted Parties","Who Pays Fees","Fee Model","Incentive Alignment","Composable With","Scalability Constraints","Defensibility Source","Sector Adjacency Risk","Description","Reason for Inclusion","Practitioner’s Note","Practitioner Validation Check"
"Axelar","Axelar Foundation / Axelar Network","Protocol / Network","Cross-Chain Execution Framework","https://axelar.network","2021","Protocols, app developers, rollups","Destination chains (via Axelar network coordination)","Cross-chain contract execution & state routing","EVM chains + non-EVM chains (Cosmos, others)","Validator-based consensus with on-chain verification","Axelar validator set","Validator consensus + on-chain confirmation","Ethereum (as execution & settlement environment for EVM paths)","Settlement; verification; execution coordination","Partial–High (execution results verifiable on-chain)","Message / execution failure halts downstream execution","Honest majority of Axelar validators","Validator staking & slashing","Axelar validator set","Application developers / users","Per-message & execution fees","Staking rewards + usage fees","AI Agents, RWAs, DePIN, Rollups","Validator throughput; cross-chain latency","Full-stack execution network with dev tooling","Medium","Cross-chain execution network enabling contracts to call and execute logic across chains","Enables execution, not just messaging, across heterogeneous chains","Treat Axelar as a cross-chain execution layer, not a bridge","✔ Execution spans chains ✔ Validator verification ✔ Ethereum-anchored settlement paths"
"LayerZero (execution-enabled usage only)","LayerZero Labs","Company / Protocol","Cross-Chain Execution Framework","https://layerzero.network","2021","App developers, infra teams","Destination chains via endpoint contracts","Cross-chain contract execution & state sync","EVM + select non-EVM","Dual verification (oracle + relayer)","Oracle + relayer pair","External (application-defined; re-execution on failure)","Ethereum (endpoint verification & settlement contexts)","Verification; coordination","Partial (execution depends on DVN configuration)","Message/execution halts on verification failure","Trusted DVN/oracle-relayer set","Configurable (DVNs may slash)","Oracle providers; relayers","Application developers","Per-message / execution fees","App-chosen security vs cost tradeoff","AI Agents, RWAs, DePIN","DVN throughput; config complexity","Modular security (DVNs) + broad adoption","Medium","Modular cross-chain execution with configurable security","Enables execution across chains when configured beyond simple messaging","Security is configuration-dependent; treat as a framework, not a guarantee","✔ Execution beyond messaging ✔ Ethereum-anchored verification ✔ App-level correctness checks"
"Hyperlane (execution modules only)","Hyperlane","Protocol","Cross-Chain Execution Framework","https://www.hyperlane.xyz","2022","Developers, rollups","Destination chains via modules","Cross-chain execution via modular ISMs","EVM + non-EVM","Interchain Security Modules (ISMs)","ISM-defined verifiers","ISM-specific (optimistic / multisig / ZK)","Ethereum (when used as hub or verifier)","Verification; coordination","Partial–High (depends on ISM)","Execution pauses on failed verification","Chosen ISM trust model","ISM-dependent","ISM operators","App developers","Per-message fees","App-selected security model","AI Agents, Rollups, RWAs","ISM performance; operator diversity","Modular security + permissionless deployment","Medium","Permissionless cross-chain execution with pluggable verification","Execution is supported when ISMs enforce correctness","Practitioner must audit ISM choice; security varies","✔ Execution modules ✔ Ethereum anchoring optional but used ✔ Verifier diversity"
"Wormhole (compute-enabled usage only)","Wormhole Foundation","Protocol / Network","Cross-Chain Execution Framework","https://wormhole.com","2020","Protocols, enterprises","Destination chains via guardians","Cross-chain execution & state propagation","EVM + non-EVM","Guardian consensus (VAAs)","Guardian validator set","Guardian quorum attestation","Ethereum (guardian verification & settlement paths)","Verification; settlement","Partial (guardian-signed attestations)","Execution halts on missing quorum","Honest majority of guardians","Reputation / governance-based","Guardian set","App developers / users","Per-message fees","Guardian incentives","DePIN, RWAs, Cross-chain apps","Guardian throughput; centralization","Network effects + chain coverage","Medium","Cross-chain execution enabled by a guardian-verified network","Supports execution beyond asset transfer when VAAs trigger logic","Trust concentrated in guardians; not ZK-verified","✔ Execution supported ✔ Multi-chain ✔ Ethereum-anchored verification"
"Succinct Labs","Succinct Labs","Company / Protocol","Shared Verification & Proof Layer","https://succinct.xyz","2022","Rollups, infra teams, protocol devs","Off-chain zkVM / prover networks","Cross-chain state & execution proofs","EVM + non-EVM (proof targets)","Zero-knowledge proofs (zk)","Cryptographic verification (on Ethereum)","Cryptographic (no dispute phase)","Ethereum","Verification; settlement of proofs","Full (on-chain proof verification)","Invalid proofs rejected on-chain","zk soundness assumptions","None (cryptographic)","Prover infrastructure","Protocols / developers","Proof generation & verification fees","Proof cost ↔ correctness","Rollups, AI Agents, RWAs","Prover throughput; proof latency","Cryptographic guarantees","Low","ZK proof infrastructure for verifying off-chain and cross-chain computation","Enables Ethereum to verify execution that occurred elsewhere","Treat as truth-minimizing verification; cost is the tradeoff","✔ Execution verified ✔ Ethereum finality ✔ No trusted operators"
"RISC Zero","RISC Zero","Company / Protocol","zkVM-Based Verification Layer","https://www.risczero.com","2021","Infra teams, app devs","Off-chain zkVM","Arbitrary computation verification","Any VM logic compiled to zkVM","zkVM execution proofs","Cryptographic verification","Cryptographic","Ethereum","Verification of computation","Full","Proof rejection halts downstream logic","zkVM correctness assumptions","None (cryptographic)","zkVM tooling","Developers","Proof compute fees","Cost proportional to computation","AI Agents, Cross-chain compute","Prover cost; circuit complexity","General-purpose zkVM","Medium","zkVM enabling verifiable arbitrary computation","Allows Ethereum to trust results from other environments","Strongest model for agent & compute verification","✔ Arbitrary execution ✔ Ethereum verification ✔ No oracle trust"
"Axiom","Axiom","Protocol","On-Chain Data & State Verification","https://www.axiom.xyz","2023","DeFi & infra developers","Off-chain prover + Ethereum verifier","Cross-chain / historical state queries","Ethereum + EVM chains","ZK proofs over blockchain state","On-chain verification","Cryptographic","Ethereum","Native verification of historical & cross-chain state","Full","Invalid proofs revert","zk assumptions","None","Prover infra","Developers","Proof/query fees","Usage-based","DeFi, RWAs, Governance","Query complexity","Deep Ethereum state integration","Low","ZK coprocessor for querying & proving blockchain state","Enables contracts to reason about other chains or past state","Best for state verification, not execution","✔ State verified ✔ Ethereum-native ✔ Composable"
"Herodotus","Herodotus","Protocol","Cross-Chain State Verification","https://herodotus.dev","2022","Protocol developers","Off-chain prover","Cross-chain state proofs","EVM chains","ZK-based state proofs","Cryptographic verification","Cryptographic","Ethereum","Verification of external chain state","Full","Proof rejection","ZK assumptions","None","Prover infra","Developers","Proof fees","Cost-based","RWAs, Cross-chain apps","Prover latency","ZK-based trust minimization","Medium","ZK proofs for verifying state across chains","Lets Ethereum verify facts about other chains","Focused on state truth, not workflow","✔ Cross-chain state ✔ Ethereum verification ✔ ZK-secured"
"Polymer Labs","Polymer Labs","Company / Protocol","Cross-VM Orchestration (IBC on Ethereum)","https://polymerlabs.xyz","2022","Rollups, appchains, infra teams","Destination rollups / appchains","Cross-chain execution via IBC semantics","EVM rollups + Cosmos IBC","Light-client verification (IBC)","On-chain light clients","Cryptographic (light-client based)","Ethereum","Verification; coordination","High (light-client verified)","Channel halts on invalid proofs","Light-client security","None (cryptographic)","Light-client operators","Appchains / rollups","Usage-based","Security ↔ cost via light clients","Rollups, RWAs, DePIN","Light-client performance","Standards-based interop (IBC)","Medium","Bringing IBC-grade coordination to Ethereum","Enables rollups to coordinate as one system","Requires robust light-client maintenance","✔ Cross-VM coordination ✔ Ethereum-anchored verification ✔ No message-only routing"
"Union","Union Labs","Protocol","Zero-Trust Cross-VM Orchestration","https://union.build","2023","Appchains, infra builders","Destination chains via light clients","Cross-chain execution & state sync","EVM + non-EVM","Light-client + ZK hybrids","On-chain verifiers","Cryptographic","Ethereum","Verification; finality anchoring","High","Execution halts on invalid proofs","Cryptographic soundness","None","Verifier infra","Developers","Proof / verification fees","Proof cost ↔ security","Rollups, Cross-chain apps","Proof latency","Zero-trust interop","Low","Zero-trust orchestration across heterogeneous chains","Removes multisig/oracle trust from interop","Early-stage; infra maturity matters","✔ Execution verified ✔ Ethereum anchoring ✔ Trust minimized"
