"Entity","Maintaining Organization","Entity Type","Entity Archetype","Website","Year Launched","Mainnet Status","One-Line Description","Primary Use Case","Target Users","Primary Agent Function","Ethereum Role","Chains Supported","On-Chain Execution Scope","Autonomous On-Chain Actions","Autonomy Level","Off-Chain Compute Location","Inference / Planning Method","State Persistence Model","Human Override Capability","Verification Model","Auditability of Agent Actions","Replayability / Determinism","Failure Handling Mechanism","Agent Identity Model","Permissioning Model","Role-Based Controls","Sybil Resistance Mechanism","Who Pays for Execution","Fee / Incentive Model","Slashing or Penalty Mechanism","Value Accrual Vector","Key External Dependencies","Primary Risk Factors","Censorship Resistance","Upgrade / Governance Control","Composable With","Defensibility Source","Sector Adjacency Risk","Practitioner’s Note","Practitioner Validation Check"
"Autonolas","Autonolas DAO (originated from Fetch.ai / Valory ecosystem)","Protocol / DAO","Agent Runtime & Orchestration Layer","https://www.autonolas.network","2023","Live (Ethereum mainnet + L2s)","Open protocol for deploying, coordinating, and economically sustaining autonomous agents that execute on-chain actions","Autonomous services coordinating off-chain reasoning with on-chain execution","Protocol teams, DAOs, agent developers, infrastructure builders","Decision-making + Autonomous Execution","Control Plane; Settlement Layer; Economic Enforcement","Ethereum L1; Ethereum L2s (e.g., Gnosis Chain)","Smart contract calls; payments; governance execution; service coordination","Yes","Goal-Driven","Hybrid (cloud-based agent compute with optional decentralized components)","Off-chain agent logic (rule-based and model-assisted) coordinated via on-chain registries","Hybrid (off-chain agent memory + on-chain registries, staking, coordination state)","Emergency / Governance-controlled","Hybrid (economic guarantees + on-chain transparency; no full zk verification)","High (on-chain actions fully auditable; off-chain logic inspectable)","Partial (on-chain deterministic; off-chain non-deterministic)","Service replacement; staking penalties; governance intervention","Smart contract–registered service identities","Role-based via on-chain registries and staking","Yes","Economic staking and registry-based identity","Service consumers (protocols, DAOs, users)","OLAS token incentives; service fees; staking rewards","Yes","Network adoption; autonomous service usage; coordination layer effects","Off-chain compute providers; Ethereum infrastructure; optional AI tooling","Off-chain execution trust; agent misconfiguration; governance capture","Medium","DAO-governed","RWAs; DePIN; Cross-Chain Compute","Network effects; coordination layer; economic incentives","Medium","One of the clearest examples of agent-native infrastructure using Ethereum as a coordination and settlement layer","Agents can autonomously execute on Ethereum without human initiation; Ethereum governs permissions and economics"
"Fetch.ai","Fetch.ai Foundation","Protocol / Foundation","Agent Network & Runtime","https://fetch.ai","2018","Live (multi-chain, Ethereum-integrated)","Decentralized platform for deploying autonomous economic agents that coordinate services and transactions","Autonomous agent-based services and machine-to-machine coordination","Enterprises, developers, infrastructure builders","Autonomous Decision-Making & Execution","Coordination Layer; Economic Settlement","Ethereum; Fetch.ai chain; Cosmos ecosystem","Payments; service coordination; agent registration","Yes (context-dependent)","Goal-Driven","Hybrid (Fetch.ai network compute + cloud)","Off-chain agent logic with network coordination","Hybrid (agent memory off-chain; coordination state on-chain)","Governance / Operator-controlled","Hybrid (economic incentives + transparency)","Medium","Partial","Network-level task reassignment","Network-registered agent identities","Network permissions + staking","Yes","Economic staking","Service users and enterprises","Agent service fees; token incentives","Yes","Network adoption; agent usage","Fetch.ai chain infra; off-chain compute","Network fragmentation; limited Ethereum centrality","Medium","Foundation-governed","RWAs; DePIN; Cross-Chain Compute","Early mover network effects","Medium","Fetch.ai is broader than Ethereum-first agents but feeds directly into Autonolas/OLAS for Ethereum-native coordination","Agents can act autonomously but Ethereum is not always the primary control plane"
"Valory","Valory AG","Company","Agent Development & Research Studio","https://valory.xyz","2021","Live (production agent frameworks)","Core development team behind open-source autonomous agent frameworks and services","Designing, building, and maintaining autonomous agent systems","Protocol teams, DAOs, researchers","Agent Design & Orchestration","Control Plane (via deployed agent systems)","Ethereum; L2s","Smart contract interaction via deployed agents","Yes (via deployed agents)","Goal-Driven","Hybrid (cloud-based agent execution)","Rule-based and model-assisted agent logic","Hybrid (off-chain memory; on-chain coordination)","Emergency / Governance-controlled","Hybrid","High","Partial","Service replacement and governance intervention","Contract-based agent identities","Registry- and role-based","Yes","Economic staking (via Autonolas stack)","Service consumers","Service fees; ecosystem incentives","Yes (via Autonolas/OLAS)","Ecosystem adoption; agent IP","Ethereum infra; Autonolas stack","Dependence on Autonolas adoption","Medium","Company-led with ecosystem governance","RWAs; DePIN; Cross-Chain Compute","Technical leadership; first-mover agent expertise","Low","Valory is best viewed as the agent R&D and implementation arm of the Autonolas ecosystem","Agents deployed by Valory satisfy autonomous on-chain execution criteria"
"OLAS","Autonolas DAO","Protocol / Token Network","Economic Layer for Autonomous Agents","https://olas.network","2023","Live (Ethereum + L2s)","Economic coordination layer for autonomous services, agents, and operators","Incentivizing and sustaining autonomous agent services","Service operators, DAOs, protocols","Economic Coordination & Incentivization","Settlement Layer; Economic Enforcement","Ethereum; L2s","Staking; rewards; service coordination","Yes","Goal-Driven","N/A (economic layer only)","N/A (supports agent systems)","On-chain economic state","Governance-controlled","Cryptoeconomic","High","Deterministic","Slashing and reward redistribution","Service and operator identities","Stake-weighted permissions","Yes","Token staking","Service users and protocols","OLAS token rewards and fees","Yes","Token utility; service network growth","Ethereum infra; agent adoption","Token demand risk; adoption risk","High","DAO-governed","AI Agents; RWAs; DePIN","Economic moat and incentive alignment","Low","OLAS is not an agent itself but the economic backbone enabling autonomous agent ecosystems","Validates inclusion by enforcing autonomous execution economics on Ethereum"
"Bittensor (agent-focused subnets)","Opentensor Foundation","Protocol / Network","Agent Network & Coordination Layer (Subnet-specific)","https://bittensor.com","2021","Live (agent relevance is subnet-dependent)","Decentralized network where agent-like systems compete, coordinate, and are economically rewarded, with certain subnets enabling autonomous agents that can trigger on-chain actions","Autonomous and semi-autonomous agent intelligence coordinated via incentive-driven subnets","ML researchers, agent developers, infra builders","Decision-Making & Intelligence Coordination","Settlement / Economic Anchor (when Ethereum-integrated)","Bittensor chain; Ethereum (select integrations)","Conditional (agent outputs may trigger Ethereum txs via integrations)","Conditional (depends on subnet design)","Goal-Driven (subnet-defined)","Decentralized compute across subnet operators","Model-based inference scored via peer evaluation","Primarily off-chain state; optional on-chain anchoring","Operator / subnet governance controlled","Cryptoeconomic (peer scoring + staking)","Medium","Low–Partial","Subnet-level reweighting and incentive adjustment","Network-registered hotkeys","Stake-weighted permissions","Yes (stake-based)","Subnet participants / downstream users","TAO-based emissions and rewards","Yes (stake dilution / reward loss)","Network effects; intelligence market depth","Bittensor network; compute operators","Weak Ethereum anchoring; subnet heterogeneity","Medium","Foundation + subnet governance","AI Agents; DePIN; Cross-Chain Compute","Intelligence marketplace network effects","High","Include only agent-focused subnets; not all Bittensor activity qualifies","Valid only where agents can autonomously influence or execute Ethereum-anchored outcomes",""
"Gelato Automate","Gelato Network","Protocol / Network","Agent Orchestration & Execution Layer","https://www.gelato.network","2020","Live (Ethereum + L2s)","Decentralized automation network enabling autonomous execution of predefined smart-contract actions","Autonomous task execution, protocol ops, and conditional on-chain actions","Protocol teams, DAOs, DeFi operators","Autonomous Execution (logic-bound)","Execution Relay; Settlement Layer","Ethereum L1; major Ethereum L2s","Contract calls; protocol maintenance; execution triggers","Yes (logic-defined)","Reactive (condition-triggered)","Off-chain executors (Gelato nodes)","Deterministic rule-based logic","On-chain state only","Protocol-defined / emergency controls","Trusted / Hybrid","High","High (deterministic)","Task re-execution; executor rotation","Executor identities","Allowlist / role-based","Economic staking (limited)","Protocols and DAOs","Execution fees","Limited","Usage-based network fees","Ethereum infra; executor availability","Executor centralization risk","Medium","Foundation-led","AI Agents; DeFi; RWAs (ops layer)","Distribution and protocol integrations","Medium","Qualifies as an agent executor, not a reasoning agent","Passes only when used for autonomous, self-triggering execution",""
"Keep3r Network","Keep3r DAO","Protocol / DAO","Primitive Autonomous Execution Network","https://keep3r.network","2020","Live (Ethereum mainnet)","Decentralized network coordinating autonomous on-chain tasks via economically incentivized keepers","Autonomous protocol maintenance and execution tasks","Protocol teams, DeFi systems","Autonomous Execution (task-based)","Coordination & Settlement Layer","Ethereum L1","Task execution; contract calls","Yes","Reactive","Off-chain keeper bots","Deterministic rule-based execution","On-chain task registry","Governance-controlled","Cryptoeconomic (bonding)","High","High","Keeper replacement; slashing","Keeper EOAs","Bond-based permissions","Yes","Bonding requirement","Protocols requesting work","KP3R rewards","Yes","Network usage and incentives","Ethereum infra; keeper operators","Low expressiveness; aging model","High","DAO-governed","AI Agents; DeFi ops","First-mover execution network","Medium","Early form of autonomous agents; limited intelligence","Autonomous execution without human initiation is clearly satisfied"
"OpenZeppelin Defender (autonomous execution usage)","OpenZeppelin","Company","Agent Orchestration & Secure Execution Layer","https://www.openzeppelin.com/defender","2020","Live (Ethereum + L2s)","Secure operations platform enabling autonomous execution, monitoring, and response actions for smart contracts","Autonomous contract operations, emergency response, and protocol maintenance","Protocol teams, DAOs, security-focused builders","Autonomous Execution (policy-bound)","Control Plane; Execution Relay","Ethereum L1; major Ethereum L2s","Contract calls; upgrades; pausing; operational tasks","Conditional (policy-defined)","Reactive","Off-chain execution services (OpenZeppelin infra)","Deterministic rule- and policy-based logic","Hybrid (off-chain policies + on-chain contract state)","Yes (admin / governance override)","Trusted / Hybrid","High","High (deterministic execution)","Automated fallback rules; manual override","Executor service identities","Role-based access control (RBAC)","Yes","Account-based permissions","Protocol teams / DAOs","Subscription fees","No (reputation-based trust)","SaaS revenue; ecosystem lock-in","OpenZeppelin infra; Ethereum nodes","Centralization risk; trust in operator","Low–Medium","Company-controlled","AI Agents; DeFi Ops; RWAs (ops layer)","Brand trust; security reputation","Medium","Qualifies only when Defender automations execute without human approval","Passes inclusion when used for autonomous, policy-enforced execution"
"Chainlink Automation (agent-context usage only)","Chainlink Labs","Protocol / Network","Agent Orchestration & Execution Network","https://chain.link/automation","2021","Live (Ethereum + L2s)","Decentralized automation network enabling autonomous, condition-based execution of smart contract functions","Autonomous upkeep, protocol maintenance, and agent-triggered execution","Protocol teams, DAOs, infrastructure builders","Autonomous Execution (logic-bound)","Execution Relay; Settlement Anchor","Ethereum L1; Ethereum L2s","Contract calls; state updates; maintenance actions","Yes","Reactive","Decentralized node operators","Deterministic rule-based execution","On-chain contract state","Protocol-defined","Cryptoeconomic (node staking + reputation)","High","High","Job reassignment; node redundancy","Node operator identities","Registry + staking-based","Yes","Node staking","Protocols requesting automation","Execution fees","Implicit (reputation / rewards)","Network usage; oracle + automation stickiness","Chainlink node network; Ethereum infra","Node liveness; gas volatility","High","Network + Labs-led","AI Agents; DeFi; RWAs","Network effects; integration depth","Medium","Included only where Automation acts as an autonomous agent executor","Autonomous on-chain execution without human initiation is clearly satisfied"
"Protocol-Native Treasury Agents (DAO-embedded)","DAO / Protocol Treasury","Pattern / Embedded System","Autonomous Economic Agent","N/A","","Live (protocol-dependent)","Autonomous agents embedded in DAOs that manage treasury assets, rebalance positions, and execute financial policies without human initiation","Treasury rebalancing, yield deployment, asset diversification","DAOs, protocol foundations","Capital Allocation & Execution","Settlement Layer; Economic Enforcement","Ethereum L1; Ethereum L2s","Asset transfers; DeFi interactions; rebalancing","Yes","Goal-Driven","Hybrid (off-chain policy engines + on-chain execution)","Rule-based or model-assisted portfolio logic","Hybrid (off-chain strategy state + on-chain balances)","Emergency / Governance-controlled","Hybrid","High","Partial","Circuit breakers; governance pause","Smart contract agent","Role- and policy-based","Yes","Economic staking / DAO controls","DAO treasury","Yield optimization; cost savings","Conditional","Treasury performance; capital efficiency","Oracles; DeFi protocols; execution relayers","Strategy risk; oracle manipulation","Medium","DAO-governed","DeFi; RWAs; AI Agents","Embedded capital control","High","These agents replace human treasury committees, not dashboards","Agent must move funds autonomously under pre-approved policies"
"Autonomous Governance Execution Agents","DAO / Protocol Governance","Pattern / Embedded System","Governance Automation Agent","N/A","","Live (select DAOs)","Autonomous agents that execute governance decisions automatically once proposals pass","Proposal execution; parameter updates; contract actions","DAOs, protocol governors","Governance Execution","Control Plane; Settlement Layer","Ethereum L1; L2s","Contract upgrades; parameter changes","Yes","Reactive","Minimal (logic-bound execution)","Deterministic proposal execution logic","On-chain governance state","Governance override","Cryptographic","High","High","Execution delay; veto windows","Contract-based agent","Governance-gated","Yes","Token-weighted governance","DAO","None (cost minimization)","Yes (time-lock based)","Governance efficiency","Governance contracts","Governance capture","High","DAO-controlled","AI Agents; Governance tooling","Institutional reliability","Medium","These agents eliminate manual multisig execution risk","If execution occurs automatically post-vote, it qualifies"
"Autonomous Market-Making Agents (on-chain native)","Protocol / AMM Operator","Pattern / Embedded System","Autonomous Economic Agent","N/A","","Live","Autonomous agents that manage liquidity, pricing, or rebalancing in on-chain markets","Liquidity provisioning; dynamic market making","DeFi protocols, market operators","Market Management & Execution","Settlement Layer","Ethereum L1; L2s","Liquidity updates; swaps; rebalancing","Yes","Goal-Driven","Off-chain compute or on-chain logic","Deterministic or model-based pricing logic","On-chain state","Emergency shutdown","Hybrid","High","Partial","Liquidity withdrawal; parameter limits","Contract-based","Protocol-controlled","Yes","Economic constraints","Protocol or LPs","Trading fees","Conditional","Market efficiency","Oracles; DEX infrastructure","Adverse selection; model risk","High","Protocol governance","DeFi; AI Agents","Capital efficiency","High","Distinct from AMMs when active decision-making exists","Must actively adjust positions without human input"
"Autonomous Liquidation & Risk Agents","Risk DAO / Protocol","Pattern / Embedded System","Risk & Stability Agent","N/A","","Live","Autonomous agents that monitor positions and execute liquidations or risk interventions","Liquidation; collateral enforcement; risk mitigation","Lending protocols, derivatives platforms","Risk Monitoring & Enforcement","Economic Enforcement","Ethereum L1; L2s","Liquidations; collateral seizures","Yes","Reactive","Off-chain bots","Deterministic risk thresholds","On-chain position state","Governance override","Cryptographic","High","High","Keeper competition; fallback bots","EOA / contract bots","Open competition","Yes","Economic bonding","Protocol / liquidators","Liquidation incentives","Yes","Protocol solvency","Price oracles; node infra","Oracle failure; congestion","High","Protocol-governed","DeFi; AI Agents","First-response advantage","Medium","These are the earliest true autonomous agents in DeFi","Autonomous execution on threshold breach is sufficient"
"Giza","Giza Labs","Company","Verifiable Agent Infrastructure (zkML)","https://www.gizatech.xyz","2022","Live (Ethereum + L2s)","zkML infrastructure enabling cryptographically verifiable AI inference for autonomous agents","Verifiable decision-making for autonomous agents","Agent developers, DeFi protocols, infra teams","Verifiable Reasoning & Execution Support","Verification Layer; Settlement Anchor","Ethereum L1; L2s","Proof verification; result validation","Indirect (via agents using proofs)","Goal-Driven (agent-dependent)","Off-chain ML compute with zk proof generation","Model-based inference with zk proofs","Hybrid (off-chain inference + on-chain proofs)","Governance / protocol-controlled","Cryptographic (zk proofs)","Very High","High","Proof rejection; fallback logic","Contract-based agent identity","Proof-gated permissions","Yes","Cryptographic identity","Agent operators / protocols","Proof fees","No","Trust-minimized adoption","zk toolchains; ML frameworks","Proof cost; latency","High","Company-led","AI Agents; DeFi; RWAs","Cryptographic verification moat","Low","Critical for high-stakes autonomous agents","Agent outputs must be verifiable on-chain"
"Hyperbolic","Hyperbolic Labs","Company","Verifiable Compute Infrastructure","https://hyperbolic.xyz","2023","Live (early mainnet usage)","Verifiable AI compute infrastructure enabling auditability and reproducibility of agent inference","Auditable inference for autonomous agents","Agent developers, infra teams","Verifiable Compute Execution","Verification & Coordination Layer","Ethereum; L2s","Proof verification; execution validation","Indirect","Goal-Driven (agent-dependent)","Off-chain decentralized compute","Deterministic inference with verification metadata","Hybrid","Governance-controlled","Hybrid (cryptographic + attestations)","High","Medium–High","Re-execution; dispute resolution","Contract-based","Registry-based","Yes","Economic staking (planned)","Agent operators","Compute fees","Planned","Compute network adoption","Compute operators; zk infra","Centralization risk (early)","Medium","Company-led","AI Agents; DePIN","Early verifiable compute network","Medium","Focuses on compute correctness, not agents themselves","Agent must consume verifiable outputs"
"Modulus Labs","Modulus Labs","Company","Verifiable Agent Infrastructure (zkML)","https://www.moduluslabs.xyz","2022","Live (production zkML tooling)","zkML tooling enabling provable AI inference and agent reasoning","Cryptographically provable agent decisions","DeFi protocols, agent builders","Verifiable Reasoning","Verification Layer","Ethereum; L2s","Proof verification","Indirect","Goal-Driven (agent-dependent)","Off-chain ML compute","zk-verified inference","Hybrid","Governance / protocol-controlled","Cryptographic","Very High","High","Proof invalidation","Contract-based","Proof-based","Yes","Cryptographic","Agent operators","Proof fees","No","zkML adoption","zk toolchains; ML infra","Cost; complexity","High","Company-led","AI Agents; DeFi; RWAs","zk-first positioning","Low","Suitable for regulatory-sensitive agent use cases","Agent logic must be provable"
