"Entity","Maintaining Organization","Entity Type","Primary Archetype","Website","Custody Model","Key Management Architecture","Ethereum Asset Coverage","Transaction Signing Model","Key Recovery & Loss Mitigation","Approval Workflows","Policy Engine Capabilities","Emergency Controls","Insurance Coverage","Regulatory Licensing / Trust Status","Ethereum Dependency","Ethereum Role","L1 / L2 Support","Smart Contract Interaction Support","MEV / Gas Policy Controls","API & Automation","Compliance Tool Integrations","Institutional Adoption","Reason for Inclusion","Practitioner’s Note","Practitioner Validation Check"
"Fireblocks","Fireblocks","Custody & Ops Platform","MPC Wallet & Policy Control","https://www.fireblocks.com","Hybrid (custodial + non-custodial)","MPC (threshold signing)","ETH, ERC-20, ERC-721/1155","MPC-based signing with policy gates","Distributed key shards; disaster recovery","Role-based, multi-party approvals","Granular policies (whitelists, limits, time delays)","Transaction cancel/hold, address allowlists","Third-party insurance options","Varies by jurisdiction/partner","High","Custody, signing, policy enforcement","L1 + major L2s","Full dApp / DeFi interactions","Gas limits, tx controls","Extensive APIs & automation","KYT/AML vendors supported","Very High","De facto control plane for institutional ETH operations","Excellent for ops scale; understand custody vs non-custody modes","Who ultimately controls key shards in your chosen deployment?"
"Anchorage Digital","Anchorage Digital","Regulated Custodian","Qualified Custody","https://www.anchorage.com","Custodial","HSM-backed + proprietary architecture","ETH, ERC-20 (select NFTs)","Custodian-controlled signing","Regulated recovery, insurance-backed","Institutional approval workflows","Policy & governance embedded","Account-level freezes","Yes (custody insurance)","US federally chartered trust bank","High","Regulated ETH custody","L1 + select L2s","Supported (controlled)","Conservative gas controls","APIs for institutions","Strong compliance integrations","High","Gold-standard for regulator-first ETH custody","Slower feature velocity; strongest regulatory posture","Does this meet your regulator’s “qualified custodian” test?"
"Coinbase Custody","Coinbase","Regulated Custodian","Qualified Custody","https://custody.coinbase.com","Custodial","Cold storage + HSM","ETH, ERC-20, ERC-721/1155","Custodian-managed signing","Institutional recovery & controls","Segregated approvals","Policy enforcement via custody ops","Account-level controls","Yes","NYDFS-qualified custodian","High","ETH custody & settlement","L1 + select L2s","Limited / controlled","Conservative","APIs & reporting","Deep compliance stack","Very High","Widely accepted institutional ETH custodian","Best for conservative mandates","Are DeFi/staking needs compatible with custody constraints?"
"BitGo","BitGo","Custodian & Wallet Infra","Multi-Sig / MPC Custody","https://www.bitgo.com","Custodial & non-custodial","Multi-sig + MPC","ETH, ERC-20, NFTs","Multi-sig / MPC signing","Multi-key recovery","Role-based approvals","Policy controls & limits","Transaction blocking","Yes","Qualified custodian (jurisdiction-dependent)","High","ETH custody & governance","L1 + ecosystem","Supported","Gas & policy controls","APIs & automation","AML/KYT integrations","High","Flexible custody + control trade-offs","Understand operational complexity of multi-sig","Where are keys held across jurisdictions?"
"Fidelity Digital Assets","Fidelity Investments","Regulated Custodian","Traditional Finance Custody","https://www.fidelitydigitalassets.com","Custodial","HSM-backed cold storage","ETH, select ERC-20","Custodian-managed signing","Institutional recovery procedures","Segregated approvals","Conservative, ops-driven controls","Account freezes","Yes","NYDFS Trust Company","High","Long-term ETH custody","L1 (limited L2)","Very limited","Conservative","APIs & reporting","Strong TradFi compliance stack","Very High","Brings blue-chip TradFi credibility to ETH custody","Optimized for buy-and-hold institutions","Can your use case tolerate limited DeFi interaction?"
"Gemini Custody","Gemini Trust Company","Regulated Custodian","Qualified Custody","https://www.gemini.com/custody","Custodial","Cold storage + HSM","ETH, ERC-20, NFTs","Custodian-managed signing","Insured recovery processes","Role-based approvals","Policy enforcement via custody ops","Account-level controls","Yes","NYDFS-regulated trust","High","ETH custody & settlement","L1 + select L2s","Limited","Conservative","APIs & custody reporting","Integrated AML/KYT","High","Regulator-friendly ETH custody with exchange adjacencies","Strong compliance posture","Are custody assets fully segregated from exchange risk?"
"Zodia Custody","Zodia Custody (Standard Chartered, Northern Trust)","Regulated Custodian","Bank-Backed Custody","https://zodia-custody.com","Custodial","MPC + HSM hybrid","ETH, ERC-20","MPC-assisted signing","Distributed recovery architecture","Multi-party approvals","Institutional policy controls","Transaction blocking","Yes","FCA-registered (UK)","High","Bank-grade ETH custody","L1 + expanding L2","Controlled","Policy-driven","APIs & ops tooling","Bank-grade compliance","Medium–High","Purpose-built for banks entering Ethereum","Strong governance, slower iteration","Does this satisfy your regulator’s bank-custody standards?"
"Copper","Copper Technologies","Custody & Settlement Platform","Custody + Settlement","https://copper.co","Custodial & hybrid","MPC (ClearLoop architecture)","ETH, ERC-20","MPC signing with settlement rails","Distributed MPC recovery","Policy-based approvals","Settlement-aware policies","Transaction holds","Yes","FCA-registered (UK)","High","ETH custody & off-exchange settlement","L1 + ecosystem","Limited","Gas & settlement controls","APIs & automation","KYT / AML integrations","High","Bridges custody with trading & settlement","Strong for active trading institutions","Is ClearLoop dependency acceptable for your ops model?"
"Hex Trust","Hex Trust","Regulated Custodian","Asia-Focused Institutional Custody","https://hextrust.com","Custodial","HSM + proprietary key controls","ETH, ERC-20, NFTs","Custodian-controlled signing","Institutional recovery & DR","Role-based governance","Policy enforcement","Emergency freezes","Yes","Licensed in HK, SG, EU","High","Regulated ETH custody","L1 + select L2s","Supported (controlled)","Conservative","APIs & custody tooling","Regional regulatory alignment","Medium–High","Leading regulated ETH custodian in Asia","Strong regional footprint","Does jurisdictional coverage match your needs?"
"Safe{Core}","Safe Ecosystem Foundation","Wallet Infrastructure","Smart Account & Governance Control","https://safe.global","Non-custodial","Smart-contract multisig + modules","ETH, ERC-20, ERC-721/1155","Contract-based execution (multi-sig / module-driven)","Social recovery, signer rotation","Native multi-sig + role modules","Modular policies (roles, delays, limits)","Module-based pauses / delays","No (external only)","Open-source infra (not a custodian)","Very High","On-chain control & execution","L1 + major L2s","Full (native)","Gas & execution controls via modules","Extensive SDKs","KYT/AML via integrators","Very High (DAO + enterprise)","Canonical Ethereum smart-account control plane","Treat Safe as on-chain governance, not off-chain custody","Are modules formally audited and governance-approved?"
