"Entity","Maintaining Organization","Website","Founded Year","Primary Region / Geography Served","Primary Jurisdiction(s)","Primary Function","Local Problem Addressed","Target User Segment","Ethereum Role in Stack","Is Ethereum Abstracted from End Users?","Supported Ethereum Networks","Settlement Asset Types","Primary Settlement Currency","Local Currency Support","FX Model","Key Payment Corridors","Regulatory Posture","KYC / AML Enforcement Level","Custody Model","Transaction Scale","Availability Expectations","Primary Dependency Risks","Failure Mode","Interaction with Global On-Ramps","Interaction with Institutional Payment Rails","Interaction with DeFi","Geographic Scope","Regional Adoption Level","Systemic Importance to Ethereum (Regional)","Description","Reason for Inclusion","Practitioner’s Note","Practitioner Validation Check","Regional Constraint Type","Settlement vs Access Orientation","Ethereum Dependency Level"
"Bitso","Bitso SAPI de CV","https://bitso.com","2014","Latin America (Mexico core; Brazil, Argentina, Colombia)","Mexico; regional licenses/registrations across LatAm","Regional cross-border payments and settlement","High remittance costs, slow cross-border settlement, FX inefficiency, limited banking interoperability","Remittance providers, enterprises, fintechs, SMBs","Native settlement layer (stablecoin settlement and treasury flows)","Yes (Bitso APIs and enterprise workflows abstract blockchain interaction)","Ethereum Mainnet; selective Ethereum L2 usage (partner- and corridor-dependent)","Stablecoins (USDC primarily; USDT secondary)","USD stablecoins","Yes (MXN, BRL, ARS, COP via FX and banking rails)","Hybrid (onchain stablecoin settlement + offchain FX conversion)","US → Mexico; US → Brazil; intra-LatAm corridors","Locally licensed / regulated crypto and payments provider","Full (jurisdiction-compliant)","Platform custody for settlement flows; enterprise custody options","Mixed (high-volume remittances; high-value B2B flows)","Payments-grade","Local banking partners, regulatory changes, stablecoin liquidity","Corridor disruption; banking partner withdrawal; regulatory restriction","Indirect (partners and banking rails)","Direct (stablecoin settlement handoff to issuers and custodians)","None (payments- and treasury-focused)","Multi-country region (Latin America)","High","High","Bitso operates a regionally focused payment and settlement network across Latin America, using Ethereum-based stablecoins to enable fast, low-cost cross-border payments and treasury flows while abstracting blockchain complexity behind regulated fintech infrastructure.","Bitso qualifies as a Regional Payment Network because its core product is geographically constrained to Latin America and uses Ethereum-based stablecoin settlement to solve FX inefficiency, remittance friction, and local banking access issues.","Bitso is the canonical LatAm Ethereum payments rail: success depends less on DeFi composability and more on banking relationships, corridor liquidity, and regulatory durability across volatile FX environments.","Is geographic focus a hard design constraint of the payment network, and does Ethereum materially enable settlement within that region? Yes","FX / Banking access","Settlement-First","Important (core settlement efficiency, but replaceable with other rails under stress)"
"Belo","Belo App S.A.","https://www.belo.app","2020","Argentina (with limited LatAm extensions)","Argentina","Domestic payments and regional value transfer","Chronic inflation, currency controls, limited access to USD savings, high FX friction","Consumers, freelancers, SMBs, local merchants","Native settlement layer (stablecoin storage and transfers)","Partial (users see crypto balances; onchain operations abstracted)","Ethereum Mainnet; selective L2 usage (app-dependent)","Stablecoins (USDC, USDT, DAI)","USD stablecoins","Yes (ARS via banking rails and FX conversion)","Hybrid (offchain ARS ↔ USD conversion + onchain stablecoin settlement)","Domestic Argentina; Argentina ↔ USD-denominated digital economy","Locally compliant fintech (crypto regulation evolving)","Tiered (full for higher limits)","Platform custody (consumer-grade); limited self-custody options","Low-value / high-frequency","Consumer-grade","Capital controls, regulatory shifts, banking partner access","ARS rails suspension; withdrawal limits; regulatory intervention","Indirect (bank transfers and regional partners)","Indirect (stablecoin issuers and custody partners)","Limited (yield and savings integrations, non-core)","Single country (Argentina)","Medium–High","Medium","Belo is an Argentina-focused payments and savings platform that uses Ethereum-based stablecoins to provide users with dollar-denominated value storage and local payment capabilities amid inflation and capital controls.","Belo qualifies as a Regional Payment Network because it is structurally constrained to Argentina and uses Ethereum stablecoins as the core settlement medium to solve local currency instability and banking-access limitations.","Belo is inflation-hedge infrastructure masquerading as payments: Ethereum matters here not for speed, but for credible USD access outside the domestic monetary system.","Is geographic focus a hard design constraint of the payment network, and does Ethereum materially enable settlement within that region? Yes","Currency instability / Capital controls","Access-First","Important (critical for USD exposure; operational rails could change)"
"Ripio","Ripio S.A.","https://www.ripio.com","2013","Latin America (Argentina core; Brazil, Mexico, Colombia)","Argentina; regional registrations across LatAm","Regional crypto-enabled payments, remittances, and treasury services","Inflation and currency volatility, cross-border remittance friction, limited access to USD-denominated value","Consumers, freelancers, SMBs, regional fintech partners","Native settlement layer (stablecoin transfers and treasury operations)","Partial (users interact with crypto balances; settlement abstracted)","Ethereum Mainnet; selective L2 support (corridor- and product-dependent)","Stablecoins (USDC, USDT, DAI)","USD stablecoins","Yes (ARS, BRL, MXN, COP via FX and banking rails)","Hybrid (offchain FX + onchain stablecoin settlement)","Intra-LatAm; LatAm ↔ USD digital economy","Locally compliant fintech; crypto regulation varies by country","Tiered (jurisdiction- and product-dependent)","Platform custody with optional self-custody features","Mixed (consumer payments and remittances)","Consumer- to payments-grade","Regulatory changes, banking partner access, stablecoin liquidity","Corridor restrictions; withdrawal limits; regulatory intervention","Indirect (bank transfers and regional partners)","Indirect (stablecoin issuers, custody partners)","Limited (lending/yield features secondary to payments)","Multi-country region (Latin America)","Medium","Medium","Ripio operates a Latin America–focused crypto payments and financial services network that uses Ethereum-based stablecoins to enable domestic payments, remittances, and access to USD-denominated value across volatile local currencies.","Ripio qualifies as a Regional Payment Network because its product is structurally focused on Latin America and relies on Ethereum stablecoin settlement to address regional FX friction and currency instability.","Ripio sits between consumer payments and regional treasury: less corridor-specialized than Bitso, but broader in consumer reach, making Ethereum a utility layer rather than a branded feature.","Is geographic focus a hard design constraint of the payment network, and does Ethereum materially enable settlement within that region? Yes","FX inefficiency / Currency instability","Hybrid (Access + Settlement)","Important (core to USD exposure and regional liquidity, but not exclusive)"
"Buenbit","Buenbit S.A.","https://www.buenbit.com","2018","Argentina","Argentina","Domestic payments, savings, and value transfer using stablecoins","High inflation, capital controls, limited access to USD savings, FX restrictions","Consumers, freelancers, SMBs","Native settlement layer (stablecoin balances and transfers)","Partial (users see crypto balances; onchain mechanics abstracted)","Ethereum Mainnet (primary); selective L2 support as enabled","Stablecoins (DAI, USDC, USDT)","USD stablecoins","Yes (ARS via local banking rails and FX conversion)","Hybrid (offchain ARS ↔ USD conversion + onchain stablecoin settlement)","Domestic Argentina; Argentina ↔ USD-denominated digital economy","Locally compliant fintech (crypto regulation evolving)","Tiered (limits and features gated by verification level)","Platform custody (consumer-grade); limited self-custody options","Low-value / high-frequency","Consumer-grade","Capital controls, regulatory shifts, banking partner access, stablecoin liquidity","ARS rails suspension; withdrawal limits; regulatory intervention","Indirect (local bank transfers)","Indirect (stablecoin issuers and custody partners)","Limited (savings/yield features secondary to payments)","Single country (Argentina)","Medium","Medium","Buenbit is an Argentina-focused fintech that uses Ethereum-based stablecoins to enable payments, savings, and value transfer in a high-inflation environment, offering users practical access to dollar-denominated value.","Buenbit qualifies as a Regional Payment Network because it is structurally constrained to Argentina and relies on Ethereum stablecoin settlement to address local currency instability and banking access limitations.","Buenbit is USD access infrastructure first, payments second: Ethereum’s role is to provide credible, portable dollar value rather than to optimize cross-border settlement.","Is geographic focus a hard design constraint of the payment network, and does Ethereum materially enable settlement within that region? Yes","Currency instability / Capital controls","Access-First","Important (critical for USD exposure; operational rails could change)"
"MonetaGo","MonetaGo, Inc.","https://www.monetago.com","2018","Latin America (with extensions to Asia and Europe for trade corridors)","United States; operating across LatAm trade corridors","Trade finance settlement and duplicate-invoice prevention","Trade fraud, duplicate financing, slow and opaque trade settlement across LatAm corridors","Banks, trade finance institutions, corporates","Anchored / interoperability settlement layer (select pilots and integrations)","Yes (bank and enterprise interfaces abstract blockchain interaction)","Ethereum Mainnet (interoperability and pilot usage); private/permissioned networks","Tokenized trade documents; settlement attestations (stablecoins used selectively)","USD-denominated settlement instruments (trade finance context)","Indirect (handled by banks within trade corridors)","Offchain FX with onchain verification / anchoring","Intra-LatAm trade corridors; LatAm ↔ Global trade routes","Enterprise / partner-regulated (bank-integrated)","Institutional-grade (bank-enforced)","Institution-managed custody; no consumer asset custody","High-value / low-frequency (trade finance)","Enterprise-grade","Bank adoption, interoperability standards, regulatory alignment","Trade settlement reverts to legacy processes; onchain anchoring disabled","None","Direct (banks and settlement partners)","None","Multi-country region (trade-corridor specific)","Early–Medium","Low–Medium","MonetaGo provides a trade finance network focused on Latin America that uses distributed ledger technology, including Ethereum-linked interoperability, to prevent duplicate financing and improve settlement integrity across regional trade corridors.","MonetaGo qualifies as a Regional Payment Network because it is structurally constrained to regional trade corridors and uses Ethereum-linked settlement and verification mechanisms to support institutional payment and trade finance flows.","MonetaGo is trade-finance-first, payments-second: Ethereum’s role is anchoring trust and interoperability rather than moving retail money, making its impact subtle but institutionally meaningful.","Is geographic focus a hard design constraint of the payment network, and does Ethereum materially enable settlement within that region? Yes (corridor-specific)","Trade finance friction / Regulatory fragmentation","Settlement-First","Replaceable (Ethereum improves interoperability but is not exclusive)"
"Yellow Card","Yellow Card Financial Inc.","https://yellowcard.io","2016","Sub-Saharan Africa (Pan-African)","Multiple African jurisdictions (country-by-country licensing/registration)","Regional payments, remittances, and treasury settlement using stablecoins","Limited banking access, expensive remittances, FX controls, volatile local currencies","Consumers, SMBs, merchants, regional fintechs","Native settlement layer (stablecoin transfers and treasury flows)","Yes (mobile app, agent network, and APIs abstract chain interaction)","Ethereum Mainnet; selective Ethereum L2 usage (corridor- and asset-dependent)","Stablecoins (USDC primary; USDT secondary)","USD stablecoins","Yes (NGN, GHS, KES, UGX, ZAR, others via FX and banking/mobile money rails)","Hybrid (offchain local FX + onchain stablecoin settlement)","Intra-Africa; Africa ↔ Global USD corridors","Locally licensed / partner-regulated across operating countries","Tiered (risk-based, jurisdiction-specific)","Platform custody for payments; enterprise custody options for partners","Mixed (low-value/high-frequency consumer payments; higher-value B2B flows)","Payments-grade","Local banking and mobile-money partners, regulatory changes, stablecoin liquidity","Corridor shutdown; partner banking withdrawal; regulatory suspension","Indirect (banking partners, remittance corridors)","Direct (stablecoin issuers, custody and settlement partners)","None (payments- and treasury-focused)","Multi-country region (Africa)","High","High","Yellow Card operates a pan-African payment and settlement network that uses Ethereum-based stablecoins to enable affordable remittances, merchant payments, and treasury flows across countries with limited banking access and high FX friction.","Yellow Card qualifies as a Regional Payment Network because its product is structurally constrained to African markets and relies on Ethereum stablecoin settlement to solve local currency volatility, remittance cost, and banking access challenges.","Yellow Card is Africa’s stablecoin circulation layer: Ethereum’s value lies in neutral USD settlement across fragmented financial systems rather than speed or DeFi composability.","Is geographic focus a hard design constraint of the payment network, and does Ethereum materially enable settlement within that region? Yes","Banking access / FX fragmentation","Hybrid (Access + Settlement)","Important (critical for cross-border USD settlement; local rails still required)"
"Flutterwave","Flutterwave Inc.","https://flutterwave.com","2016","Sub-Saharan Africa (Nigeria core; broader pan-African reach)","Nigeria; operating licenses/registrations across multiple African countries","Regional payment processing and cross-border settlement for merchants and platforms","Fragmented payment systems, FX inefficiency, cross-border settlement friction, limited USD access","Merchants, SMBs, platforms, regional fintechs","Anchored / optional settlement layer (stablecoin settlement pilots and treasury routing)","Yes (merchant APIs and dashboards fully abstract blockchain interaction)","Ethereum Mainnet (pilot and selective production use); potential L2 usage corridor-dependent","Stablecoins (primarily USDC in pilots)","USD stablecoins (pilot / optional)","Yes (NGN, GHS, KES, UGX, ZAR, others via banking and mobile-money rails)","Hybrid (offchain FX + optional onchain stablecoin settlement)","Intra-Africa; Africa ↔ Global merchant settlement","Locally licensed payments provider; crypto usage jurisdiction-gated","Full (merchant-grade compliance)","Platform-managed settlement flows; partner custody for stablecoin legs","High-volume merchant payments; pilot-scale stablecoin settlement","Payments-grade","Regulatory clarity on crypto payments, banking partners, stablecoin issuer support","Stablecoin settlement disabled; fallback to fiat correspondent rails","Indirect (merchant funding and payout channels)","Indirect (stablecoin issuers, custody and settlement partners)","None (payments-only, compliance-constrained)","Multi-country region (Africa)","High (payments), Early (stablecoin settlement)","Medium","Flutterwave is a leading African payments processor that enables merchants and platforms to accept and settle payments across Africa, with selective use of Ethereum-based stablecoins to improve cross-border settlement efficiency.","Flutterwave qualifies as a Regional Payment Network because it is structurally focused on African payment corridors and is piloting Ethereum-based stablecoin settlement to address FX and cross-border payment friction.","Flutterwave is payments-first, crypto-optional: Ethereum enhances treasury and cross-border settlement, but core value remains merchant acquisition and local payment orchestration.","Is geographic focus a hard design constraint of the payment network, and does Ethereum materially enable settlement within that region? Yes (pilot / optional usage)","FX fragmentation / Payment interoperability","Settlement-Optional (Payments-First)","Replaceable (Ethereum improves efficiency but is not foundational)"
"PayDay","PayDay Global Inc.","https://payday.africa","2021","Africa (Pan-African, diaspora-linked corridors)","Nigeria; operations across multiple African countries","Consumer and SMB payments, cross-border transfers, and card-linked settlement","Limited access to USD accounts, expensive cross-border payments, FX friction, banking exclusion","Consumers, freelancers, SMBs, remote workers","Anchored / optional settlement layer (stablecoin treasury and cross-border routing)","Yes (app-based UX abstracts blockchain operations)","Ethereum Mainnet (primary for stablecoin treasury); selective L2 usage as enabled","Stablecoins (USDC, USDT)","USD stablecoins","Yes (NGN and other African currencies via banking and mobile money rails)","Hybrid (offchain FX + onchain stablecoin settlement for cross-border legs)","Africa ↔ Global (diaspora, freelancing, remote work payouts)","Locally compliant fintech; crypto usage jurisdiction-dependent","Tiered (risk-based verification)","Platform custody for consumer balances; partner custody for stablecoin treasury","Low- to mid-value / high-frequency","Consumer-grade to payments-grade","Regulatory shifts, banking partners, card network policies, stablecoin liquidity","Crypto features disabled; fallback to fiat rails; corridor throttling","Indirect (banking and card funding)","Indirect (stablecoin issuers and custody partners)","None (payments-focused)","Multi-country region (Africa + diaspora corridors)","Medium","Medium","PayDay is a pan-African fintech that provides consumer and SMB payment accounts, cards, and cross-border transfers, with selective use of Ethereum-based stablecoins to support USD access and international settlement.","PayDay qualifies as a Regional Payment Network because it is structurally focused on African markets and diaspora corridors and uses Ethereum stablecoins as part of its cross-border settlement and treasury architecture.","PayDay is diaspora-driven payments infrastructure: Ethereum’s value is enabling USD-denominated settlement where traditional banking access is limited, not powering day-to-day domestic payments directly.","Is geographic focus a hard design constraint of the payment network, and does Ethereum materially enable settlement within that region? Yes","Banking access / FX fragmentation","Access-First (Settlement-Enabled)","Important (enables USD access and cross-border efficiency; not exclusive)"
"Chipper","Chipper Cash, Inc.","https://chippercash.com","2018","Africa (East & Southern Africa core; selective West Africa), with diaspora corridors","Multiple African jurisdictions; U.S. entity for diaspora services","Consumer P2P payments, merchant payments, and cross-border transfers","Fragmented domestic payment systems, high remittance costs, limited access to USD-denominated value","Consumers, merchants, diaspora users","Anchored / optional settlement layer (stablecoin treasury and cross-border routing)","Yes (consumer app abstracts blockchain operations entirely)","Ethereum Mainnet (stablecoin treasury and settlement legs); selective L2 usage as enabled","Stablecoins (USDC primarily; USDT secondary)","USD stablecoins","Yes (KES, UGX, RWF, TZS, ZAR, others via banking and mobile-money rails)","Hybrid (offchain local FX + onchain stablecoin settlement for cross-border legs)","Intra-Africa; Africa ↔ U.S./UK diaspora corridors","Locally licensed payments provider; crypto usage jurisdiction-dependent","Tiered (consumer-grade with higher limits gated)","Platform custody for consumer balances; partner custody for stablecoin treasury","Low-value / high-frequency","Consumer-grade to payments-grade","Regulatory changes, mobile-money and banking partners, stablecoin liquidity","Crypto settlement disabled; fallback to fiat/mobile money rails","Indirect (bank cards and local funding methods)","Indirect (stablecoin issuers, custody partners)","None (payments-only, compliance-constrained)","Multi-country region (Africa)","High","Medium","Chipper operates a pan-African consumer payments network that enables domestic and cross-border transfers across multiple African countries, using Ethereum-based stablecoins selectively to improve cross-border settlement efficiency and USD access.","Chipper qualifies as a Regional Payment Network because it is structurally constrained to African payment corridors and uses Ethereum stablecoin settlement as part of its cross-border payments and treasury architecture.","Chipper is consumer-scale distribution with optional crypto plumbing: Ethereum matters for cross-border efficiency and USD exposure, but the product’s success hinges on local payment orchestration and trust.","Is geographic focus a hard design constraint of the payment network, and does Ethereum materially enable settlement within that region? Yes","Payment fragmentation / FX inefficiency","Access-First (Settlement-Enabled)","Replaceable (Ethereum improves cross-border efficiency but is not foundational)"
"Kotani Pay","Kotani Pay Ltd.","https://kotanipay.com","2019","East Africa (Kenya core; expanding regionally)","Kenya","Mobile-money–to–stablecoin payments and settlement","Limited access to digital dollars, high remittance costs, fragmentation between mobile money and global payments","Consumers, merchants, micro-SMBs, remittance users","Native settlement layer (stablecoin minting, transfers, and treasury flows)","Yes (USSD/SMS and mobile interfaces abstract blockchain interaction)","Ethereum Mainnet (primary); selective L2 exploration for cost optimization","Stablecoins (USDC, USDT)","USD stablecoins","Yes (KES via M-Pesa and local mobile money rails)","Hybrid (offchain KES ↔ USD conversion + onchain stablecoin settlement)","Kenya domestic; Kenya ↔ Global remittance corridors","Locally compliant fintech; crypto-specific regulation evolving","Tiered (mobile-money aligned, risk-based)","Platform-managed custody for settlement; partner custody for treasury","Low-value / high-frequency","Payments-grade (mobile-money reliability expectations)","Mobile money integrations (e.g., M-Pesa), regulatory shifts, stablecoin liquidity","Mobile-money disconnection; stablecoin settlement paused","Indirect (remittance partners and banking rails)","Indirect (stablecoin issuers, custody partners)","None (payments and remittances only)","Single-country (Kenya) with regional extension potential","Medium","Medium","Kotani Pay provides a bridge between East Africa’s mobile money systems and Ethereum-based stablecoins, enabling users and merchants in Kenya to send, receive, and store USD-denominated value using familiar mobile interfaces.","Kotani Pay qualifies as a Regional Payment Network because it is structurally constrained to East Africa and uses Ethereum stablecoin settlement to connect local mobile money rails with global USD liquidity.","Kotani Pay is infrastructure at the last mile: Ethereum’s role is invisible but critical, acting as the neutral settlement layer behind Africa’s dominant mobile money networks.","Is geographic focus a hard design constraint of the payment network, and does Ethereum materially enable settlement within that region? Yes","Banking access / Mobile money fragmentation","Settlement-Enabled (Access-First UX)","Important (critical for global settlement; local rails still dominant)"
