"Entity","Maintaining Organization","Website","Year Founded","Headquarters / Jurisdiction","Entity Type","Primary Role in Stack","Ethereum Clients Supported","Execution / Consensus Coverage","RPC Interfaces Supported","Transaction Submission Supported","Archive Node Support","Historical Depth","Geographic Distribution","Uptime / SLA Claims","Decentralization Model","Censorship Resistance Characteristics","Client Diversity Risk","Known Outages or Incidents","Pricing Model","Cost Sensitivity at Scale","Rate Limits / Throttling Model","Description","Reason for Inclusion","Practitioner’s Note","Practitioner Validation Check","Typical Users","Downstream Dependency Risk","Replaceability Score"
"Infura","Consensys Software Inc.","https://www.infura.io","2016","United States (Delaware; global infra footprint)","Hosted RPC Provider (Managed Node Infrastructure)","Ethereum state access and transaction submission at scale","Execution: Geth, Erigon (historically Geth-heavy); Consensus: Prysm, Lighthouse (abstracted)","Both execution and consensus state","HTTP RPC, WebSocket","Yes","Yes (paid tiers)","Full Ethereum history (archive gated by plan)","Multi-region (North America, Europe, Asia-Pacific)","High availability; enterprise SLAs; public status dashboard","Single operator (centralized provider)","Can throttle, rate-limit, or restrict access; subject to jurisdictional constraints","Medium","Yes — notable disruption during Nov 2020 Ethereum consensus incident; periodic congestion-related issues","Tiered usage-based pricing (free tier, paid plans, enterprise contracts)","High — costs increase materially with traffic, archive reads, and WebSockets","Explicit per-plan rate limits; burst handling varies by tier","Managed Ethereum node infrastructure providing scalable RPC and WebSocket access, abstracting node operation, synchronization, and uptime for developers and enterprises","Primary product is exposing Ethereum state and transaction submission as infrastructure; foundational access layer for the ecosystem","Default dependency across Ethereum; strong DX and reliability but introduces centralization and correlated failure risk","Verify current client mix, reorg handling, finalized vs head behavior, rate-limit thresholds, and failover behavior","Wallets, DeFi apps, NFT platforms, indexers, analytics tools, bots","High","Moderate"
"Alchemy","Alchemy Insights, Inc.","https://www.alchemy.com","2017","United States (California; global infra footprint)","Hosted RPC Provider / Developer Infrastructure Platform","Ethereum state access, transaction submission, and developer infra abstraction","Execution: Geth, Erigon (client mix abstracted); Consensus: Prysm, Lighthouse, Teku (abstracted)","Both execution and consensus state","HTTP RPC, WebSocket","Yes","Yes (paid tiers)","Full Ethereum history (archive access gated by plan)","Multi-region global deployment (North America, Europe, Asia-Pacific)","High availability; enterprise SLAs; extensive internal monitoring","Single operator (centralized provider)","Can rate-limit, throttle, or restrict access at the account or method level; subject to jurisdictional constraints","Medium","Yes — intermittent congestion and rate-limit incidents during peak NFT / DeFi activity (no single catastrophic outage comparable to Nov 2020)","Tiered usage-based pricing (free tier, growth plans, enterprise SLAs)","High — costs scale with request volume, WebSockets, archive reads, and enhanced APIs","Explicit per-plan rate limits; dynamic throttling under burst traffic","Developer-focused Ethereum infrastructure platform providing managed RPC and WebSocket access alongside monitoring, debugging, and performance tooling","Primary product includes exposing Ethereum state and transaction submission; developer tooling is layered on top of core RPC access","Strong DX and observability make Alchemy sticky; abstraction depth increases convenience but can obscure infra assumptions and dependency risk","Validate rate-limit behavior under burst traffic, finalized vs head block semantics, archive pricing thresholds, and multi-RPC failover strategy","DeFi apps, NFT platforms, wallets, indexers, analytics platforms, developer teams","High","Moderate"
"QuickNode","QuickNode, Inc.","https://www.quicknode.com","2017","United States (Miami, Florida; global infra)","Hosted RPC Provider / Performance-Optimized Node Infrastructure","Low-latency Ethereum state access and transaction submission","Execution: Geth, Erigon; Consensus: Lighthouse, Prysm, Teku (abstracted)","Both execution and consensus state","HTTP RPC, WebSocket","Yes","Yes (paid tiers)","Full Ethereum history (archive gated by plan)","Highly distributed global regions (NA, EU, APAC, MEA)","High availability; enterprise SLAs; performance-focused guarantees","Single operator (centralized provider)","Can throttle or restrict access; jurisdictionally constrained; no cryptographic censorship resistance","Medium","No widely cited systemic outage; isolated regional degradations during traffic spikes","Tiered usage-based pricing with performance-based plans","High — optimized performance increases cost at scale","Explicit per-endpoint and per-plan rate limits; burst pricing","Performance-focused managed Ethereum node provider emphasizing low latency, global distribution, and reliability for production workloads","Primary product is high-performance Ethereum RPC and transaction submission infrastructure","Often chosen for latency-sensitive use cases; strong infra depth but still a centralized dependency","Validate regional latency variance, archive pricing, reorg handling, and SLA exclusions","DeFi protocols, trading bots, NFT marketplaces, wallets, indexers","High","Moderate"
"Ankr","Ankr Network","https://www.ankr.com","2017","United States / Global (distributed operations)","Hybrid RPC Provider (Centralized + Decentralized Network)","Ethereum RPC access via managed infra and distributed node network","Execution: Geth, Erigon; Consensus: Prysm, Lighthouse (network-dependent)","Both execution and consensus state","HTTP RPC, WebSocket","Yes","Limited / Paid tiers","Full history (archive availability varies by endpoint)","Global, leveraging both Ankr-operated and third-party nodes","Best-effort availability; enterprise SLAs available","Multi-operator network with Ankr coordination","Improved censorship resistance vs single-operator RPCs, but still coordinator-dependent","Medium","No major Ethereum-wide outages; variability in performance reported across endpoints","Freemium + usage-based pricing; enterprise offerings","Medium — distributed model moderates scaling cost","Rate limits vary by plan and network routing","Web3 infrastructure provider offering Ethereum RPC access via a hybrid centralized and decentralized node network","Provides generalized Ethereum RPC access at scale, qualifying under RPC & Node Providers","Hybrid model reduces some concentration risk but introduces heterogeneity in performance and guarantees","Validate endpoint consistency, archive guarantees, and routing behavior across regions","dApps, wallets, cross-chain apps, developers","Medium","Moderate"
"Chainstack","Chainstack Pte. Ltd.","https://www.chainstack.com","2017","Singapore (global infrastructure footprint)","Managed Node Infrastructure / Enterprise RPC Provider","Managed Ethereum node hosting and RPC access with enterprise focus","Execution: Geth, Nethermind, Erigon; Consensus: Lighthouse, Prysm, Teku","Both execution and consensus state","HTTP RPC, WebSocket","Yes","Yes (enterprise plans)","Full Ethereum history (archive supported)","Multi-cloud, multi-region deployment","Enterprise-grade SLAs; compliance-oriented uptime guarantees","Single operator (enterprise-managed infrastructure)","Subject to enterprise compliance and jurisdictional constraints","Low-to-Medium (supports broader client diversity)","No major public incidents widely reported","Subscription-based and enterprise pricing","Medium — predictable pricing but higher base cost","Contractual rate limits aligned with SLAs","Enterprise-focused managed Ethereum node and RPC provider emphasizing reliability, compliance, and client diversity","Primary service is operating and exposing Ethereum nodes as managed infrastructure","Strong choice for institutions prioritizing compliance and client diversity over lowest cost","Validate client mix, compliance constraints, and archival performance","Enterprises, infrastructure teams, regulated institutions","Medium","Moderate"
"GetBlock","GetBlock Ltd.","https://getblock.io","2019","Estonia / EU-oriented operations","Hosted RPC Provider (Managed Node Infrastructure)","Ethereum RPC access and transaction submission for developers","Execution: Geth, Erigon; Consensus: Prysm, Lighthouse (abstracted)","Both execution and consensus state","HTTP RPC, WebSocket","Yes","Yes (paid tiers)","Full Ethereum history (archive gated by plan)","Multi-region (Europe, North America, Asia)","High availability claims; no formal public SLA for lower tiers","Single operator (centralized provider)","Can throttle or restrict access; subject to jurisdictional constraints","Medium","No widely reported ecosystem-wide Ethereum outages","Tiered usage-based pricing (free tier + paid plans)","Medium — competitive pricing relative to large providers","Explicit per-plan request limits","Managed blockchain node provider offering Ethereum RPC and WebSocket access with broad multi-chain support","Primary product is exposing Ethereum state and transaction submission as a service","Cost-effective option for smaller teams; less ecosystem default penetration than Infura/Alchemy","Validate latency consistency, archive limits, and reorg handling under load","Startups, dApps, wallets, developers","Medium","Easy to Moderate"
"Blockdaemon","Blockdaemon, Inc.","https://www.blockdaemon.com","2017","United States (New York; global enterprise operations)","Institutional Node & RPC Infrastructure Provider","Enterprise-grade Ethereum node operation, RPC access, and infrastructure services","Execution: Geth, Nethermind, Erigon; Consensus: Lighthouse, Prysm, Teku","Both execution and consensus state","HTTP RPC, WebSocket","Yes","Yes (enterprise-grade)","Full Ethereum history (archive supported)","Global, enterprise-focused regions","Enterprise SLAs with contractual uptime guarantees","Single operator (institutional infrastructure provider)","Subject to enterprise compliance and jurisdictional controls","Low (strong client diversity emphasis)","No major publicly disclosed Ethereum RPC outages","Enterprise contracts and subscription pricing","Medium — higher base cost, predictable scaling","Contractual rate limits aligned with SLAs","Institutional-grade blockchain infrastructure provider offering Ethereum RPC, node operations, and staking services","Operates and exposes Ethereum nodes as a primary enterprise infrastructure service","Strong choice for regulated or large-scale users; less developer-centric DX","Validate SLA exclusions, client configuration options, and compliance constraints","Institutions, exchanges, custodians, enterprises","Medium","Moderate"
"Tenderly","Tenderly Inc.","https://www.tenderly.co","2018","Serbia / United States (global operations)","Hosted RPC Provider (Observability-First)","Ethereum RPC access combined with debugging, simulation, and observability","Execution: Geth, Erigon; Consensus: abstracted","Execution and consensus state (via RPC)","HTTP RPC, WebSocket","Yes","Limited / Paid tiers","Full history for supported networks","Global cloud-based deployment","High availability; reliability emphasized via monitoring stack","Single operator (centralized provider)","Can throttle or restrict access; observability does not reduce trust assumptions","Medium","No major RPC-specific outages widely reported","Tiered pricing (free + paid plans tied to usage and tooling)","Medium — tooling adds cost overhead at scale","Explicit per-plan rate limits","Ethereum infrastructure platform providing RPC access alongside transaction simulation, debugging, and monitoring","RPC access is a core product; analytics and observability are layered on top","Strong developer tooling can obscure infra assumptions; RPC still a centralized dependency","Validate RPC performance independently of tooling features; confirm archive limits","Developers, DeFi teams, protocol engineers","Medium","Moderate"
"Moralis","Moralis AB","https://moralis.io","2021","Sweden (EU; global cloud infrastructure)","Developer Infrastructure Platform (RPC + Backend Abstractions)","Ethereum RPC access bundled with backend APIs, auth, and data services","Execution: Geth, Erigon (abstracted); Consensus: abstracted","Execution and consensus state via managed RPC","HTTP RPC, WebSocket","Yes","Limited / Paid tiers","Full history for supported endpoints (archive gated)","Global cloud-based deployment","Best-effort availability; higher tiers include SLAs","Single operator (centralized provider)","Can rate-limit or restrict access; standard centralized trust assumptions","Medium","No major ecosystem-wide RPC outages publicly documented","Tiered pricing (free tier + usage-based paid plans)","Medium to High — backend APIs and RPC usage compound costs","Explicit per-plan request and compute limits","Web3 backend infrastructure platform providing Ethereum RPC access alongside APIs for authentication, balances, NFTs, and events","Provides generalized Ethereum RPC access that satisfies RPC & Node Provider inclusion, even though broader backend tooling is core","RPC is often treated as a convenience feature; practitioners should not overlook infra dependency hidden behind “backend” abstraction","Verify raw RPC performance, archive limits, and ability to decouple RPC from Moralis APIs","dApp teams, startups, rapid-prototyping developers","Medium","Easy to Moderate"
"Thirdweb","Thirdweb, Inc.","https://thirdweb.com","2021","United States (San Francisco; global operations)","Developer Platform with Embedded RPC (RPC-Adjunct)","Ethereum RPC access embedded within contract deployment, SDKs, and infra tooling","Execution: abstracted (provider-managed); Consensus: abstracted","Execution and consensus state via embedded RPC","HTTP RPC, WebSocket","Yes","Limited","Primarily recent + standard history (archive not core offering)","Global cloud infrastructure","Best-effort uptime; infra reliability secondary to developer tooling","Single operator (centralized platform)","RPC subject to platform-level controls and throttling","Medium","No notable Ethereum RPC-specific outages publicly reported","Freemium + usage-based pricing tied to tooling and infra","Medium — RPC cost is secondary to SDK and deployment usage","Platform-level rate limits tied to account and usage tier","Web3 developer platform offering Ethereum RPC access as part of an integrated stack for contract deployment, wallets, and SDKs","RPC qualifies under inclusion rules as it exposes Ethereum state and tx submission, though it is not the primary product","RPC is deeply abstracted; strong DX but higher risk of hidden dependency and vendor lock-in","Confirm ability to swap or bypass embedded RPC; validate rate limits under production traffic","Developers, startups, teams launching smart contracts","Medium","Easy"
"Hardhat","Nomic Foundation","https://hardhat.org","2019","United States / EU (open-source foundation)","Developer Tooling with Local RPC (Borderline)","Local Ethereum RPC for development, testing, and simulation","Local in-process EVM (Hardhat Network); external clients via forked RPC","Execution only (no live consensus participation)","HTTP RPC","Yes (local / forked environment)","No","Local chain state; forked historical snapshots","Local developer environments","No uptime or SLA guarantees","Single-operator (local developer-controlled)","Fully user-controlled; no censorship at infra level","Low (local, configurable client behavior)","Not applicable (local dev environment)","Free, open-source","Low (local compute-bound)","User-configurable; no enforced limits","Ethereum development environment providing a local RPC endpoint for contract deployment, testing, and mainnet forking","Exposes an RPC endpoint and transaction submission, but only for local or forked development environments, not production access","Hardhat RPC does not expose canonical Ethereum state; it simulates or forks it. Should be tagged as Development-Only RPC","Confirm whether the RPC is local-only or forked; ensure no production dependency assumptions","Developers, protocol engineers","Low","Easy"
"Foundry","Paradigm","https://book.getfoundry.sh","2021","United States (Paradigm-backed, open-source)","Developer Tooling (Generally Excluded)","Local Ethereum node simulation and testing via Anvil","Anvil (local EVM); external clients via forked RPC","Execution only (no live consensus participation)","HTTP RPC","Yes (local / forked environment)","No","Local or forked state only","Local developer environments","No uptime or SLA guarantees","Single-operator (local developer-controlled)","Fully user-controlled; no infra-level censorship","Low","Not applicable","Free, open-source","Low","User-defined","High-performance Ethereum development toolkit providing local node simulation, testing, and forking via Anvil","Included only for boundary clarity; does not provide hosted or managed RPC access to canonical Ethereum","Foundry should generally be excluded from RPC & Node Providers unless bundled with a hosted RPC service","Verify whether any hosted or managed RPC is being offered (currently no)","Developers, advanced protocol teams","Low","Easy"
"Pocket Network","Pocket Network Foundation","https://www.pokt.network","2017","United States / Global (foundation-led, distributed operators)","Decentralized RPC Network","Ethereum RPC access via a permissionless network of independent node operators","Operator-dependent (commonly Geth, Nethermind, Erigon; consensus clients vary by operator)","Execution and consensus state (operator-provided)","HTTP RPC","Yes","Operator-dependent","Operator-dependent (archive support varies by endpoint)","Global, permissionless node operator distribution","Best-effort availability; no single SLA (network-level incentives)","Multi-operator, permissionless network","Higher censorship resistance due to operator diversity; coordinator and gateway layers still exist","Medium (depends on operator client mix)","No single systemic outage; performance variance reported across operators","Token-incentivized network usage; application staking / pay-as-you-go","Medium — costs scale with usage and redundancy requirements","Network-level rate limits; gateway-specific throttling","Decentralized RPC network coordinating independent node operators to provide Ethereum RPC access via cryptoeconomic incentives","Provides generalized Ethereum RPC access at scale through a decentralized operator network","Reduces single-provider risk but introduces heterogeneity in latency, reliability, and guarantees","Validate gateway routing, operator diversity, archive guarantees, and performance variance","dApps, wallets, infrastructure teams seeking decentralization","Medium","Moderate"
"dRPC","dRPC Foundation / Core Contributors","https://www.drpc.org","2023","Global / Foundation-led","RPC Aggregation & Decentralized Routing Layer","Ethereum RPC access via aggregation and routing across multiple providers","Provider-dependent (inherits client mix from upstream RPCs)","Execution and consensus state (inherited from upstream providers)","HTTP RPC, WebSocket","Yes","Provider-dependent","Provider-dependent (archive access varies by routed endpoint)","Global, leveraging multiple upstream RPC providers","Best-effort availability; redundancy via aggregation","Multi-provider aggregation (coordination layer centralized)","Improved censorship resistance via provider diversity; routing layer still a control point","Medium (inherits upstream client concentration risks)","No major publicly disclosed outages","Freemium + usage-based pricing","Medium — aggregation mitigates spikes but adds routing overhead","Platform-level rate limits; upstream limits still apply","RPC aggregation layer that routes requests across multiple providers to improve redundancy and resilience","Exposes Ethereum state and transaction submission as a unified RPC endpoint","Improves resilience without operating its own nodes; trust shifts to routing logic and upstream providers","Validate routing transparency, provider mix, failure handling, and archive availability","Developers, infra teams seeking multi-RPC redundancy","Medium","Moderate"
"Chainbase","Chainbase Labs","https://chainbase.com","2021","Singapore / Global operations","Hybrid RPC & Data Infrastructure Provider","Ethereum RPC access combined with large-scale on-chain data ingestion and querying","Execution: Geth, Erigon (abstracted); Consensus: abstracted","Execution and consensus state via managed RPC","HTTP RPC, WebSocket","Yes","Limited / Paid tiers","Full history for supported datasets; archive RPC gated","Global cloud deployment","Best-effort uptime; enterprise plans offer stronger guarantees","Single operator (centralized infrastructure provider)","Can rate-limit or restrict access; subject to jurisdictional constraints","Medium","No major publicly disclosed Ethereum RPC outages","Freemium + usage-based pricing across RPC and data APIs","Medium to High — RPC + data usage compounds costs","Explicit per-plan request and compute limits","Web3 infrastructure platform offering Ethereum RPC access alongside large-scale indexed datasets, SQL-like querying, and data pipelines","Provides generalized Ethereum RPC access that meets inclusion criteria, even though data infrastructure is the primary product","RPC is often secondary to data products; practitioners should not overlook infra dependency when using Chainbase as an access layer","Validate raw RPC performance independently of data APIs; confirm archive limits and rate-limit coupling","Developers, analytics teams, data engineers","Medium","Moderate"
