"Entity","Maintaining Organization","Entity Type","Entity Archetype","Website","Year Launched","Mainnet Status","One-Line Description","Primary Compliance Function","Secondary Compliance Functions","Supported Compliance Domains","Target Users","Ethereum Dependency","Ethereum Data Coverage","Real-Time vs Historical","Cross-Chain Coverage (Ethereum-relative)","Address Attribution Methodology","Risk Scoring Model","Explainability","Sanctions & Watchlist Integration","Travel Rule Support","Case Management & Investigations","Reporting & Audit Outputs","Access Controls & Permissions","Institutional / Regulator Adoption","Reason for Inclusion","Practitioner’s Note","Practitioner Validation Check",""
"Chainalysis","Chainalysis","SaaS Platform","Blockchain Analytics & Transaction Monitoring","https://www.chainalysis.com (Chainalysis)","2014","Live","Compliance and investigations platform for monitoring crypto activity, screening risk, and tracing funds","Transaction monitoring (KYT) (Chainalysis)","Investigations (Reactor), sanctions screening, exposure management (Chainalysis)","AML, sanctions, investigations, auditability (Chainalysis)","Exchanges, banks, fintechs, regulators, law enforcement","High","Ethereum L1 first-class; typically includes major L2s/bridges in coverage (product-dependent)","Both (KYT + investigations) (Chainalysis)","Multi-chain tracing with bridges/DEX routes supported in investigations tooling (Chainalysis)","Heuristic + clustering + entity attribution (proprietary)","Risk scoring + typology categorization (configurable controls)","Medium–High (category-driven, evidence links in investigations)","Explicit sanctions screening tools available (Chainalysis)","Not primary (handled via partners; not core claim here)","Purpose-built investigations workflow (Reactor) (Chainalysis)","Compliance reporting outputs (audit trails, alerts) (Chainalysis)","Role-based enterprise access controls (platform)","Very High","Defining “regulatory visibility” layer for Ethereum institutions","You’re buying regulatory defensibility as much as analytics—document alert thresholds and escalation policies","Can you reproduce the decision trail (why flagged) for a specific ETH tx/address?",""
"TRM Labs","TRM Labs","SaaS Platform","Blockchain Intelligence & Enforcement Support","https://www.trmlabs.com (TRM Labs)","2018","Live","Blockchain intelligence platform for compliance monitoring and investigations with public-sector focus","Transaction monitoring (TRM Labs)","Forensics/investigations, wallet screening, threat intel, public-sector tooling (TRM Labs)","AML/CFT, sanctions, investigations, national security use cases (TRM Labs)","Regulators, law enforcement, exchanges, financial institutions","High","Ethereum L1 first-class; typically includes L2s/bridges depending on product modules","Both (monitoring + forensics) (TRM Labs)","Explicit cross-chain tracing and pathfinding in forensics (TRM Labs)","Entity resolution + labeling + investigative graphing (proprietary)","Configurable screening engine with many policy configurations (TRM Labs)","Medium (policy + category outputs; evidence via tracing)","Sanctions coverage emphasized and extended threat intel noted (TRM Labs)","Not primary (handled via partners; not core claim here)","Forensics module is purpose-built for investigations (TRM Labs)","Compliance workflows and audit trails through monitoring/screening modules (TRM Labs)","Enterprise controls (platform)","Very High (notably public-sector) (TRM Labs)","Strong “regulator + enforcement” orientation for Ethereum visibility","TRM tends to be strongest when you need investigator-grade workflows, not just exchange KYT","Can your compliance team tune rules (risk tolerance) without breaking investigation consistency?",""
"Elliptic","Elliptic","SaaS Platform","Crypto Compliance & Analytics","https://www.elliptic.co (Elliptic)","2013","Live","Blockchain analytics suite for AML, sanctions compliance, wallet screening, and transaction monitoring","Transaction monitoring (Navigator) (Elliptic)","Wallet screening (Lens), investigations support (Elliptic)","AML, sanctions, investigations, audit-ready workflows (Elliptic)","Exchanges, financial institutions, compliance teams, regulators","High","Ethereum L1 first-class; generally multi-asset and chain-agnostic screening","Both (real-time monitoring + historical screening) (Elliptic)","Cross-chain monitoring positioned for complex financial crime (product claim) (Elliptic)","Attribution + labeling + risk categories (proprietary)","Risk scoring + category-based triage","Medium (strong for screening workflows; investigations depth varies by module)","Sanctions and illicit category detection emphasized (Elliptic)","Not primary (handled via partners; not core claim here)","Case workflows implied via monitoring/screening + integrations (Elliptic)","Audit-ready workflow support highlighted (Elliptic)","Enterprise-grade, API-driven access controls (platform)","High (exchange + FI references) (Elliptic)","Core compliance stack for screening + monitoring of Ethereum activity","Elliptic is typically strongest when you need high-throughput screening with defensible audit trails","Can you demonstrate consistent screening outcomes across ETH + major L2 flows for the same customer?",""
"CipherTrace (Mastercard)","Mastercard (CipherTrace)","SaaS Platform","Blockchain Analytics & AML","https://ciphertrace.com","2015","Live","Enterprise crypto intelligence suite for AML, sanctions screening, and investigations, integrated into Mastercard’s cyber & risk stack","Transaction monitoring & risk exposure","Investigations, sanctions screening, analytics","AML, sanctions, investigations, auditability","Banks, exchanges, regulators, enterprises","High","Ethereum L1 first-class; coverage typically extends to major L2s/bridges (module-dependent)","Both (monitoring + investigations)","Multi-chain tracing with bridge/path analysis (investigations module)","Heuristics, clustering, and entity attribution (proprietary)","Configurable risk scoring with typology tagging","Medium (category-driven with evidence trails)","Integrated sanctions lists and adverse-media context","Supported via integrations/partners (not core-only claim)","Built-in investigations workflows","Audit-ready reports and alert logs","Enterprise RBAC; Mastercard security standards","Very High (banking & payments networks)","Brings Ethereum compliance into global payments risk infrastructure","Strong choice where card-network alignment matters","Can you export a regulator-ready evidentiary trail for a flagged ETH flow end-to-end?",""
"Scorechain (Ethereum coverage)","Scorechain","SaaS Platform","Blockchain Analytics & Risk Scoring","https://www.scorechain.com","2015","Live","AML and transaction-monitoring platform emphasizing transparent scoring and explainable risk on Ethereum","Risk scoring & transaction monitoring","Wallet screening, investigations support","AML, sanctions, investigations","Exchanges, banks, VASPs, regulators","Medium–High","Ethereum L1 coverage with expanding ecosystem support","Both (real-time alerts + historical analysis)","Cross-chain coverage available; Ethereum is a core supported chain","Graph analysis with labeled entities and clustering","Deterministic, explainable scoring models","High (score drivers and factors are explicit)","Sanctions screening integrated","Via integrations/partners (Travel Rule providers)","Case workflows and investigative graphing","Compliance reports and audit exports","Enterprise RBAC and API controls","Medium–High (EU-leaning institutions)","Provides explainable, regulator-friendly Ethereum risk scoring","Often favored where transparency of scoring is required","Can compliance teams reproduce the same score for the same ETH address over time?",""
"Chainalysis KYT","Chainalysis","SaaS Module","Real-Time Transaction Monitoring","https://www.chainalysis.com/product/kyt","2019","Live","Real-time monitoring engine that flags risky Ethereum transactions before or as they settle","Live transaction risk detection","Exposure analysis, alerting","AML, sanctions, risk exposure","Exchanges, custodians, banks","High","Ethereum L1 + major L2s (product-dependent)","Real-time + historical context","Multi-chain routing contextualized","Heuristic + clustering + entity labels","Typology-based dynamic risk scoring","Medium","Native sanctions screening","Via partners","Integrated alerts into investigation workflows","Regulator-ready alert logs","Enterprise RBAC","Very High","Canonical real-time Ethereum AML engine","Alert tuning is critical to avoid false positives","Can you justify every alert threshold to a regulator?",""
"TRM Forensics","TRM Labs","SaaS Module","Blockchain Forensics & Investigations","https://www.trmlabs.com/blockchain-intelligence-platform/forensics","2018","Live","Investigation-grade forensics platform for tracing illicit activity across Ethereum","Deep transaction tracing","Entity resolution, threat intel","AML/CFT, sanctions, investigations","Law enforcement, regulators, exchanges","High","Ethereum L1 + bridges/L2s","Historical + live investigation","Strong cross-chain tracing","Graph-based entity resolution","Investigator-driven risk attribution","Medium","Integrated sanctions intelligence","Via partners","Full investigative case workflows","Evidentiary reports & exports","Enterprise RBAC","Very High (public sector)","Gold standard for enforcement-grade Ethereum tracing","Best used post-alert, not as first filter","Can investigators independently reproduce traces?",""
"Elliptic Navigator","Elliptic","SaaS Module","Transaction Monitoring & Risk Screening","https://www.elliptic.co/platform/navigator","2019","Live","Real-time and historical monitoring platform for Ethereum transactions and wallets","Wallet & transaction screening","Exposure tracking, investigations","AML, sanctions, audit","Exchanges, FIs, compliance teams","High","Ethereum L1 + ecosystem flows","Both","Multi-chain context supported","Attribution + labeling + category tags","Category-weighted risk scoring","Medium","Native sanctions coverage","Via integrations","Case workflows & alert review","Audit-ready compliance exports","Enterprise RBAC","High","High-throughput Ethereum screening with defensible outputs","Strong for ops teams managing volume","Are L2 flows consistently normalized with L1 risk?",""
"Solidus Labs","Solidus Labs","SaaS Platform","Market Integrity & Surveillance","https://soliduslabs.com","2018","Live","Market surveillance platform detecting manipulation, abuse, and illicit behavior on Ethereum markets","Market abuse detection","Trade surveillance, anomaly detection","Market integrity, AML adjunct","Exchanges, regulators","Medium–High","Ethereum DEXs + trading venues","Near real-time + historical","Ethereum-first, multi-chain expanding","Behavioral & pattern-based","Rule- and model-driven alerts","Medium","Indirect (contextual)","Not primary","Integrated investigations","Surveillance reports & evidence","Enterprise RBAC","Medium–High","Covers the market abuse gap AML tools miss","Not a wallet-level AML replacement","Can detected abuse be tied to real entities?",""
"Coinfirm","Coinfirm","SaaS Platform","AML & Risk Scoring","https://www.coinfirm.com","2016","Live","AML platform offering Ethereum transaction monitoring, wallet screening, and risk scoring","AML risk assessment","Sanctions screening, reporting","AML, sanctions","Exchanges, VASPs, banks","Medium–High","Ethereum L1 supported","Both","Multi-chain supported","Heuristic + labeling","Deterministic risk scores","Medium–High","Native sanctions lists","Yes (strong Travel Rule focus)","Case handling via dashboards","Compliance & regulatory reports","Enterprise RBAC","Medium","Strong where Travel Rule + AML converge","Best paired with deeper forensics tools","Are Ethereum typologies updated fast enough?",""
