"Entity dYdX (v3 on Ethereum)","Maintaining Organization dYdX Trading Inc. (protocol dev) + dYdX governance (risk params)","Website https://dydx.exchange","Launch Year 2019 (v1–v2); v3 on Ethereum launched 2021","Protocol Status Deprecated / Migrated (Ethereum v3 sunset; activity moved to v4 on Cosmos)","Derivative Type Perpetuals","Underlying Exposure Crypto spot prices (BTC, ETH, majors)","Payoff Structure Linear (PnL linear in price)","Margin Model Cross-margin (portfolio-level margining)","Collateral Types USDC (primary collateral on v3)","Liquidation Mechanism Onchain liquidations via keepers/auction-style mechanisms","Pricing Source Oracles (price feeds with safety checks)","Funding / Premium Logic Continuous funding to anchor perp price to index","Settlement Type Continuous (no expiry)","Upstream Dependencies Oracles; Ethereum L1; USDC; keeper/liquidator networks","Downstream Consumers Active traders; hedgers; funds; DAOs managing directional risk","Governance Model DAO (protocol governance) with operational controls during v3","Risk Parameter Control Governance sets leverage caps, margin requirements, funding params; emergency pauses","Description An onchain perpetual futures exchange that enabled leveraged, non-spot exposure with programmatic margining and liquidations, settling continuously on Ethereum (v3).","Reason for Inclusion Meets criteria: creates non-spot exposure, enables leverage/hedging, and settles positions programmatically onchain.","Practitioner’s Note Diligence: (1) cross-margin amplifies cascade risk, (2) oracle quality & update cadence, (3) insurance fund adequacy, (4) keeper participation during volatility, (5) governance/emergency controls.","Practitioner Validation Check YES risk transfer (perps) • YES programmatic margin & liquidation • YES non-spot exposure","Systemic Importance High (set the design benchmark for onchain perps)","Liquidation Cascade Risk Medium–High (cross-margin portfolios can cascade in fast markets)","Oracle Dependency Risk High (oracle accuracy is critical)","Governance Override Risk Medium (governance/emergency actions existed during v3)","Historical Stress Behavior Experienced volatility-driven liquidations; managed via parameter changes and insurance mechanisms; migration to v4 reflects scalability & risk considerations"
"GMX","GMX DAO + protocol contributors","https://gmx.io","2021","Active","Perpetuals","Crypto spot prices (BTC, ETH, majors)","Linear","Isolated margin","USDC, ETH, other whitelisted assets via GLP","Onchain liquidations against protocol liquidity pool","Oracles (primary price feeds, not AMM)","Funding via imbalance between longs/shorts paid to liquidity providers","Continuous","Oracles; Ethereum L1; liquidity pool (GLP)","Traders; hedgers; LPs seeking yield from trader PnL","DAO","Governance sets leverage caps, asset whitelists, funding parameters","A decentralized perpetuals exchange where traders take leveraged positions against a shared liquidity pool rather than peer traders.","Meets criteria: provides leveraged non-spot exposure with programmatic margining and liquidation.","Key diligence: (1) LPs act as counterparty to traders, (2) oracle accuracy directly impacts PnL, (3) tail-risk borne by liquidity pool, (4) governance control over asset listings.","YES non-spot exposure • YES leverage & liquidation • YES onchain settlement","High (one of the largest onchain perps venues)","Medium (isolated margin limits contagion; LP pool absorbs shocks)","High (oracle-driven pricing)","Medium","Liquidity pool has absorbed extreme volatility events; no protocol-level insolvency, but LP returns fluctuate materially"
"Perpetual Protocol","Perpetual Protocol DAO","https://perp.com","2020","Active (v2)","Perpetuals","Crypto spot prices","Linear","Isolated margin","USDC","Onchain liquidations via AMM unwind","Virtual AMM (vAMM) with oracle anchoring","Funding via vAMM price divergence","Continuous","Ethereum L1; oracles; AMM logic","Traders; structured products; integrators","DAO","Governance controls leverage, margin ratios, market listings","A decentralized perpetuals protocol using virtual AMMs to provide leveraged exposure without relying on pooled spot liquidity.","Meets criteria: enables synthetic price exposure with onchain margining, funding, and liquidation.","Key diligence: (1) vAMM liquidity constraints, (2) oracle anchoring reliability, (3) liquidation efficiency during volatility, (4) market depth under stress.","YES risk transfer • YES programmatic liquidation • YES non-spot exposure","Medium","Medium–High (thin vAMMs can amplify moves)","High","Medium","Past volatility revealed vAMM depth limits; protocol adjusted parameters and designs in response"
"Synthetix (Perps)","Synthetix DAO","https://synthetix.io","","Active","Perpetuals / Synthetic assets","Crypto prices, indices","Linear","Pooled / counterparty-pooled","SNX (system-wide collateral)","System-level liquidations of undercollateralized stakers","Oracles (critical system dependency)","Funding & skew fees balance long/short demand","Continuous","Oracles; SNX staking system; Ethereum L1","Traders; integrators; frontends (Kwenta, others)","DAO","Governance sets collateral ratios, funding curves, market params","A synthetic derivatives system where traders take perp exposure against SNX stakers, who collectively underwrite system risk.","Meets criteria: creates synthetic, leveraged exposure with onchain settlement and liquidation, explicitly transferring risk to collateral providers.","Key diligence: (1) pooled counterparty risk, (2) oracle integrity, (3) SNX price reflexivity, (4) governance responsiveness during stress.","YES risk transfer • YES synthetic exposure • YES onchain liquidation","High (foundational synthetic design)","High (shared collateral pool)","High","Medium–High","Multiple historical stress events led to parameter changes, debt pool rebalances, and governance interventions"
"Opyn","Opyn contributors + DAO governance","https://opyn.co","2019","Active (v2 architecture)","Options (calls/puts)","Spot price, volatility","Convex (option payoff)","Isolated (per option position)","USDC, ETH (market-specific)","Position-level settlement; no continuous liquidation (expiry-based)","Oracles (settlement price)","Upfront premium priced by AMMs/market makers","Expiry-based","Oracles; Ethereum L1; AMM liquidity (for option markets)","Hedgers; volatility traders; structured products","DAO","Governance sets markets, expiries, collateral rules","An onchain options protocol enabling European-style options with programmatic settlement and collateralization.","Meets criteria: creates non-spot, convex exposure with onchain settlement and explicit payoff transformation.","Key diligence: (1) oracle integrity at expiry, (2) collateral adequacy per option type, (3) liquidity fragmentation across expiries/strikes.","YES non-spot exposure • YES payoff engineering • YES onchain settlement","Medium","Low (no continuous liquidation cascades)","High (expiry price oracle critical)","Medium","Limited systemic incidents; stress concentrates around oracle settlement windows"
"Lyra","Lyra DAO","https://www.lyra.finance","2021","Active","Options","Spot price, implied volatility","Convex","Pool-based / isolated (market-specific)","USDC, ETH (market dependent)","Vault-level risk controls; expiry-based settlement","AMM + oracles (volatility surface)","Implied volatility pricing via AMM curves","Expiry-based","Oracles; Ethereum L1; liquidity vaults","Traders; hedgers; LPs underwriting volatility","DAO","Governance sets IV curves, strikes, expiries, risk caps","An options AMM that prices volatility directly, allowing traders to buy/sell options while LPs underwrite volatility risk.","Meets criteria: enables volatility exposure and payoff transformation with onchain settlement.","Key diligence: (1) LP exposure to tail events, (2) IV curve governance, (3) oracle reliability at expiry.","YES volatility exposure • YES convex payoff • YES onchain settlement","Medium–High","Medium (LPs absorb tail risk)","High","Medium","Market stress periods required parameter tuning; no insolvency but LP PnL volatility significant"
"Hegic","Hegic contributors + DAO governance","https://www.hegic.co","2020","Active","Options","Spot price, volatility","Convex","Pool-based (writers’ pools)","USDC, ETH","Expiry-based settlement; pool absorbs PnL","Oracles","Upfront premium; pool pricing","Expiry-based","Oracles; Ethereum L1; liquidity pools","Traders; LPs writing options","DAO","Governance sets strikes, pricing params, pool rules","A pooled-liquidity options protocol where LPs write options and traders gain convex exposure via onchain contracts.","Meets criteria: provides non-spot, convex exposure with programmatic settlement.","Key diligence: (1) pool tail-risk exposure, (2) oracle settlement integrity, (3) liquidity depth for strikes/expiries.","YES payoff transformation • YES non-spot exposure • YES onchain settlement","Medium","Low–Medium","High","Medium","Pools have absorbed volatile periods; LP returns fluctuate materially under tail events"
"Synthetix (Synths)","Synthetix DAO","https://synthetix.io","2018","Active","Synthetic assets","Crypto prices, FX, commodities, indices","Linear (price-tracking exposure)","System-wide pooled collateral","SNX (primary), with evolving collateral types","System-level liquidations of under-collateralized stakers","Oracles (critical dependency)","Debt pool rebalancing (no per-position funding)","Continuous","Oracles; Ethereum L1; SNX staking system","Traders; DAOs; integrators; structured products","DAO","Governance sets collateral ratios, synth listings, issuance caps","A protocol that issues synthetic representations of assets (Synths), allowing users to gain price exposure without owning the underlying asset, backed by a pooled collateral system.","Meets criteria: creates non-spot synthetic exposure with programmatic issuance and settlement, transferring market risk to collateral providers.","Key diligence: (1) pooled debt model concentrates risk, (2) oracle correctness across many asset types, (3) reflexivity between SNX price and system solvency, (4) governance agility during stress.","YES non-spot exposure • YES risk transfer • YES onchain settlement","High (foundational synthetic design)","High (shared debt pool)","High","Medium–High","Multiple stress events led to collateral ratio increases, synth caps, and governance interventions"
"UMA","UMA DAO","https://umaproject.org","2019","Active","Synthetic contracts","Arbitrary price feeds, indices, events","Linear or custom (contract-defined)","Isolated per contract","ERC-20 collateral (contract-specific)","Dispute-based liquidation via optimistic oracle","Optimistic Oracle (dispute-resolved)","No continuous funding; payoff defined by contract terms","Expiry-based or oracle-resolved","Ethereum L1; UMA Oracle; dispute resolution incentives","Protocol builders; DAOs; insurance & KPI contracts","DAO","Governance sets oracle parameters, dispute bonds, escalation rules","A framework for creating custom synthetic contracts whose settlement relies on an optimistic oracle with economic dispute resolution rather than continuous price feeds.","Meets criteria: enables non-spot exposure engineering with onchain, programmatic settlement, even for non-market outcomes.","Key diligence: (1) oracle dispute incentives, (2) liveness assumptions during disputes, (3) collateral adequacy per contract, (4) governance control over oracle parameters.","YES synthetic exposure • YES programmatic settlement • YES risk transfer","Medium–High (critical infra for custom derivatives)","Low–Medium (isolated contracts)","Medium (oracle disputes central)","Medium","Oracle disputes have occurred; system has resolved without insolvency but requires active participation"
"Notional Finance (derivatives view)","Notional DAO","https://notional.finance","2021","Active","Rate derivatives (fixed–floating)","Interest rates / time value of money","Linear, time-bounded","Isolated per maturity","Stablecoins; ETH/LSTs (market-specific)","Onchain liquidations based on collateral health","Yield curves derived onchain (market clearing)","Implied fixed rates set by supply/demand","Expiry-based (maturity settlement)","Ethereum L1; price feeds for collateral; AMM curve logic","Hedgers; treasuries; DAOs managing rate risk","DAO","Governance sets maturities, risk params, collateral factors","A fixed-rate protocol where users trade time-bound cashflows, enabling hedging or locking of interest-rate exposure—functionally a rate derivative market.","Included because the primary user-facing function is interest-rate risk transfer via fixed–floating exposure, not spot lending.","Key diligence: (1) curve liquidity per maturity, (2) liquidation behavior near expiry, (3) collateral factor governance, (4) curve manipulation risk in thin markets.","YES non-spot exposure • YES payoff engineering • YES onchain settlement","Medium (core onchain rate venue)","Medium (maturity cliffs can concentrate liquidations)","Low–Medium","Medium","Periods of rate volatility required parameter tuning; no systemic insolvency"
"Voltz","Voltz DAO","https://voltz.xyz","2022","Active","Interest rate swaps","Floating vs fixed rates (DeFi benchmarks)","Linear swap payoff","Isolated margin","Stablecoins (market-specific)","Onchain margining & liquidation","Oracles + onchain rate indices","Swap fixed rate vs floating benchmark","Continuous with periodic settlement","Ethereum L1; oracles; benchmark rate feeds","DAOs; funds; treasuries hedging rate exposure","DAO","Governance sets benchmarks, leverage, margin rules","An onchain interest-rate swap protocol allowing users to exchange fixed and floating rate exposure on DeFi benchmarks, enabling explicit rate hedging.","Included because it provides pure rate-derivative exposure with programmatic margining and settlement.","Key diligence: (1) benchmark construction, (2) oracle reliability, (3) margin sufficiency during rate spikes, (4) liquidity depth for swaps.","YES risk transfer • YES non-spot exposure • YES onchain settlement","Medium (niche but structurally important)","Medium","High (rate benchmarks & oracles)","Medium","Limited stress history; primary risk expected during sharp rate regime shifts"
