"Entity","Maintaining Organization","Website","Founded Year","Headquarters / Primary Jurisdiction","Primary Function","Supported Fiat Currencies","Supported Payment Methods","Supported Crypto Assets","Ethereum Support","Geographic Coverage","Number of Countries Supported","Regional Restrictions","Regulatory Model","Primary Regulatory Jurisdictions","KYC / AML Requirement","Custody of Funds","Conversion Control Model","Freeze / Denial Capability","Primary Dependency Risks","Failure Mode","Role Relative to Ethereum","Is Ethereum Required for Core Function?","Primary Value Flow","Primary User Segment","Primary Use Case","Systemic Importance to Ethereum Access","Description","Reason for Inclusion","Practitioner’s Note","Practitioner Validation Check","Access Bottleneck Type","On-Ramp vs Exchange Bias","Decentralization Impact"
"MoonPay","MoonPay Ltd.","https://www.moonpay.com","2019","United Kingdom (global operations)","Fiat → Crypto Access","USD, EUR, GBP, and numerous local currencies","Credit/Debit Cards, Bank Transfers, Local Payment Rails","ETH, major stablecoins (USDC, USDT), select tokens","Ethereum Mainnet; Ethereum L2s via supported assets","Global","150+ (approx.)","Yes (jurisdiction-specific compliance limits)","Licensed / Partner-Licensed (jurisdiction-dependent)","UK, EU, United States (state-level), multiple regional regimes","Mandatory; tiered by transaction size and jurisdiction","Temporary in-flow custody; delivery to self-custody or third-party wallets","Centralized","Yes","Banking partners, card networks, regulatory action","On-ramp access halted; payment rails disabled in specific regions","Access Gateway / Distribution Layer","Partial (multi-chain support; Ethereum is a primary destination)","Fiat → Stablecoin → Ethereum","Retail users; Web3 apps integrating onboarding","First-time onboarding; wallet and dApp funding","High","MoonPay is a global fiat-to-crypto on-ramp that enables users to purchase Ethereum assets using cards, bank transfers, and local payment methods, acting as an access gateway embedded across wallets, dApps, and Web3 platforms.","MoonPay meets Global On-Ramp criteria by enabling multi-country fiat → Ethereum asset conversion at scale, with onboarding and access as its primary value proposition rather than trading or settlement.","MoonPay materially lowers Ethereum onboarding friction and is deeply embedded across the ecosystem, but introduces centralized choke points tied to banking partners, card networks, and jurisdictional compliance.","Is this entity’s primary value proposition enabling users to get fiat value into Ethereum-native assets? Yes","Banking + Card Networks + Regulation","Access-First","Increases Ethereum accessibility while introducing centralized points of failure"
"Ramp","Ramp Network Sp. z o.o.","https://ramp.network","2017","Poland / European Union (global operations)","Fiat → Crypto Access","EUR, GBP, USD, and select local European currencies","Bank Transfers (SEPA, Faster Payments), Cards (credit/debit), Local Payment Rails","ETH, major stablecoins (USDC, USDT), select ERC-20 tokens","Ethereum Mainnet; Ethereum L2s (Arbitrum, Optimism, Base, Polygon)","Global (EU-centric strength)","100+ (approx.)","Yes (jurisdiction-specific, non-EU regions more limited)","Licensed / Partner-Licensed (EU-first regulatory posture)","European Union (primary), United Kingdom, limited U.S. coverage","Mandatory; tiered by transaction size and payment method","Temporary in-flow custody; assets delivered to user wallets","Centralized","Yes","European banking partners, payment rails (SEPA/FPS), regulatory interpretation","Fiat access paused; regional bank transfer rails disabled","Access Gateway / Distribution Layer","Partial (multi-chain support, Ethereum and L2s are core destinations)","Fiat → Stablecoin / ETH → Ethereum","Retail users; Web3 apps and wallets embedding on-ramps","Low-cost onboarding; repeat fiat funding for DeFi and L2 usage","High (especially for Europe and L2 ecosystems)","Ramp is a global fiat-to-crypto on-ramp specializing in low-cost bank-transfer access to Ethereum and Ethereum L2s, enabling users and applications to convert fiat into onchain assets through a compliance-first, API-driven model.","Ramp qualifies as a Global On-Ramp because its primary value proposition is enabling multi-country fiat → Ethereum asset conversion, with access and onboarding prioritized over trading or settlement.","Ramp is structurally optimized for bank-based access rather than cards, making it a critical on-ramp for cost-sensitive users and L2 ecosystems, but also highly dependent on European banking and regulatory continuity.","Is this entity’s primary value proposition enabling users to get fiat value into Ethereum-native assets? Yes","Banking + Regulation","Access-First","Increases Ethereum accessibility (especially on L2s) while introducing centralized banking and compliance choke points"
"Transak","Transak Ltd.","https://transak.com","2019","United Kingdom (global operations)","Fiat → Crypto Access","USD, EUR, GBP, INR, and numerous local currencies","Bank Transfers, Credit/Debit Cards, Local Payment Rails","ETH, major stablecoins (USDC, USDT), broad ERC-20 coverage","Ethereum Mainnet; Ethereum L2s (Polygon, Arbitrum, Optimism, Base)","Global","150+ (approx.)","Yes (jurisdiction-specific compliance limits)","Licensed / Partner-Licensed (jurisdiction-dependent)","UK, EU, United States (state-level), India, other regional frameworks","Mandatory; tiered by transaction size, payment method, and jurisdiction","Temporary in-flow custody; assets delivered directly to user wallets","Centralized","Yes","Banking partners, local payment rails, regulatory enforcement","Fiat conversion halted; local rails disabled regionally","Access Gateway / Distribution Layer","Partial (multi-chain support; Ethereum is a primary settlement destination)","Fiat → Stablecoin / ETH → Ethereum","Web3 applications, wallets, and developer teams embedding onboarding","Embedded onboarding; global fiat access for dApps and wallets","High","Transak is a global fiat-to-crypto on-ramp and off-ramp provider that enables users to convert local fiat into Ethereum assets through cards, bank transfers, and regional payment methods, with a strong focus on API-driven distribution.","Transak qualifies as a Global On-Ramp because its primary value proposition is enabling multi-country fiat → Ethereum asset conversion at scale, acting as an embedded access layer rather than a trading venue.","Transak is best understood as onboarding infrastructure rather than a consumer brand; its risk profile is shaped by dependence on regional banking and payment rails across many jurisdictions, making geographic diversification both a strength and a complexity.","Is this entity’s primary value proposition enabling users to get fiat value into Ethereum-native assets? Yes","Banking + Local Payment Rails + Regulation","Access-First","Increases Ethereum accessibility globally while introducing centralized compliance and banking choke points"
"Banxa","Banxa Holdings Inc.","https://banxa.com","2014","Australia (global operations)","Fiat → Crypto Access","USD, EUR, GBP, AUD, CAD, and numerous local currencies","Credit/Debit Cards, Bank Transfers, Local Payment Rails","ETH, major stablecoins (USDC, USDT), select ERC-20 tokens","Ethereum Mainnet; select Ethereum L2s depending on integration","Global","100+ (approx.)","Yes (jurisdiction-specific compliance limits)","Licensed / Partner-Licensed (jurisdiction-dependent)","Australia, EU, UK, United States (state-level), Canada","Mandatory; tiered by transaction size, payment method, and jurisdiction","Temporary in-flow custody; assets delivered to user wallets","Centralized","Yes","Banking partners, card networks, regulatory approvals","Fiat access paused; card or banking rails disabled regionally","Access Gateway / Distribution Layer","Partial (multi-chain support; Ethereum is a primary destination)","Fiat → Stablecoin / ETH → Ethereum","Retail users; exchanges, wallets, and dApps embedding on-ramps","Fiat onboarding for exchanges, wallets, and Web3 applications","Medium–High","Banxa is a global fiat-to-crypto on-ramp that enables users to purchase Ethereum assets using cards, bank transfers, and local payment methods, operating primarily as an infrastructure provider embedded into exchanges, wallets, and Web3 platforms.","Banxa meets Global On-Ramp criteria by providing multi-country fiat → Ethereum asset conversion at scale, with access and onboarding as its primary function rather than trading or settlement.","Banxa is best viewed as an exchange- and platform-adjacent access layer: broad geographic coverage and payment optionality are strengths, while reliance on card networks and banking partners introduces familiar centralized choke points.","Is this entity’s primary value proposition enabling users to get fiat value into Ethereum-native assets? Yes","Banking + Card Networks + Regulation","Access-First (Exchange-Adjacent Distribution)","Increases Ethereum accessibility while introducing centralized compliance and payment-rail dependencies"
"Simplex","Simplex Payment Services Ltd. (Nuvei subsidiary)","https://www.simplex.com","2014","Israel (global operations)","Fiat → Crypto Access (Card-Based)","USD, EUR, GBP, and select local currencies","Credit/Debit Cards (primary), limited bank transfer support via partners","ETH, major stablecoins (USDC, USDT), exchange-supported assets","Ethereum Mainnet (delivery via partner exchanges and wallets)","Global","100+ (approx.)","Yes (jurisdiction-specific card and compliance limits)","Licensed / Partner-Licensed (card-network and payment-processor model)","EU, UK, United States (state-level via partners), Israel","Mandatory; card-network-compliant KYC and fraud checks","Temporary in-flow custody; settlement via partner exchanges/wallets","Centralized","Yes","Card networks (Visa/Mastercard), issuing banks, fraud controls","Card processing disabled; fiat conversion halted","Access Gateway (Card Rail Specialist)","Partial (multi-chain support; Ethereum is a major destination)","Fiat → ETH / Stablecoin → Ethereum","Retail users via exchanges, wallets, and broker platforms","Instant card-based onboarding into crypto assets","Medium","Simplex is a global, card-focused fiat-to-crypto on-ramp that enables users to purchase Ethereum assets using credit and debit cards, operating primarily as a backend payment processor embedded within exchanges, wallets, and brokerage platforms.","Simplex qualifies as a Global On-Ramp because its primary value proposition is enabling fiat → Ethereum asset conversion via global card networks, acting as an access gateway rather than a trading venue.","Simplex is best understood as card-rail infrastructure: it offers speed and global reach but introduces high dependency on card networks, issuing banks, and fraud controls, making access sensitive to payment-policy changes.","Is this entity’s primary value proposition enabling users to get fiat value into Ethereum-native assets? Yes","Card Networks + Issuing Banks + Regulation","Access-First (Exchange-Embedded)","Improves onboarding speed and global reach while adding centralized payment-rail choke points"
"Mercuryo","Mercuryo Ltd.","https://mercuryo.io","2018","United Kingdom / European Union (global operations)","Fiat → Crypto Access","USD, EUR, GBP, and select regional currencies","Credit/Debit Cards, Bank Transfers, Local Payment Rails","ETH, major stablecoins (USDC, USDT), broad ERC-20 support","Ethereum Mainnet; select Ethereum L2s depending on integration","Global","100+ (approx.)","Yes (jurisdiction-specific compliance limits)","Licensed / Partner-Licensed (jurisdiction-dependent)","UK, EU, United States (state-level via partners), other regions","Mandatory; tiered based on transaction size and payment method","Temporary in-flow custody; assets delivered to user wallets","Centralized","Yes","Banking partners, card networks, regulatory enforcement","Fiat access suspended; payment rails disabled in affected regions","Access Gateway / Distribution Layer","Partial (multi-chain support; Ethereum is a primary destination)","Fiat → ETH / Stablecoin → Ethereum","Retail users; wallets, dApps, and Web3 platforms embedding payments","Embedded fiat onboarding; crypto payments and wallet funding","Medium","Mercuryo is a global fiat-to-crypto on-ramp that enables users and applications to convert fiat into Ethereum assets via cards, bank transfers, and local payment methods, with a strong focus on embedded Web3 payments and wallet integrations.","Mercuryo qualifies as a Global On-Ramp because its core value proposition is enabling multi-country fiat → Ethereum asset conversion, acting as an access and distribution layer rather than a trading venue.","Mercuryo sits between consumer-facing on-ramps and backend infrastructure: broad asset support and payment optionality are strengths, while reliance on card networks and banking partners introduces familiar centralized choke points.","Is this entity’s primary value proposition enabling users to get fiat value into Ethereum-native assets? Yes","Banking + Card Networks + Regulation","Access-First","Increases Ethereum accessibility while introducing centralized compliance and payment-rail dependencies"
"Onramper","Onramper Ltd.","https://onramper.com","2020","United Kingdom (global operations)","Fiat → Crypto Access Aggregation","USD, EUR, GBP, and numerous local currencies (via partners)","Cards, Bank Transfers, Local Payment Rails (via integrated on-ramps)","ETH, major stablecoins (USDC, USDT), partner-supported assets","Ethereum Mainnet; Ethereum L2s (dependent on underlying on-ramps)","Global","150+ (approx., via aggregated providers)","Yes (inherits restrictions from underlying on-ramps)","Partner-Licensed (does not directly custody or process fiat)","Inherited from integrated providers (MoonPay, Ramp, Transak, etc.)","Mandatory (performed by underlying on-ramp providers)","None (routes users to third-party on-ramps; no fiat custody)","Partner-Dependent","Indirect (via underlying on-ramp providers)","Availability and pricing of integrated on-ramps; partner outages","Routing unavailable; reduced access options; degraded UX","Access Orchestration Layer / Meta-On-Ramp","Partial (multi-chain support; Ethereum is a primary destination)","Fiat → (Partner On-Ramp) → ETH / Stablecoin → Ethereum","Wallets, dApps, and users seeking best-price fiat access","On-ramp aggregation; cost, coverage, and success-rate optimization","Medium","Onramper is a global on-ramp aggregator that routes users to multiple fiat-to-crypto providers, optimizing for price, payment method availability, and geographic coverage to facilitate access to Ethereum assets.","Onramper qualifies as a Global On-Ramp because its primary value proposition is enabling fiat → Ethereum access at global scale by aggregating and orchestrating multiple on-ramp providers, even though it does not directly process fiat itself.","Onramper reduces single-provider dependency and improves conversion success rates, but introduces second-order dependency risk: access quality and reliability are inherited from the underlying on-ramps it aggregates.","Is this entity’s primary value proposition enabling users to get fiat value into Ethereum-native assets? Yes","Partner Availability + Pricing + Regulation (inherited)","Access-First (Meta / Aggregation Layer)","Improves access resilience and choice while adding an orchestration dependency layer"
"Coinbase (Coinbase Pay / On-Ramp APIs)","Coinbase, Inc.","https://www.coinbase.com/onramp","2012","United States","Fiat → Crypto Access","USD, EUR, GBP, and select local currencies","Bank Transfers (ACH, SEPA, FPS), Cards (credit/debit), local rails (jurisdiction-dependent)","ETH, major stablecoins (USDC), select ERC-20 tokens","Ethereum Mainnet; Ethereum L2s (Base, Optimism, Arbitrum via supported assets)","Global (U.S.-anchored)","100+ (approx.)","Yes (U.S. state-level and country-specific constraints)","Licensed / Regulated (exchange-led, jurisdiction-specific)","United States (state-level MSB), EU, UK, other regional regimes","Mandatory (full KYC aligned with exchange standards)","Temporary in-flow custody; delivery to self-custody wallets or app-integrated destinations","Centralized","Yes","Banking partners, regulatory actions, internal policy changes","On-ramp access paused; fiat rails restricted by jurisdiction or policy","Access Gateway / Distribution Layer","Partial (multi-asset, multi-chain; Ethereum is a primary destination)","Fiat → ETH / USDC → Ethereum","Retail users; dApps and wallets embedding Coinbase On-Ramp","Trusted fiat onboarding; compliant access for users and applications","High","Coinbase Pay and On-Ramp APIs provide a regulated, globally available fiat-to-crypto access layer that enables users and applications to convert fiat into Ethereum assets using bank transfers and cards, leveraging Coinbase’s compliance and banking relationships.","Coinbase qualifies as a Global On-Ramp because its on-ramp products are explicitly designed to get users and applications into Ethereum assets at scale, with access as the primary value proposition when analyzed independently from trading.","Coinbase’s on-ramp offers high trust and reliability, especially for institutions and compliance-sensitive users, but introduces strong centralization and policy risk tied to U.S. regulatory posture and internal platform decisions.","Is this entity’s primary value proposition (for this product) enabling users to get fiat value into Ethereum-native assets? Yes","Banking + Regulation + Platform Policy","Access-First (Exchange-Affiliated)","Increases Ethereum accessibility for regulated users while introducing a powerful centralized choke point"
"Binance (Binance On-Ramp)","Binance Holdings Ltd.","https://www.binance.com/en/fiat","2017","Cayman Islands (global operations; jurisdictionally fragmented)","Fiat → Crypto Access","USD, EUR, GBP, BRL, TRY, NGN, and numerous local currencies","Bank Transfers (SEPA, FPS, local rails), Credit/Debit Cards, P2P-assisted rails (jurisdiction-dependent)","ETH, major stablecoins (USDT, USDC), select ERC-20 tokens","Ethereum Mainnet; Ethereum L2s via supported assets and withdrawals","Global (jurisdictionally constrained)","100+ (varies by regulatory status)","Yes (material restrictions in the U.S., parts of EU, and other jurisdictions)","Partner-Licensed / Hybrid (varies by country)","EU (select states), UK (restricted), LATAM, Africa, Asia-Pacific (varies)","Mandatory (tiered; stricter post-2021)","Temporary in-flow custody; delivery to Binance accounts or external wallets","Centralized","Yes","Regulatory enforcement, banking partner exits, jurisdictional bans","On-ramp disabled in specific countries; forced migration to partners or P2P rails","Access Gateway / Distribution Layer (Exchange-Affiliated)","Partial (multi-chain support; Ethereum is a major destination)","Fiat → Stablecoin / ETH → Ethereum","Retail users; emerging-market users; Binance ecosystem participants","Global fiat onboarding with broad currency coverage","Medium–High","Binance On-Ramp provides a global fiat-to-crypto access layer enabling users to convert local fiat currencies into Ethereum assets using cards, bank transfers, and local payment rails, tightly integrated with Binance’s exchange and wallet infrastructure.","Binance On-Ramp qualifies as a Global On-Ramp because, when isolated from trading, its primary value proposition is enabling large-scale fiat → Ethereum asset conversion across many regions, particularly in emerging markets.","Binance’s on-ramp offers unmatched geographic breadth and local payment coverage, but introduces elevated regulatory and policy risk, with access subject to abrupt jurisdictional changes and banking partner withdrawals.","Is this entity’s primary value proposition (for this product) enabling users to get fiat value into Ethereum-native assets? Yes","Regulation + Banking Partners + Platform Policy","Access-First (Exchange-Affiliated, Trading-Adjacent)","Expands global Ethereum access while concentrating control within a highly centralized, regulation-sensitive platform"
"OKX (OKX On-Ramp)","OKX (OK Group)","https://www.okx.com/buy-crypto","2017","Seychelles (global operations; jurisdictionally segmented)","Fiat → Crypto Access","USD, EUR, GBP, AED, TRY, BRL, INR, and numerous local currencies","Bank Transfers (SEPA, FPS, local rails), Credit/Debit Cards, P2P-assisted rails (jurisdiction-dependent)","ETH, major stablecoins (USDT, USDC), select ERC-20 tokens","Ethereum Mainnet; Ethereum L2s via supported withdrawals and assets","Global (regionally constrained)","100+ (varies by regulatory posture)","Yes (country- and method-specific constraints)","Partner-Licensed / Hybrid (varies by jurisdiction)","EU (select jurisdictions), Middle East, Asia-Pacific, LATAM (varies)","Mandatory (tiered; enhanced KYC for higher limits)","Temporary in-flow custody; delivery to OKX accounts or external wallets","Centralized","Yes","Regulatory enforcement, banking partner exits, P2P policy changes","On-ramp disabled in specific regions; reliance on partners or P2P rails increases","Access Gateway / Distribution Layer (Exchange-Affiliated)","Partial (multi-chain support; Ethereum is a primary destination)","Fiat → Stablecoin / ETH → Ethereum","Retail users; international users; OKX ecosystem participants","Broad global fiat onboarding with flexible local rails","Medium","OKX On-Ramp provides a global fiat-to-crypto access layer that enables users to convert local fiat into Ethereum assets via cards, bank transfers, and local payment methods, integrated into the OKX exchange and wallet ecosystem.","OKX On-Ramp qualifies as a Global On-Ramp because, when evaluated independently from trading, its primary function is enabling multi-country fiat → Ethereum asset conversion at scale.","OKX offers strong geographic flexibility and local payment coverage, but access reliability is sensitive to jurisdictional policy shifts and partner availability, making it less predictable than neutral on-ramp providers.","Is this entity’s primary value proposition (for this product) enabling users to get fiat value into Ethereum-native assets? Yes","Regulation + Banking Partners + Platform Policy","Access-First (Exchange-Affiliated)","Expands global Ethereum access while introducing centralized, exchange-level control and regulatory sensitivity"
