"Entity","Maintaining Organization","Entity Type","Identity Archetype","Website","Year Launched","Primary Users","Identity Type","Identifier Standard","Reputation / Attestation Type","Social Graph Model","State Persistence Layer","Ethereum Role","On-Chain Verifiability","Smart Contract Composability","Cross-Protocol Reusability","Credential Standard Used","Who Can Issue Credentials","Revocation Mechanism","Role / Permission Enforcement","Sybil Resistance Mechanism","Verification Model","Key Trusted Parties","Censorship / Freeze Risk","Upgrade / Governance Control","Dependency on Centralized Services","Scalability Constraints","Primary Use Cases","Composable With","Defensibility Source","Sector Adjacency Risk","Description","Reason for Inclusion","Practitioner’s Note","Practitioner Validation Check"
"Ethereum Attestation Service","Ethereum Attestation Service","Protocol","Attestations, Credentials & Reputation","https://attest.sh","2023","Protocol developers, DAOs, infrastructure teams","Attestation-based identity","Ethereum address–linked identifiers","Verifiable attestations (claims, credentials, signals)","No native social graph (attestation graph instead)","Ethereum L1 + supported L2s","Registry for attestations; verification primitive","Full (on-chain attestations)","High","High","EAS Attestation Schema","Any address / protocol (permissionless)","Native revocation on-chain","External (protocols consume attestations for access)","External (depends on attestation issuers)","Cryptographic","Attestation issuers; Ethereum validators","Low","Protocol-governed (open-source)","None","L1/L2 gas costs; read complexity at scale","Reputation, credentials, eligibility proofs, protocol gating","DeFi, RWAs, AI Agents, DAOs, Governance","Network effects + Ethereum-native primitive","Low","Canonical Ethereum-native protocol for issuing and verifying on-chain attestations","Provides reusable, composable identity and reputation state consumable by smart contracts","EAS does not define meaning—value comes from who issues attestations and how protocols consume them","✔ Attestations persist on Ethereum ✔ Smart contracts can permission against them ✔ Reusable across unrelated protocols"
"Krebit","Krebit DAO","Protocol / DAO","Attestations & Reputation","https://krebit.id","2021","DAOs, builders, Web3 professionals","Credential-based identity","DID / address-linked","Skill, contribution, and role credentials","Attestation graph","Ethereum + off-chain storage","Verification & Access Gating","Partial (hashes / attestations on-chain)","Medium–High","High","W3C Verifiable Credentials","Issuers (DAOs, orgs, individuals)","Issuer-controlled","External (consumed by apps)","Social + credential-based","Hybrid","Credential issuers","Medium","DAO-governed","Some (credential hosting)","Issuer coordination; VC verification","Hiring, DAO roles, reputation portability","DAOs, Governance, RWAs","Credential network effects","Medium","Reputation and credential system for Web3 contributors","Provides reusable, attestable reputation across DAOs","Strong for human reputation; less suited for automated agents","✔ Credentials reusable ✔ Issuer-defined ✔ Composable by contracts"
"Gitcoin Passport","Gitcoin","Protocol / Product","Attestations & Sybil Resistance","https://passport.gitcoin.co","2022","DAOs, public goods platforms","Attestation-based identity","Address-linked","Sybil-resistance stamps","Attestation aggregation (no social graph)","Off-chain + on-chain proofs","Eligibility Signaling","Partial","Medium","High","Passport stamps (multiple sources)","Integrated issuers (Web2 & Web3)","Issuer / stamp removal","External (used by protocols)","Multi-signal aggregation","Hybrid","Stamp issuers (GitHub, ENS, etc.)","Medium","Gitcoin-governed","Yes (Web2 attestations)","Stamp freshness; issuer coverage","Airdrops, voting, grants, sybil defense","DAOs, Governance, Funding","Aggregation of diverse signals","Medium","Widely used sybil-resistance layer for Ethereum ecosystems","Provides practical identity scoring for access control","Not “identity truth” — probabilistic sybil defense","✔ Reusable ✔ Protocol-agnostic ✔ Enforced by consumers"
"Sismo","Sismo","Protocol","Attestations & Privacy-Preserving Identity","https://www.sismo.io","2022","Protocol builders, privacy-focused users","ZK credential-based identity","Address-linked (private sets)","Zero-knowledge group membership proofs","Group membership graph","Ethereum + off-chain ZK infra","Verification Primitive","Partial (ZK proofs verified on-chain)","High","High","ZK proofs (custom circuits)","Group creators / data sources","Group updates","External (apps gate via proofs)","Privacy-preserving set membership","Cryptographic (ZK)","Group maintainers","Low–Medium","Protocol-governed","Yes (ZK infra)","Proof cost; group updates","Private access control, anonymous eligibility","DeFi, DAOs, Governance","Privacy + composability","Low","Enables identity proofs without revealing identity","Critical for privacy-safe credential gating","Requires careful group definition governance","✔ On-chain verifiable ✔ Privacy-preserving ✔ Reusable"
"Spectral","Spectral Labs","Company","Reputation & Credit Scoring","https://spectral.finance","2022","DeFi protocols, lenders","Reputation scoring identity","Address-linked","On-chain behavioral reputation scores","No social graph","Ethereum L1/L2","Risk Signaling","Partial","Medium","Medium","Custom scoring models","Protocol-defined","Score updates","External (risk-weighted access)","Behavioral analysis","Hybrid (on-chain data + models)","Spectral scoring system","Medium","Company-controlled","Yes (model infra)","Model accuracy; bias","Credit scoring, risk-based access","DeFi, RWAs","Data + modeling moat","High","On-chain reputation and credit scoring for wallets","Brings reputation primitives to capital allocation","Treat as signal, not ground truth identity","✔ Persistent ✔ Composable ✔ Used by protocols"
"Ethereum Name Service","ENS DAO","Protocol / DAO","DID & Core Identity Framework","https://ens.domains","2017","Ethereum users, protocols, DAOs","Account-linked decentralized identity","ENS (name → address / records)","Optional text records & resolver-based attestations","No native social graph (name ownership graph only)","Ethereum L1 (with L2 resolution support)","Canonical identity registry & resolution layer","Full","Very High","Very High","ENS records (custom key-value)","ENS name owners","Name expiration / transfer","External (protocols map ENS → permissions)","Economic cost of name ownership","Cryptographic + economic","ENS DAO; Ethereum validators","Low–Medium (DAO & registrar controls)","ENS DAO governance","Limited (DNS bridge optional)","L1 gas costs; name renewal UX","Human-readable identity, routing, attribution","DeFi, DAOs, RWAs, AI Agents, Governance","Network effects + protocol-level entrenchment","Low","Ethereum-native naming and identity resolution system","Provides the root identity primitive for Ethereum accounts","ENS is identity infrastructure, not reputation—meaning comes from what protocols attach to the name","✔ Persistent identifier ✔ On-chain ownership ✔ Reusable across unrelated protocols"
"Spruce ID","Spruce Systems","Company","DID & Core Identity Framework","https://spruceid.com","2020","Protocol builders, enterprises, DAOs","DID-based decentralized identity","W3C DID (did:pkh, did:web, etc.)","Verifiable credentials & attestations","No native social graph","Ethereum + off-chain VC stores","Identity anchoring & verification","Partial (anchors & proofs on-chain)","High","High","W3C Verifiable Credentials","Issuers (orgs, protocols, individuals)","VC revocation registries","External (protocol-level enforcement)","External (depends on credential issuers)","Cryptographic","Credential issuers","Low","Company-led / open standards","Some (VC hosting, resolvers)","VC issuance & verification overhead","Login, DAO access, compliance, SIWE","DAOs, RWAs, Governance, DeFi","Standards leadership + enterprise adoption","Low","Standards-driven DID & VC tooling for Ethereum and Web3","Provides reusable identity primitives aligned with global DID/VC standards","Strong for interoperability, weaker as a consumer-facing identity","✔ W3C DID/VC ✔ Composable ✔ Reusable across protocols"
"Veramo","Open-source (Various contributors)","Open-Source Framework","DID & Identity Developer Framework","https://veramo.io","2021","Developers, infra teams","DID tooling framework","W3C DID (multiple methods)","Credential issuance & verification (framework-level)","No social graph","Off-chain with optional on-chain anchors","Tooling for identity integration","Optional","High (via integrations)","High","W3C Verifiable Credentials","Framework users","Depends on DID method","External","External","Cryptographic","DID method operators","Low","Open-source governance","Yes (infra services)","Implementation complexity","Build-your-own DID systems","All identity-consuming sectors","Developer adoption & flexibility","Medium","Developer framework for building DID & VC systems","Enables identity infra without prescribing a protocol","Not a protocol—value depends on adopters","✔ Standards-compliant ✔ Cross-protocol ✔ Infra-grade"
"Polygon ID","Polygon Labs","Protocol","ZK-Native DID & Identity Framework","https://polygon.technology/polygon-id","2022","Protocol builders, privacy-focused apps","ZK credential-based identity","W3C DID + zk proofs","Privacy-preserving credentials","No social graph","Ethereum / Polygon + off-chain ZK infra","Verification primitive for private identity","Partial (ZK proofs verified on-chain)","High","High","W3C VC + ZK circuits","Issuers (apps, orgs)","Credential revocation registries","External","ZK-based membership proofs","Cryptographic (ZK)","Issuers; Polygon infra","Low","Polygon-led","Yes (ZK infra)","Proof cost; circuit complexity","Private access control, compliance, sybil defense","DeFi, RWAs, DAOs, Governance","ZK-first identity stack","Low","Zero-knowledge identity and credential framework","Enables compliance and access control without identity disclosure","Strong for regulated or privacy-sensitive use cases","✔ ZK verifiable ✔ Privacy-preserving ✔ Composable"
"Worldcoin","Worldcoin Foundation / Tools for Humanity","Protocol / Foundation","Proof-of-Personhood Identity","https://worldcoin.org","2023","Consumer users, protocols","Biometric-backed personhood identity","World ID (address-linked)","Proof-of-unique-human attestations","No social graph","Ethereum + off-chain biometric infra","Personhood verification primitive","Partial (proofs on-chain)","Medium","Medium–High","Custom ZK proofs (World ID)","Worldcoin-approved issuers","Identity revocation & reproof","External","Biometric uniqueness","Cryptographic + hardware trust","Orb operators; foundation","Medium–High","Foundation-led","High (hardware, ops)","Hardware rollout & trust","Sybil resistance, fair access, voting","Governance, Airdrops, Funding","Hardware + network effects","High","Global proof-of-personhood identity system","Solves the hardest sybil problem: one human = one identity","Powerful primitive but high trust and centralization assumptions","✔ Persistent personhood ✔ ZK proofs ✔ Reusable identity signal"
